id,comments,star_levels
1,庐山自由行的第一站就是五老峰，乘坐东线观光车到达五老峰站，开始徒步登山，约40分钟，到达一峰的待晴亭，稍作休息，从二峰步行至三峰，行走间，突遇云雾扑面，四周茫茫不见，忽又匆匆散去，烟漠漠，云如鹤。至三峰峰顶，见云雾又起，似风滑过，隐约飘渺，恍如仙境。从一峰步行约50分钟后，到达四峰，峰顶四望，有天地壮观的石刻，继续前往五峰，途中遇一座蓝色小亭，旁有岔路，可下山，从四峰到达五峰尽头，步行约20分钟，景色豁然开朗，极目远眺，田野，城镇，远处的鄱阳湖，相比前四峰，五峰的视野更加开阔，风光一览无余。从五峰回返至岔路，下山，约半小时后至山底，三叠泉观光车站乘车返回牯岭街。庐山五老峰上的云雾风光，令人难忘。,5
2,五老峰，因山的绝顶被垭口所断，分成并列的五个山峰，仰望俨若席地而坐的五位老翁，故人们便把这原出一山的五个山峰统称为“五老峰”，五老峰的海拔1436米，指的是第四峰的高度。从五峰前往四峰大概约25分钟可到，但如果不去三叠泉，来回就需1小时（算上看景10分钟），不过这一段路还算平坦，沿途景色很不错，绝对值得一去。从山门至一峰台阶约800级，需半小时。一峰和二峰以及三峰和四峰间距离比较近，二峰和三峰间也需25分钟，这样算起来，从山门到第五峰，总共需2小时，往返就是4小时，如果从五峰直接去三叠泉，则游览时间约3小时。三叠泉至五峰的台阶约2000级，建议下行。,5
3,五老峰作为庐山的标志性景点，和三叠泉属于最重要的两个景点之一，从前门进入的话前四峰都不是很远，但是第五峰距离比较远，不过也可以从第五峰下山直达三叠泉。,5
4,中午前后上五老峰最好，之前担心山道难行，其实还好，除了上下两段有些坡度外，山峰之间甚为平缓，过了鹰嘴石，上二峰看三峰是最好，阳光亦角度恰当，后面几峰再回望，就都是背光了。第五峰也值得去，其实从五峰下山就到了三叠泉的门口了，这段路不难走。,5
5,可以看日出，八月份需要四点多钟起床包车去。路程比较远，有五峰，每峰相隔路程一般。可以转完五峰直接去三叠泉，可以安排为庐山旅游结尾回程景。因为花费的时间比较长，如果第一天就游完很累而且接下来的时间也不多，对于旅游观赏效率比较低。每个峰都比较不错，第二峰最适合看日出。第五峰最为壮阔。早上山上很凉，建议备带秋季长袖，自带早餐和水。个人认为是庐山最美的大景点。,4
6,五峰最值得看，有云海，可以一览众山小。我们八点半开始爬，一峰，三峰，四峰和五峰，大概11点半到山脚下，比较累，阶梯特别多，一个人需要带两瓶水，山上矿泉水较贵，在轱岭镇买矿泉水和市区差不多，不过据说五老峰上看日出很赞,5
7," #厦门必打卡#  五老峰  地址：厦门市思明区思明南路南普陀寺后 开放时间：6:30-18:00 公交——在市内乘坐1、21、15、18、29、47、45、71路等公共汽车均可到达  五老峰位于南普陀寺后的五个山头，也称是南普陀寺的后山。 五个山头时有白云缭绕，云下丛林葱郁，隐约如垂长须，远远望去，好像是五位须发皆白、历尽人间沧桑的老人，翘首遥望茫茫大海。这就是厦门八大景之一""五老凌霄""胜景。 从山脚步行到山顶大约半小时到一小时的时间，沿路有许多观景平台，可供看厦门全景及拍照，最高处可以看到厦大的所有建筑及鼓浪屿。 若从厦门植物园前往五老峰，需付植物园的门票费；但如果从南普陀寺前往是免费的。",0
8,今年真怪，立春后才开始“打鸡雪”江西庐山风景区降下了2017年的首场鸡雪，预计这雪可以存个两天[爱你]受冰雪天影响，目前庐山景区已封闭了五老峰、三叠泉、龙首崖、铁船峰这四个景点。另外，庐山北山公路只上不下，南山公路双向通行。,5
9,庐山五老峰，就整个游玩过程来说，应该是庐山上景点中体验最棒的，甚至我觉得比三叠泉要好，可惜去的时候山上有雾，看不到“横看成岭侧成峰，远近高低各不同”的美景，不过依然不错，从登山口到一峰，和从四峰到五峰的距离最长，一峰到四峰的距离其实并不长，二峰上去很鲜，四五峰比较高，各擅胜场，下次来希望能有个好天气。,5
10,我猜很多人知道这里更多是因为圣斗士星矢，其实这里是五座山峰的总称，著名的庐山大瀑布距离这里不算太远。而天下四大书院之一的白鹿洞就在临近。名虽为峰，其实并不高，半个小时就可以到第一峰，山上并无什么景点，但可以经常看见涌动的雾霭淹没白云。,4
11,五老峰是庐山景区非常有名的经典行程，五老峰，顾名思义有五座像老翁的山峰比肩而立，勇敢者的游戏是攀登高峰，征服自然。我，就是勇敢者。最难的是第一峰，要攀爬很多台阶，我没有力气细数，总之40分钟左右的山路，应该在2公里左右，而后到达第一峰，一峰到四峰相距不是很远，一旦到达山顶就容易很多。第五峰距离其他四峰比较远，到达的游客很少。山上风景很奇妙，你能眼看着雾气在你面前升起，而后环绕在山腰、盖住了亭子，笼罩了对面的同伴，这个过程很奇妙。站在山顶，远眺鄱阳湖，远眺山下的村庄，一览众山小的感觉，很好。,5
12,如果要完整的走完五老峰和三叠泉二个景点的话，还是应该先去五老峰再到三叠泉，五老峰的山体还是算比较平缓的，走完五老峰后下山正好就是三叠泉的入口，要是先去三叠泉，来回爬完2600个台阶估计你就不想再去五老峰了，还有去五老峰的游人很少，去三叠泉的就爆多，很多人以为三叠泉有缆车，会好走，其实感觉三叠泉要比五老峰要虐。从早上七点半山门开始到山下的青莲谷三叠泉入口，慢慢走一共用了四个小时，下山的时候还下了大雨……,5
13,庐山景区是非常有名的，在江西的九江，景区面积很大，有公交，每个景点有站，五老峰在含鄱口可以看到，几座很高的山峰，庐山的空气质量不是很好,5
14,从含鄱口下来就乘车去五老峰了。话说这五老峰之所以被称之为五老峰，就是因为是由五个并列的山峰组成，从下仰望犹如五位席地而坐的老者。五峰中二峰最奇，三峰最险，四峰最美，五峰开阔。许多旅行团的导游和当地人都会和你说五老峰什么都没有没什么可爬的，最多爬到二峰看一眼就够了，但是实则完全不然。不同于华山的险，黄山的秀，五老峰最令人惊艳的不是一路向上的山路，而是在你终于到达峰顶时向下一望，脚下山川尽收眼底。所以如果你的体力和时间都足够的话，一定要爬到五峰去，一定不会后悔。其实五老峰很好爬，既不陡峭也不算特别漫长。最险的三峰。开始爬山的时候雾那叫个大啊，能见度都不到十米。山门到一峰爬了20分钟，一峰到二峰爬了5分钟，二峰到三峰爬了20分钟。在三峰的时候雾就开始渐渐的散了，远处的山慢慢显现出来，若隐若现。远山如黛雾如烟。过了三峰不用三分钟就能到四峰，感觉上还没走就又到了，所以三四峰又被并称为“姐妹峰”。到了四峰的时候雾就完全散开了，站在崖边往下望的时候我真的是惊呼出来。脚下形态各异的山峦次第接踵，再远一些是开阔的平原。秀峰绿野，真正的一片大好山河。过了四峰往五峰走就是一路的上山路了，大概需要25分钟。但是这25分钟绝对是非常值得的，有图有真相。不同于在四峰看到的林立山峰，五峰则是一片毫无遮挡的原野。最远处就是中国最大的淡水湖——鄱阳湖，弥补了在含鄱口没有看到它的遗憾。如果能见度好你的眼力也够好，甚至还能看到长江贯入鄱阳湖的交界线。微黄微红的长江和淡蓝的鄱阳湖交界出一条色彩分明的界线，为这片土地多添了浓墨重彩的一笔。当地人说不上五峰非好汉~~下山要比上山快一些，大概用了40分钟的样子。很多人会从四五峰之间直接去三叠泉，但是那样会很累，大家看体力而定吧。,5
15,从九江火车站下车，步行20分钟到汽车站，赶在最后一班汽车，5点的，去庐山的，票价24元，说是修路，绕了，平时16.5元，在进山之前要买门票180元。庐山很大，上面有个镇牯岭镇，里面有条繁华的街牯岭街，什么吃的都有，很贵不好吃，当地人是不在那里吃的，在庐山住了两个晚上，买了观光车票80元，可以用一个星期，我觉得有必要买，山很大，景点又不在一起，需要不停上车，第一天在山上主要景点逛了一遍，第第二天直接去了三叠泉，因为就一个小背包，没有其他行李，一路走下去，没有走上的台阶，下到东门山脚下，做个电瓶车每人10元，到一个镇上，走路有四五公里，做客车回九江，5元。在山上一家酒店很坑，回龙路路口，对面有个庙，吃了一顿饭，豆腐烧石耳65元，我觉得就是黑木耳，不诚实经营，那么贵的价格，就应该给真材实料的东西，庐山之行就这点很不满意，其他都不错。,5
16,庐山著名山峰主峰。俺坐公交去到3站外的新客运总站，顺利坐上11：00发往庐山的大巴（20元约1小时一班），车况较差。出城不久就进入庐山的上坡路了，越往上走积雪也越厚，因此车速也明显慢多了，到达半山时更是停下车为两个后轮缠上防滑铁链，再继续爬坡。壮观的雪景已逐渐展现，只见所有的山林都覆盖着厚厚的白雪，只裸露出灰黑色的树杆，成就了一个状如水墨画的黑白世界，又仿佛巧克力蛋糕上铺了一层白色的糖粉或奶油。,4
17,从三叠泉回来路过五老峰就去爬了，虽然腿已经有点麻木了，但是来了就要去看看。听说第5峰比较低比较远而第三峰最高，我们就想爬到二峰就算了。结果爬过一峰右边是二峰左边是三峰，距离一样，那我们就爬三峰了。一路说笑间爬上爬下，前面一个牌子上居然写着第四峰，原来三峰已经爬过了。圆满，打道回府。,4
18,很漂亮的地方，从山脚到一，二，三，四，五峰，约走二小时，景色很美。,4
19,我们到五老峰并没有好的运气遇上云海，但是好天气，视线远倒是看得很清楚对面山脉的纹理。我们没有爬完五老峰，为了省下力气去三叠泉。不懂地质，但据说是远古时候的冰川形成，倒是别有一番风味。,4
20,庐山之行第一站就是登顶五老峰！漫步与云海之中！宛如仙境啊！,5
21,五老峰位于庐山的东南方向。这是庐山最出名的景点之一。爬五老峰其实还是有点累的，不过比三叠泉还是轻松一点。站在五老峰上欣赏庐山的景色还是非常壮观和漂亮的。推荐！,4
22,五老峰，五个山峰，个人感觉，三四峰景色最美。爬几百台阶，就到第一锋，然后二三四锋相隔不远，四峰五峰稍远一些，山顶云雾缭绕，景色俊，险，美…,5
23,庐山真是适合夏天消暑度假的圣地。五老峰很适合登山客，沿途风光秀丽，景色宜人，还可以看到传统的采摘人参灵芝的农人，挂着绳索吊在悬崖峭壁之上，真是大开眼界。。,5
24,五老峰地处庐山东南，因山的绝顶被垭口所断，分成并列的五个山峰，仰望俨若席地而坐的五位老翁，故人们便把这原出一山的五个山峰统称为“五老峰”。,4
25,考验体力和耐力的地方，景色很美，蓝天，白云，青山，绿松，登高望远，令人心旷神怡。站在最高峰，一览众山小，不识庐山真面目，只缘身在此山中。,5
26,沿着山路一路向前，在林荫小道上非常的阴凉，景色秀丽，看远处的青山环抱，层峦叠翠，五老峰，三叠泉瀑布，是自己的视觉冲击达到享受,5
27,五老峰地处庐山东南，因山的绝顶被垭口所断，分成并列的五个山峰，仰望俨若席地而坐的五位老翁，故人们便把这原出一山的五个山峰统称为“五老峰”。它根连 鄱湖，峰尖触天，海拔1436米，壮观！五老峰陡峭挺拔，峰接霄汉，奇峦秀色，驰誉天下。,5
28,庐山风景区中最累的景点之一，也是风景最好的之一，喜欢登高望远的不要错过，尤其是下过雨后的云海翻腾，远眺鄱阳湖的感觉真爽。,5
29,后增加这项。去庐山前在网上看了许多攻略和点评，通过实际去，感觉有些地方说的不详细，下面我补充说一下，以便哪些穷游的朋友参考，先说交通如果你乘火车在九江站下车，从出站口走出来，直行到大路边，别过大道左手边拐就看到一棵大树下站许多人，树后有站牌在哪等66路公交车，上车1元，大约5分多钟到九江汽车总站，下车，进营业厅买去庐山的公交车票15.5元，晕车的一定提前吃好晕车药，大概1个小时到庐山汽车站在那里，买观光车票80元，一定要买很给力。住宿方面:在庐山下车后，出了停车场左拐沿公路下行大约5分钟那里有许多客栈，宾馆，我这住天街快捷酒店，挺干净，老板也不错。吃饭、出游都方便。景点我觉得值得看的有，三叠泉，锦绣谷，五老峰。进入景区开始爬山，最难爬是一峰开始那段，大约爬20分钟后，山势比较好走，第二峰比较陡不好爬，但景很好，三丶四好登相邻近，山上的云海非常完美,4
30,五老峰是庐山精华景点。这边山路比较平缓，风景独好，雨雾云海很漂亮。从四峰走到五峰，游人主要是团队就没有了。体力好的完全可以一路直下三叠泉，一天走完没有问题。,5
31,五老峰，在庐山纵多景点之中，是必须要去的景点之一，它有五峰，一峰，二峰，三峰，四峰，五峰，越往上登，风景越好，爬到山顶往下看，风景真的很不错，登高望远，站在上面，你会觉得自己的烦恼会随风飘去…,5
32,"庐山东南五老峰，
青天削出金芙蓉。
九江秀色可揽结，
吾将此地巢云松。
相比三叠泉，我更喜欢五个雄奇的峰岭。五座主峰俨若五老并坐，故名五老峰。",5
33,到第一峰的路比较累有点坡度，第四峰是最高峰，从门口到第四峰大概一个小时多点，第四峰到第五峰在一个半小时，听说第五峰有路直接下到三叠泉,4
