id,comments,star_levels
1,天门山景区最近几年炒得很热的是翼装飞行比赛，可惜这次没有见到。去天门山是选择的索道上山公路下山的A线路。索道很长，而且是从市区内出发，经过很长的一段平路索道才到山下，然后随山势上升。快到顶时几近垂直，也是很考验胆量。拔地擎天的天门山，山势陡险峻拔，景色雄奇壮丽，被称为张家界的天然画屏。主要的景点有天门洞、玻璃栈道、通天大道、穿山电梯等。玻璃栈道的玻璃有点磨花了，但是依然可怕。其实让人感到吃惊的是在山中开挖的穿山电梯，规模宏大，能感叹到中国目前世界一流的基建水平，堪称全球范围内电梯工程的奇迹，也是景区特色交通的一大特色。下山经过电视中常见的99道弯的通天大道，堪称天下第一公路奇观。,4
2,"天门山太棒太棒了，这里是我个人最喜欢的张家界旅游园，胜过武陵源和国家森林公园等，因为这里太刺激了。首先坐20分钟左右的索道上山（这条线路是A，索道上汽车下）到了山顶到处都是雾好像仙境，而且风大温度低，在下面是短袖山顶必须羽绒服的节奏然后游览路线建议从西线开始走然后时间充足再走东线可以绕一圈，然后再坐穿山电梯一共坐七个扶手电梯。山上会有鬼谷栈道，玻璃栈道，各种沿着悬崖峭壁的边上走，恐高者肯定腿脚发软。        下了穿山电梯，就到了天门山最经典的999级天梯，这个如果不敢时间胆子大可以走下去，害怕或者恐高旁边需要额外付72/人继续电梯下去。走下去的时候会发现到处都是有人在拍照，也有走到一半吓哭的，这个比玻璃栈道可是小儿科。       门票包含了里面的环保车，上山索道，穿山自动扶梯等。另外山上吃的也不贵，而且东西还不错比较正规，个人觉得比武陵源景区里面吃的好多了，而且价格不贵。        喜欢冒险刺激的朋友，一定会喜欢天门山。据说四月份开始不收门票了，到时候再来一次",5
3,天门洞名不虚传，999级台阶走到顶，山上云雾缭绕，时阴时雨，赞，基本不用爬山，到山顶有自动扶梯，可以有东线西线两条线路供游客选择，东线比西线路程远，但风景好，西线比较轻松，玻璃栈道有惊无险，山上清凉无比，天气变幻莫测，时阴时雨，天下奇观。,5
4,A线是从市区的索道站直接坐索道到山顶的，一路平稳安全，沿途风景很美，到了山顶才开始领略美景，蓝天白云山峦叠翠，本来没对天门山有太多的期望，但是事实证明我错了，赶上了好天气，游人也不多，玻璃栈道，天门寺，云梦仙境，天门洞，天梯，还有山顶的观光索道，坐在上面无比惬意！真的不虚此行，唯一需要吐槽的是下山的班车中途需要下车一次换乘，不太方便！当地的人说A线票没有了，没想到在携程订票一下就定到了，特别方便，所以出行旅游，还是携程靠谱！,5
5,天门山国家森林公园，推荐玩上2至3天，第一天买好可以用3天的景区套票，从被称为山水画廊的金鞭溪景区出发，一路上，可以见到各种各样的奇山怪石和繁茂的树木，还有那些千里相会、水绕四门的著名景观，小溪不停贯穿整个风景区，加上原生态的自然环境，让人心旷神怡。第2天推荐主要集中在天子山景区和袁家界景区，天子山位于武林源的西北部，着重观赏御笔峰、仙女献花这些景点上，阿凡达的实景拍摄场地也就在这里，随后过袁家界后可以去感受下百龙天梯，可以看到张家界十绝之一神兵聚会，另外徒步上山的话可以备根登山杖。,5
6,强烈安利的一个景区。美。刺激。壮观。提前定了A线的门票，缆车上去，环保车下去。买的第二时间段也就是9点到10点的票。过去的时候排了一小会儿的队。运气特别好，一上去就看到云海。自己走。容易走错路。而且会错过一些经典，花了200请了一个阿妹做导游，还是很靠谱的。很详细的介绍经典。走的西线，然后做吊车，再到东线，玻璃栈道东西两线都有。走一个就可以，鞋套5块一个。很刺激。山上吃的东西种类不多。建议自己带吃的东西上去。如果你会晕车。推荐买A线，下山的时候，环保车也都很好。盘山公路也很刺激，司机会提醒你，不要在车上吃东西，怕晕车的人闻了容易晕，我就是那个会晕车的人。表示没问题。下山的时候完全不会晕。,5
7,很不错的景点，是张家界最好玩，价格最便宜的一个景点了，性价比很高，是一辈子值得去一次的地方，到天门山的路很有特色，总共有99道弯，天门山索道是中国最长的一个索道了，坐在索道上往下看，弯弯的路很漂亮、很壮观。张家界城里很热，但是山上很凉快，景色也很优美。,5
8,天门山是一个景色非常美的地方，从坐索道开始就会让你惊喜不断，从索道车厢经过水库那一断开始就好像是在爬上天空一样一直往云层里前进，往下看下方的山路99弯像一条巨龙盘在大山上一样，索道经过之处山高险要非常刺激，到了山顶空气温度非常好，走在鬼谷栈道惊险刺激，山上风景独特，下到天门洞更是一辈子难忘，文化有限不知怎么形容，反正去过了一辈子难忘。,5
9,"张家界国家森林公园确实值得去，景点众多，有金鞭溪、杨家界、袁家界、十里画廊等。才进入景区大门，就被迷人的景色吸引了，在金鞭溪还看到许多野生猴子在抢食游客扔的食物。山里负氧离子丰富，走过一程，人的身体都要变得更好。
【景色】",5
10,天门山 ，山体海拔1350 -1500 米，我们在游玩的那天有幸看到了被云遮挡与云雾散开两种景象的天门山。天门上地质上为一完整的向斜构造单元，发育着典型的中山岩溶台地峰林峡谷地貌。山上为岩溶台地绝壁景观，山下为岩溶峰林峡谷景观。全山溶丘、石芽、洼地、漏斗、溶洞广布。,5
