id,comments,star_levels
1,"2019 热爱生活  
️各种节日快乐️
快乐的人儿，每天都是节日‍♀️‍♂️
故宫博物院（简称故宫）
世界五大宫之首，我们很有幸，可以经常性去欣赏，属于国家5A寄景区
这座城原是中国明清两个朝代的皇家宫殿，原称是紫禁城，因为有他的存在，北京是以他为中心向四周发展，然后才有了几环几环。
&#160;
门票：旺季（4月-10月） ￥60.00
&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160; 淡季（11月-3月） ￥40.00
&#160;
时间：
旺季 8:30-16:10 16:00开始停售，17:00工作人员会清场，防止有游客还没有出去
淡季8:30-15:40 15:30开始停售，16:30工作人员会清场，防止有游客还没有出去
&#160;
特殊时期，比如这次的上元佳节，开启了夜场模式，需要在官网预定门票
&#160;
不要妄想一次逛故宫就能全部逛完，那是不可能的，就算走完了，腿也废了
连日行3,4万步的我都不敢轻易尝试，可以多个季节前去，欣赏不一样的故宫啊
&#160;
春天要到了，海棠花快开了吧，可以去御花园赏景了，虽然个人觉得御花园真的好小啊，为什么？是我眼拙么？
&#160;
在故宫如何拍出没有人的照片？
首先，请早一些到，比旅行团早到才行，8:30在门口等他开门，然后进去，冲在第一个进入景区的人，快速的拍摄中轴线，希望没有人哦，不然错过一分钟，就全是人头了，大家都是这么想的。
&#160;
如果你做不了第一个进入景区的人，可以考虑东西两殿先看，可以考虑先去内廷看看，个人比较喜欢坤宁宫，安静的很，而且他的小花园就不错，此时真的没人，随你拍。
&#160;
其次，拍摄局部照片，比如一个屋角，一片花瓣，或者一盏灯，基本上肯定是完整的没有庞杂闲人的；
&#160;
最后，把相机放在闹区，不要动，静候个把小时，肯定能拍到无人的城墙，门房，庭院，就是真的太累了，当我坚持了半个多小时候以后，我放弃了，实在太难了，总有人群在走动。
不过这个时候，拍摄红色墙和你的合影绝对是最佳时刻，这里真的可以拍出唯美的场景。
&#160;
推荐故宫周边住宿，这里的交通，要多么拥堵就有多么拥堵，个人建议步行，我们是住在景山公园对面的，然后步行到故宫10分钟，这个地理位置真心不错。
&#160;
交通小TIPS：公交车是到故宫西门或者故宫东门下车/地铁是到天安门东或者天安门西下车，但是特殊的节日，这个地铁站是封道的，请注意。",5
2,从今年开始，故宫博物院在正月十五、十六连续两天举办上元之夜灯会，这是故宫博物院建院94年来首次在夜间开放。公众可以免费预约参观，无奈数量有限，据说只有3千张，一票难求。进不去的可在故宫北门墙外观赏部分建筑的灯光，根据昨晚上环绕紫禁城观察，能够观赏到的只有神武门和东北角楼灯光。午门的灯光因隔着天安门无法看到；东南角楼的灯光要进入劳动人民文化宫才能看到，但灯会当晚文化宫是关闭的；要注意东华门以及大家常去的西北角楼是不亮灯的。在元宵节前一天晩上，可在与故宫隔街相望的景山上观看故宫灯会的灯光彩排，但灯会当晚上，景山公园为安全会封山。在灯会当晚，可从故宫宫墙外沿神武门走到东北角楼，一路上观赏神武门和角楼亮灯。故宫亮灯是很难得的，虽然进不去在外面观赏体验也是很奇妙的，想去观看的今天晩上还有一次机会，错过就只能等待明年了。,5
3,我们旅行开始前，先在天安门广场各处拍照留念，后经地下通道穿长安街，上金水桥，过城楼，走端门，才至故宫前门午门，排队进宫后，按导游引导，进太和门，观太和殿，过中和殿、保和殿；后入乾清门，游乾清宫，出来后穿道入景仁宫、延禧宫，后来到珍宝馆，观九龙壁，参观皇极殿、宁寿宫、乐寿堂，最终从北门而出。此系第二回游故宫，经导游讲解，收获颇多。,5
4,"盛世下的故宫
        二十八把面发，二十九蒸馒头，我家大姐馒头蒸的棒，我则赶在节前来故宫参观“贺岁迎祥——紫禁城里过大年”展览。
      今年故宫特别热闹，一是这大展之时，首次在北京故宫博物院的乾清宫前丹陛上下复原了“天灯”和“万寿灯”各一对，按《国朝宫史》记载，每年十二月二十四日安设天灯万寿灯。天灯至次年二月初三撤出，万寿灯至正月十八日撤出。二是在慈宁宫有过年大集；今天就有八万多人走进故宫，可谓是人山人海人来人往。

        前不久登上至高的万春亭，向南隔街遥望故宫神武门；今日来故宫，隔街与景山万春亭的游客相望，以万春亭为至高点的五亭净收眼底。望过万春亭，沿紫禁城城垣向东走到紫禁城东北角楼，再961米向南步行到东南角楼；好大的一座宫殿，这红墙和金黄的琉璃瓦在阳光下闪耀着耀眼的光芒，如此壮观。",5
5,"冬天里的京城才算得上是去了趟老北京。
一般人不知道的攻略：
1.去景山一个单反就能拍到故宫全景，要早去，晚了人也多。
2.东华门的糖葫芦要吃流动摊贩的，店铺的也一般。
3.水立方啥的当然晚上去，看的就是夜景。鸟巢下面的鸟巢咖啡只此一家，别无分店。
4.升旗就别去看了，总有人起的比你早。真要去看，先搞清楚自己要站在南广场还是北广场，北广场旗子出来，南广场升国旗。升旗后的国旗护卫队后场倒是值得一看。
5.四季民福的烤鸭还可以，如果你愿意排队，我们是从2点半排到5点。
6.带小朋友的国家博物馆值得一去，很多教科书上的宝贝。
7.故宫下午三点进，玩到关门，人少，适合拍照，时间也足够了。
8.地铁真的很方便。别打车，领导太多，道路限行。
9.老舍茶馆听场相声，很有年味。",5
6,如果来北京只能看一个景点那就是故宫了。60的联票简直是性价比超高。来说说感受:你一定要有个好体力，皇上家院子实在是太大了。要是想仔细逛一天都看不完所以大家尽量休息好早点来，自带一些食物和水补充体力。有些地方在维修不能进去，大家要看故宫地图自己确定一个路线不要乱走，或者是直接随其他的团也行，还可以听听讲解。要是买的不是联票，珍宝馆和钟表馆要单独再付10元。景区内医务 讲解 商店 寄存 母婴室 卫生间 餐饮 语音导览器 广播 咨询 一应俱全。故宫博物院网站上都能查到还可以提前选日子订票，查看周边交通情况。非常方便，大家可以提前做做功课。,5
7,"这是我们第二次参观故宫了，比较上一次几年前，这趟再度拜访，我们发现故宫里那些修复后的建筑物更加漂亮了，虽然隐隐之中似乎有股少了那历史岁月留下的韵味，但是这种矛盾可能就是来自一种取舍。

做为世界古今最宏伟的建筑物，故宫能‘傲世群雄’，成为法国凡尔赛宫、英国白金汉宫、俄罗斯克里姆林宫和美国白宫的五大宫殿之首，故宫不但是我们中华民族的骄傲，其复杂的建造结构更是尽显我们老祖宗惊人的智慧。

无论是整体的‘艺术照’或是近距离的‘写真’，无论是已经修复了的或是正在维护中只展现‘素颜’的，故宫建筑群的美真心是笔墨所无法形容的，希望到故宫的游友们一起来保护我们老祖宗留下的遗产，这个属于我们伟大中华民族的文化遗产！！

附：游览故宫要注意的事宜 —

1)记得带上有效证件，比如身份证，港澳通行证或护照等。同时如果有学生证、军人证、老年证，残疾人士证等证件也记得带上，因为这些证件在故宫和北京的许多公园都能享有优惠的入门票价。

2）故宫主要是以‘木’结构为主的宫殿建筑群，每个未处理妥当点燃着的香烟头都会对故宫的建筑物带来‘威胁’和隐患，所以2015年5月18日起，故宫博物院全院禁止吸烟，打火机、火柴之类的不能带入故宫。

3）建议自己准备一些饮料和简单食品，故宫里面虽然也有售卖饮食的地方，但是价格偏贵。

4）每天游览故宫的游人很多，建议除了尽量穿着轻便以外，也要注意妥善看管好自己的财物。

5）故宫禁止宠物入院，为避免不便，请勿携带宠物随行。",5
8,"【紫禁城】紫，天上的紫微星。禁，权利的象征。从名字上看，这就是一座集高贵与权利与一身的宫殿。从前，这座城的回忆，只属于皇帝。恢宏气派的皇家建筑，从前朝的三大殿到后廷的三宫乃至六院，都一无例外的在强调着皇权的至高无上。

看完《故宫100》和《我在故宫修文物》纪录片，就一直对这座皇城念念不忘。当看到这座城活生生在我面前，真的是好激动，以欣赏的视觉去观赏，真的太美妙了，精致到如此地步，我想，也只有绝对的皇权才能做到如此。

建议恶补历史知识，看看纪录片，然后再来参观，你看到的就不再是故宫，而是帝皇时期的紫禁城。",5
9,门票是现场扫码买票刷身份证进，个人认为自助讲解器可不用因为有的内容殿前碑上就有，或者可以借光听听其它导游的讲解。我走的中线，然后珍宝馆，从御花园出来往回走游乾清宫坤宁宫，西侧慈宁宫寿康宫是几位皇太后的宫殿，里面也有一些文物展览（珍宝、陶、碑），很值得一去虽然讲解器背面不显示，奉先殿和斋殿没开放，东西六宫可去可不去。里面餐厅吃的略贵，最好自带，或者有纪念品商店里卖零食。全程下来五个多小时。,5
10,无疑，北京规制最高的应该是故宫的太和殿。共有10个，头一个是仙人，这个人一般在哪里都是第一个，“仙人”据传是闵王暴虐走投无路及日晒闵王的形象。还有一种传说，公元前284年，齐国攻打到燕国，燕国大将乐毅用滚木擂石的战术反击，打败了齐国的进攻。齐国国君齐缗王大败，来到一条大河岸边，走头无路，后边追兵就要到了，危急之中，一只大鸟突然飞到眼前，他急忙骑上大鸟，渡过大河，逢凶化吉。后人便将这个大鸟放在建筑脊端，表示可以骑凤飞行，逢凶化吉。,5
