id,comments,star_levels
1,"坐缆车上山的时候，隐隐听到景区大喇叭广播里说白云山之大，相当于澳门的总面积……我是最怕爬山的了，隐隐感觉有哪里不对……

从缆车俯瞰群山，无边无际；树木茂盛，很难透过枝杈看到山里的样貌。放眼望去，满眼皆绿～

下得缆车，仍有大段山路要走，略微有些坡度之处，爬起来便相当疲累。好在山顶之上设有电瓶车可直达景点，赶紧上一辆，不管说什么也是不下车的了！

车行不久，第一个景点便到，其实山顶之上没有明显的景区界限，到处都是郁郁葱葱的大树，略显单调。

正游玩间，下起了小雨，本来都走不动的行人们像久饿看到红油牛肉面一般突然来了劲，又跑又颠的找地避雨。

春雨来得急、下得猛，山上没遮没拦的，不会儿功夫就湿透了。正为难间，太阳突然杀了出来，一道金光闪过云层，只一下就把雨云打得烟消云散，万丈光芒普照白云山，这光暖乎乎的跟烘干机一样，晒得周身舒泰～

又行四里地，双腿麻木酸疼，再也不想爬了，满心只想打道回府，看看周边叫了声苦，这里前不着村，后不着店的，离上下两个游览车停靠站都不近。没办法，深呼一口气，整装抹雨，收拾利落，继续走！

好不容易挨到车站，上一趟车还没回来，身上湿又坐不下，站着又累得慌，心一横还是坐下吧，屁股湿漉漉的贴上大理石座位，别提多煎熬了……

好不容易盼到车来，赶紧选个好视线的座儿。一路下山看风景，阴郁之情逐渐消失，快到山脚的时候，心情竟而好了起来，衣裳未干也不以为意，抬头往山上看看，油然而生敬畏之情，迈开两条酸痛的老腿，回酒店也～",5
2,"白云山是广州的地标景点，面积相当于小半个行政区了，进出一般是白云大道的西门（靠广外）和广园中路的南门（靠云台花园），门票仅收5块钱，大门口闸门直接扫微信。
两个门从山脚到摩星岭顶部都在2.5公里左右，走完全程要5小时，不想走路可以从西门开车进去或者在南门坐缆车。全程没有什么特别惊艳的景点，更适合日常的运动和散步。白云望晚能看到大半个广州城的天际线，如果傍晚或者晚上天气好来的景色应该不错。
除此之外还可以打卡能仁寺、桃花渊、广州碑林等等。里面还有飞索，比较贵268，有矿的可以尝试。另外这里还有不少休闲饮食，比如茶室、蜜蜂世界、绿茵阁餐厅等等。",5
3,到广州一定要来白云山风景名胜区逛逛，5A级风景区，新羊城八景之首。位于广园中路801号，距离市区约17公里，地铁没有直达的，建议乘坐公交车，有多趟车可到，去之前可以提前查好路线！门票方面，白云山门票5元，云台花园10元，摩星岭5元，学生半价，门票非常便宜！喜欢爬山的可以爬到主峰摩星岭，不想爬的可以坐索道！从白云山南门索道入口处买票，上山25下山20。喜欢蹦极的朋友还可以去体验蹦极，门票200元，相比之前涨价了！这里风景很不错，可以好好玩一整天！,5
4,白云山是广州的标志性景点，位于广州城区，整个景区就是一个大型公园，已经成为广州市民休闲娱乐的场所。可索道上山，亦可步行上山，步行上山可登台阶，行程至多1个小时，也可沿车道前行，一路上绿树葱葱，古寺幽幽，凉风习习，抬头则白云朵朵。封山登亦可全览广州城区全景。,4
5,在广州白云山上，木槿花开了。木槿，也称木棉。在韩国，它是韩国的国花，深受韩国民众的喜爱，甚至有一些为后代起名字时，都会带个“槿”字，可见木槿在韩国民众心目中的地位。而在中国，这种花卉相对少见，多为绿化美化作用。,5
6,從酒店坐車過去五站就到了白云山西门， 門票5元，1.2以下免，學生2.5元。沒坐觀光車，因為时間還早，選擇步行。環境很好，非常舒適，即使在夏天也沒有蚊子叮咬，不像在廣州植物園，子非常多。去過很多山，白云山給我留下了深刻的印象，非常喜歡，走路在其中，心情也是愉悅的。,5
7,白云山已建设成为的国家级风景名胜区和旅游景区。白云山风景区从南至北共有7个游览区[5]，依次是：麓湖景区、三台岭景区、鸣春谷景区、摩星岭景区、明珠楼景区、飞鹅岭景区及荷依岭景区，区内有三个全国之最的景点，分别是：全国最大的园林式花园——云台花园；全国最大的天然式鸟笼——鸣春谷；全国最大的主题式雕塑专类公园——雕塑公园。,5
8,在白云山众多登山路经中，有一条名为摩云路，而摩云路的其中一段，被广大每天登山锻炼身体的“山友”戏称为“张家界”，在这短短的一公里路段，有瀑布、小溪、小桥，绿树成荫，鸟语花香，景色十分迷人。仿佛有神仙在张家界搬了一段放在此处，美不胜收。,5
9,这里是市区徒步的好地方！门票只要五元钱，里边非常的大，如果全程徒步的话，那要一整天的，还会特别累。里边的景色也很好，户外休闲的好地方。还有鹦鹉乐园非常值得一去，尤其是买鸟食，很有乐趣！！但是需要单买票。大鸟笼实在是不值，蝴蝶的那个地方更是什么都没有。,5
10,又到了玉叶金花花开的季节。玉叶金花，别称:鸡肠风，是一种攀援灌木，花冠四角形，黄色，叶片对生成雪白和翠绿，远远望去，婉如灌木丛中一只只白色的蝴蝶在编编舞蹈。金黄色的花冠，如同一颗颗闪亮的星星，点缀着大自然，极具观赏性。,5
11,在白云山脚下，有一个众人皆我知的湖泊——麓湖，湖面面积212000平方米，是一个全闭合人工湖。环绕湖边，全部铺设有人工栈道，而旦绿树成荫。沿栈道漫步，既可以享受湖光景色，更能感受徐徐清风.满眼绿意。这是一个休闲散步的绝妙去处。,5
12,一年之中总会爬白云山好几遍，除了门票便宜，交通方便外。白云山的风景是不二选择，山不难爬，无论是约上谁，总会在白云山不同的点发现不同的风景，风景区大得1天内是不可能走遍的，所以会让你一遍又一遍的走不同的路，不同的入口。,5
13,羊城美景第一～因为带了孩子，天气又热，所以选择了A线+缆车的行程。票价一个人35元+20元。先去了白云花园，走进去的时候很惊艳，有喷泉⛲️，花园，动物等，很漂亮。从白云花园北门出后可以坐电瓶车（含在35票价里了）到鸣春谷，记得一定要走下去，下面有个谷里有散养的蓝孔雀等小动物，很适合小朋友。游玩后直接坐缆车，下山，风景很美。完美！,5
14,广州市肺 空气质量好 花开花谢 草木茂盛 看到整个广州城全景 门票5块 今天携程搞活动1毛钱可以买到门票好划算 山间小道 鸟语花香 锻炼身体去吧 下山可以坐缆车 20块 十分钟不到就下山了,5
15,白云山门票5元，走进白云山，远离都市，感觉非常舒服！空气好！去了三回了，也没把白云山转个遍！应该很大吧！呼吸新鲜空气，亲近自然，自由散漫的到处走走看看！应该是有玩的地方，好像有蹦极！我们是没看到！估计还没爬到地方！哈哈！喜欢运动的朋友可以去白云山玩哦！,5
16,介绍广州白云山上一种正在胜开的花:紫背竹竽，别名红里蕉。花株直立生长，叶片长卵形或被针形，花色大红。被多用于园林绿化和园林观赏。由于叶色斑澜，具有醒目的斑纹，深受人们喜爱，是一种优良的观赏植物。,5
17,广州白云山风景区内，有一种极美丽的花朵:朱缨花，别称红绒球。一束束红色的花丝，傲立在枝头，远远望去，就象在绿色的海洋中，漂浮着一个个红色的精灵，给人予一种生动活泼的感觉。,5
