id,comments,star_levels
1,"洛阳旅游，有个地方必须要去，那便是白马寺。中国第一古刹，世界著名伽蓝，是佛教传入中国后兴建的第一座官办寺院，有中国佛教的“祖庭”和“释源”之称，距今已有1900多年的历史。
&#160;从洛阳市区有多路公交直达，交通方便，大概40分钟便能到达。
门票是35元/人，整个景区游览起来还是比较舒服的，佛门胜地，格外清幽。
&#160;白马寺山门采用牌坊式的一门三洞的石砌弧券门。红色的门楣上嵌着“白马寺”的青石题刻，它同接引殿通往清凉台的桥洞拱形石上的字迹一样，是东汉遗物，为白马寺最早的古迹。
&#160;中轴线上，从前到后依次分布着山门、天王殿、大佛殿、大雄殿、接引殿、清凉台和毗卢阁等主要建筑。每座大殿都有造像，多为元、明、清时期的作品。整个建筑宏伟肃穆，布局严整。
&#160;大年初五，偶遇一场新春法会，佛祖保佑。
国外友人出资在白马寺兴建了一些具有外国风格的国际佛殿苑，包括印度佛殿、缅甸佛殿和泰国佛殿。这些颇富异域特色的佛殿也为白马寺带来了不同的生机。
&#160;白马寺山门外还有一座狄仁杰墓，但也有资料表明这应该是当年武则天时期被封为“梁国公”的白马寺住持——薛怀义之墓。
&#160;齐云塔院是河南唯一的一所比丘尼道场。
&#160;齐云塔是洛阳一带地面现存最早的古建筑，也是中原地区为数不多的金代建筑遗存之一。创建于东汉永平己巳年（公元69年），距今近两千年。于金大定十五年（公元一一七五年）重修。重修后的齐云塔距今已有八百多年的历史。
&#160;☺两千年以前，一匹白马驮着佛经，从西方千里迢迢来到当时的天下之中——洛阳。一种精神和另一种精神就这样伟大而奇妙地碰撞到一起，产生了经久不衰的火花。
在近两千年的世事变幻中，这里早已不是最初的模样，但这里弘扬的佛教精神，却一直传承，生生不息。晨钟暮鼓，时光流转，白马寺里流转着的千年梵唱，有着一份挥洒不去的悠远与沧桑，它的声音在洛河北岸绵延不绝。",5
2,五千年厚土，十三朝花香，暮春三月的洛阳古城，散发出了独有的奇光异彩，这里曾经宫阙壮丽，街市繁华，也曾经名士云集，大儒荟萃，这样一块风水宝地，自是会有非凡的际遇。法不孤起，因缘而生，中州原善土，白马驮经来，起源于印度的佛教文明，天佑我佛，花开神州，香火绵延，至今不绝。白马寺，中国第一古刹，齐云塔，中国第一古塔，无关宗教，无关信仰，且不论厚重久远的历史渊源，仅现存的金代砖塔，元代造像，明代殿宇，清代木雕，已足以吸人眼球，引君前来，为求一观。白马寺的镇寺之宝，是大雄殿内的十八罗汉，国内仅存一套，乃故宫慈宁宫大佛堂调入，属传世极稀的文物瑰宝，国内罕见。总感觉故宫优待洛阳远甚于开封。齐云塔，释迦舍利塔，初建九级木塔，毁于雷火，金代复建，即今所见13层砖塔，造型别致，玲珑妩媚，是洛阳目前现存最古老的地上建筑。塔之一奇，远比北京天坛明代回音壁更要早上三百多年呢。白马古寺，华夏首刹，释源祖庭，承载文明的过往，续写文明的未来。,5
3,白马寺，是一座历史非日常悠久的古寺庙，这座寺庙是建造于宋朝时期，至今算算已经有一千多年的历史了，白马寺意义重大，是被认为是中国佛教的发源地。,5
4,真不愧为中国第一古刹，门票只有35元，里面没有铜钱味的商业气息，没有喧闹的噪音，沿着中轴线从白马寺山门逐一参观大殿，欣赏各自的精华，一直到清凉台。清凉台内有一清秀的姑娘，身着素色汉服（或许是统一的工作服）捧着本书，不时的解答游客的各种问题，还热情地告诉我在哪个角度拍爬满了凌霄的松柏，人的平和与寺庙静谧的和谐统一让我感觉到的意境好极了！中轴线两边的小院是两座墓！左边还有气势宏大的泰国缅甸印度庙寺展区，不是简单的仿造，每座建筑都是精雕细琢！山门右边过天桥就是齐云塔，可惜18点关门了，未能一睹其芳容！,5
5,中国第一家佛教寺院，值得一去（不过不要在七月去，热成狗不解释）。虽然面积不是很大，不过很有韵味。白马寺旁边新建了泰国风格寺院景区、印度寺院风格景区、缅甸风格寺院景区。但是个人觉得是败笔，彻底毁了白马寺本身的文化美感。多国风格混杂，不伦不类。白马寺里种了很多牡丹，如果四月来这里，坐在寺中凉亭里，一边聆听琴音，一边赏牡丹，想必也是人生一大乐事。白马寺旁边还有齐云塔和狄仁杰墓，大家可以考虑顺道去跟狄大人打个招呼。Ps：白马寺外卖香的太猖狂了，我还没下出租，就挤过来大喊着要你买香，说什么没有空手入寺的，呵呵哒！一定要坚决拒绝，别拉不下脸。卖香的败景区好感！,5
6,5月2日来的，园里有少量牡丹花呢，很是惊喜。空气很不错，商业气息不浓郁绝对大赞。漫步园中身心舒畅，有个茶屋我很喜欢，免费的。缅甸和泰国那面没进去逛。唯一觉得水系方面没设计好，荷花那没有搭理好。善意提醒：孕妇不要去寺院吧。别拍佛像。不要再任何塔正下方入镜头合影。,5
7,洛阳市区坐公交往返很方便，就是路程有点远（注意门口的黑车司机，说什么都别坐）；白马寺为佛教传入中原后的第一座官办寺院，满满的都是历史，寺内还有新建的泰国、缅甸、印度的三组佛寺，还是值得一看的。,4
8,白马寺中国第一座寺。佛教祖庭。。寺中有株古桑树。元代十八罗汉造像栩栩如生。还有枷蓝的造像很特别。。可惜。很多是重修的。寺东上百年齐云塔。一定去看下。塔站在下面还是有许震撼。,4
9,白马寺离市中心较远，坐公交车单程就要45分钟，不过这里历史悠久，值得一观；我四月份去时，正是牡丹花开时节，到处都能看到牡丹，很不错，白马寺内除了庄严的庙堂，花园内也种植了牡丹、团花等，春天内开得很烂漫。清凉台等旧建筑很有底蕴，反而那些新修的什么印度风格佛殿和缅甸风格佛塔显得与这里原来的调子很不协调。,4
10,中国历史上大名鼎鼎的白马庙，是官方办的寺庙，见证了佛教在中国历史上的发展，白马庙景区门票不贵，里面除了经典的白马庙，还新建了其他风格的佛教建筑区！,4
