id,comments,star_levels
1,"出行不便利
永济北站下动车，出站口右手黄色面包车，六块钱到中心车站，然后再乘坐四路车一块钱，或者打车15到20，直达景区门口。
从北站到景区门口直接打车不超过40。
景区门票68，美团携程55(提前一小时购票)；套票80包含游乐场两个项目“旋转咖啡杯”“台风体验”，还有“实景三国古战场带马术表演”，美团携程71(提前一小时购票)。
进入景区，大道左右都是游乐场设施，包括上述两个项目。
继续前进就是水峪口古镇，小吃两条街，价格实惠，味道不错。
继续前进马上看到检票口。
通过检票口，正式进入大峡谷，左手边有小火车可以将你直接送到玻璃栈道，来回30元，但是不建议乘坐，本人体验安全系数不高，同时请拒绝景区照片，很坑。
玻璃栈道分一期二期，二期更刺激，60元，美团携程45，此项目不错，但是大风天气请避开此项目，安全设施堪忧，同时拒绝景区照片。
然后是青龙天梯和一线天，体弱勿挑战天梯，一线天风大，请穿好衣服戴好帽子(一线天夸大程度较高，没几步就走完了)。
走到这就可以了，上面依次是心湖，一汪情深，水帘洞，月牙湖，然后就到顶了。除了水帘洞有点意思，别的就扯了！(男生从山下到山顶，体力好最多两个小时)
下山可以高空滑道(只能到半山腰)加小火车。",3
2,停车不收费停车不收费停车不收费，重要的事情说三遍，不要听非工作人员的指引。进了大门以后是游乐场，再往前就是水峪口古镇，小吃很多，价格也不贵。进了山去走了玻璃栈道，风景不错但是没有二期的刺激，喜欢冒险的可以体验一下。瀑布那里的景色还可以，很适合拍照。套票还看了民俗街和动物园，期待不高所以感觉还行。遗憾的就是时间没安排好，没看到三国马术表演。总体来说体验不错，套票内容写的很清楚，其他项目收费很正常，卫生间再干净点就更好了。,4
3,神潭大峡谷，位于运城永济水峪口，在中条山的景区中特色明显，峡谷内奇峡异瀑，碧水蓝天，绿树红花，如诗如画，在峡谷一路走来，清澈的泉水如影相随，飞瀑空山轰鸣不绝于耳，神潭更是神秘莫测…,5
4,《五言排律。中条山神潭大峽谷》神潭大壑谷，泉水注瑶湖。瀑布悬崖泻，深谷栈道铺。上观云彩树，下看野花谷。溪畔林蛙唱，幽香翡翠谷。岚风一阵阵，花卉数蔟蔟。世外桃源境，野营欢乐谷。(祖国山水886),5
5,"去去再说我还没去过呢玩了再说吧
有的说不能去有些态博了到:那既一玩在咖巴你这我的世界只有你自己看着办忙完了吗你说我要不要，",5
6,不值得去，一进门就被忽悠，大门到门口就几百米路开观光车的会忽悠你坐他车，他会告诉你要走一小时，上去做过山车爬山同样的方法忽悠，上山出了热（因为是7月份）其他就没有玩了，过了30米左右的窄窄的玻璃桥就下山了，不建议去玩，连水都没有，如何玩,1
7,一直认为神谭大峡谷很棒，其实很糟糕，只见山不见水，没有灵石的红崖大峡谷好玩。前边的都是自行消费的，小吃街还算可以，种类多，不是很贵！最坑爹的是刚进入峡谷后左手边的小火车，商家嘴里叫喊着直通玻璃栈道来回省走路两小时，上山下山50元每位，小孩不要钱！太坑了，这商家也太昧良心了。收了钱遇下雨天还停运还不给退钱！我们索性就走下来了，结果只花了三五分钟就走了下来！,1
8,神潭大峡谷位于永济市东南方中条山水峪口古村，群山环抱，气候冬冷夏凉，碧水蓝天、绿树红花、如诗如画，生态环境优良，气候宜人，溪水、森林、自然的民俗村落，构成了神潭大峡谷景区的独特吸引力。,5
9,不要去 真的很差。门票80 里面大部分都是要钱的，连玻璃栈道都还要额外收钱，那这里的特色是什么？你要么就不要收门票钱 里面收钱也可以 门票也收 里面的任何项目都要收钱 关键是景区基础设施还不怎么样 可能是平时没啥人去 也不怎么管理。一个铁桥走得我心哆嗦 铁桥生锈安全问题很担心。据说门票80赠送了三个项目 一个雕像馆 一个台风体验 还有一个表演。去关公雕像馆 是免费的 却要让你买鞋套 塑料鞋套两块钱 进去了之后可真后悔 我连这两块钱都不该花 太小了太小了 两分钟就出来了。去台风体验 也是免费的 却要让你花五块钱买雨衣，有了关公雕像馆的体验 这五块钱更不会花了。整个景区下来性价比最高的应该是玻璃二期 有体验感 有参与性 一人60。其他的真的毫无体验感。出来玩肯定是要花钱的 这无可厚非 可真的钱花得不值 你说看风景吧 风景也没啥特色,1
10,挺好玩的，空气很好，当时还下了一场小雪，感觉很浪漫还去看了表演，老爸老妈一家人都很满意……下次有机会还会一起去！极力推荐哦,5
