id,comments,star_levels
1,人民很热情 世界第一长廊也不是浪得虚名 山好水好 适合度假旅游,5
2,距离昆明市区约八十公里，就在易门县城西约两公里。公园内古木参天、植被茂盛、名刹香绕、亭廊玲珑，园内还饲有很多孔雀。免门票。,5
3,空气好风景优美，大龙口水清澈，四面环山，青山绿色。还有世界第一长廊。街道整齐有续环境干净舒服。没来过可以来旅游一下，适合度假。,5
4,长廊白天晚上都很漂亮，森林公园空气好，环境好，还有百鸟园，而且现在也不需要门票了，很值得游玩,5
5,青山绿水，风景怡人，天然大氧吧，超喜欢！,5
6,风景很美，氧气很足，是个天然大氧吧,5
7,小巧精致，清幽宁静，氧气醉人，适合从龙泉水库大坝上步行至公园，没有门票，龙泉大寺有一段时间了，原来又动物园不知道现在还有几只。,5
8,环境好，在县城里有这么一个地方非常好，天然氧吧，夜晚散步首选，山清水秀，配套设施完善，晚上跑步必备，喜欢，滇中水城，菌乡易门。,4
9,山清水秀，景色优美，植被多元，空气清新，是不可多得的避暑胜地。有醉氧毛病的人慎往。,5
10,这里是距离昆明非常近的一个森林公园，属于国家级，林木茂密，空气清新，值得游览,4
11,山美水美，风景这边独好，值得一去,4
12,有空就去看看吧，易门我的家，很美，想去吗,4
13,风景很好，空气清新。很适合喜欢大自然的人去,5
14,我的家乡风景不错的，每天晚上都去走走,5
15,这里四季如春，重要的是别有韵味！,5
16,风景很好，云南四季如春，硬件很好，适合郊游,3
