id,comments,star levels
1,故宫之大，超乎想象。宝物华美，布局依山傍水。步步故事，值得一游。,5
2,一家三口赴京城，在旅妈妈网订的票，可谓便捷实惠，该网站服务周到，值得向朋友们推荐。赞！,5
3,非常棒的体验，非常值得一去，购买的体验也很完好。,5
4,正巧卡地亚珠宝展，看了一下，故宫很大哦，但你看到的大部分只是房子，爬在窗口看看，钟表馆和珍宝馆感觉一般般，逛故宫很累的，卖水的工作人员态度很差，需要准备现金，至于去看哪些宫凭自己的兴趣，或者走到哪看哪，只能午门进，我是从神武门出的，去景山公园看了故宫全景。看故宫唯一的感想就是我想当慈禧。,4
5,挺好，玩的都挺高兴的。,5
6,人好多好多的建议提早买票刷身份证就可以直接进入啦,5
7,由于是夏天去游玩的，天气有点热，遮阴的地方不多。还有就是早上开放时间有点晚，要到8点半的。其实游客早早的就已经在等开门了。很多游客都挤在午门前。晒着太阳。其他都还可以。,4
8,非常好。。。。。。。。。。。。。。。。。,5
9,暑假来北京天气太热，进故宫人很多，想要看全地方必须有指引。,3
10,暑假来北京天气太热，进故宫人很多，想要看全地方必须有指引。,3
11,导游讲解的不错！！！！！！！！！！！！！,5
12,成团的人太多了，讲解的导游跑的太快了。一路上都在追导游，太累了，建议大家自己游玩，景区有电子导览的挺好的,2
13,有几个小景点没有开放，略略失望，但其他景点真的很棒，必来必须打卡,5
14,这次去北京就是为了重游故宫……所有开放的区域都走了一遍,5
15,刷身份证进入故宫大门和钟表、珍宝馆，非常方便，不用排队买票也不用换实体票。按规则退票也很方便。,5
16,一定要在网上预约，小孩没有身份证可以带市民卡验证，游玩在下午3，4点钟玩真好因为人流会少点，真体体验还是不错的,4
17,驴妈妈购票非常便捷，直接刷身份证就能进园，地铁下来安检就排了半小时，到景区还要安检，景区人太多，也没有服务可言，体验并不好。,5
18,风景区很漂亮，值得去一趟，另外可以看到遗址，觉得只有中国强起来，外列才不敢浸入,3
19,很好，让孩子涨涨见识，了解一下中国的历史文化，有时间再去,5
20,让孩子见识一下历史产物，涨涨见识，就是太热，太阳太毒，基本上就是没逛就走了,5
21,雄伟壮观，气势恢宏，跟着讲解器跑完整个故宫，虽然很晒，人很多，但是不虚此行,5
22,方便便捷，很好很不错的！方便便捷，很好很不错的！,5
23,方便便捷，很好很不错的！方便便捷，很好很不错的！,5
24,非常好，值得去。。下次去，还会选择驴妈妈,5
25,孩子一个人跟的导游，回来后感觉收获不大，还是自己去租个电子解说器慢慢听吧。,4
26,京城阿哥的带领下还是比较愉快的，时间比较充裕！,5
27,订票后直接刷身份证进很方便故宫很值得一去,5
28,故宫博物馆的导游太懒了！我们队里好多人跟着他跑的累死，他把我们放在珍宝馆，让我们自己玩，也不介绍！实在太差,3
29,给家人买的，使用方便。故宫博物院门票价格很良心，赞一个。,5
30,还可以吧！自己买票进去就可以，不要买导游讲解那种。白花钱！手机讲解更详细要带上耳机哦！,5
31,很好的一次体验，导游刘文韬热心又幽默，讲解的非常细致,5
32,看了国家宝藏后，被一件件历史文物深深吸引了，尤其感叹文物背后的故事，由此开启了北京之旅，去故宫感受下，紫禁城里过大年的韵味，过年的故宫，人很多，不过还在故宫也大，只要不是中轴线上，人流还算能接受。看到了万寿灯，号称当初要耗费8000人力才能搭起这个灯，虽然时光流逝，还是能依稀想象到当初的气场气势，后来又转到对面景山公园，需要出故宫后，再买票进去，良心价，还能刷公交卡，只为了爬到上面，一睹故宫全貌，不虚此行查看全部,5
33,不好意思这几天一直在外面玩没有网来晚了故宫这个票订的很满意喜欢海华导游姐姐的讲解内容丰富这是最是最满意的一次订单值得推荐,5
