id,comments,star levels
1,方便方便方便方便方便方便方便方便方便方便方便方便,5
2,满意,5
3,满意,5
4,每年夏天都要来住上几天，放松一下，空气清新，好山好水，,5
5,满意,5
6,满意,5
7,不满,2
8,下午2点左右到达景区，本想网上订票取票麻烦，谁知取票方便、快捷，感谢驴妈妈，有您真好。,5
9,下午2点左右到景区，想着网上订票取票时麻烦，谁知非常方便、快捷，非常感谢驴妈妈，有您真好。景区服务太差，等下山车排了两个多小时队，九点才下山。下次不会再去,5
10,满意,5
11,1、白云山景区叫中国最美的地方有点言过其实！2、只是爬山，跟普通的山没有太大区别，山上风景还可以，但是带3岁以下的儿童或者老人的话就别去了。3、瀑布的景观还可以，但是索道太坑爹，运力严重不足！10月3日在山沟里等索道，等到晚上8点多，快冻死了。4、工作人员管理水平低下，让自己认识的朋友插队！5、最好选择住在景区内，需要玩两天，住在景区外，得坐一个小时的景区内交通车。查看全部,3
12,【点评有奖第10季】很不错的一次出行，九龙瀑布穿山栈道好玩刺激，还有氧吧新鲜的空气和玩具，牡丹园的闯关游戏，令我流连忘返，十分充实！赞,5
13,【点评有奖第10季】风景很不错，空气很好。凌晨登山看日出，很漂亮。,5
14,【点评有奖第10季】第一次早上三点起床去看日出，十月份山上有点冷了，看到好多人穿着租来的大棉袄，开始有点担心，但是爬了一会，发现越走越热，大衣反而成了累赘。白云山比起重渡沟，吃的东西太少了，景点也不是太多，一般般，希望下次去的时候景区再成熟一些,3
15,【点评有奖第10季】天蓝水碧树高草绿山陡，还见到一只小松鼠。很漂亮，天气很玉皇顶上面小飞虫太多，没法呆，这是唯一的遗憾。,5
16,早上7点从洛阳出发，晚上6点多才回到洛阳，就这样也就玩了一个九龙瀑景区，太紧张了！这个景区环境非常好，就是景点比较分散，更适合在这疗养休闲！得注明非两日游不可！查看全部,5
17,用驴妈妈旅游网定票真的挺不错，出票很方便！,5
18,【点评有奖第9季】原先对于洛阳白云山印象不是很深，首先景区票价对于现在的许多景区相对便宜很多，其次景区远离景区大门必须坐景区大巴，坐大概四十分钟才能到真正的景区内部，景区内部交通发达，免费观光多，想想七十的车票价格也还好，景区内部分四大景区，分氧吧，玉皇顶，小黄山，九龙瀑布，一天肯定是玩不完，目前小黄山没有开放，正在安装缆车，风光确实没得说，感觉挺值得一玩，山上山下吃住也方便，酒店旅馆也非常多，这天气上山山顶还是好冷，到达山顶还有九龙瀑布时，感觉真的有种黄山的感觉，挺壮观的。在我心里对于河南的景色来说，爬山的话一个是云台山一个是白云山。放上手机的几张照片。查看全部,5
19,【点评有奖第9季】票价优惠幅度较小，景区环境优美，一天游玩时间太过紧张，体力也受不了，两天的话，住在山下，还需要再次改签门票与交通，每个人再缴纳15元的交通费，我觉得这个不但麻烦，而且不合理！！,4
20,不错不错哎就是第二天看日出天空不作美呀,4
21,记得第一次去白云山的时候，感觉坐车很玄乎，窗户边都是悬崖，有点刺激。下车后不晕车的人也晕乎乎的。不过凌晨登山看日出还是有收获的,4
22,enenenenenenenenenenenenenenen,4
23,云山风景秀丽，素为旅游胜地，古今名人题咏甚多；宋高宗载赵构感叹曰“云山七十一峰，烟云变幻”，并流传许多美丽动人的传说。云山，以山奇、水秀、林幽、云幻著称,4
24,白云悠悠、林海莽莽、山俊石奇、飞瀑流泉是白云山自然风光的真实写照；地跨三域、山水大观、原始林海、避暑胜地是白云山的最大特色。白云山既有北国山水的雄伟之态，又有南方山水的俏丽之容。有以白云山、玉皇顶、鸡角尖为代表的山岳奇峰景观，以唐代银杏林、原始森林、高山杜鹃林为代表的森林景观，以九龙瀑布、黄龙井、白云湖为代表的瀑潭水域景观，以春花夏绿、秋叶雪韵、云海日出为代表的物候气象景观，以洞天栈道、留候祠、名人石刻群为代表的人文景观。查看全部,4
25,百闻不如一见，就是离洛阳倒是蛮远的，坐车大概要4，5个小时，因此路途有些枯燥，大半的体力已经消耗在路上了。所以一日游是不大可能，最好选择比较好的酒店住下，慢慢享受这里的青山秀水。山上的寺庙感觉历史很久远，没细细研究。,4
26,这里的风景的确比较奇特，阶梯型的瀑布，错落有秩，每见一个瀑布，我们都会住脚观赏一翻，山中不但风景如画，还有着不同的植被和种类繁多的树木，不同的种木上都悬挂有树木的名称和简介，有的树种也是白云山独有的木本植物，我们细读着简介，慢慢观赏着树木的形态，每见一种奇特的树木，也彼为心喜。一直下到九龙瀑布，看到很多人都在拍照，我们也拿出相机，开拍起来。九龙瀑布是白云山流量较多，落差最大的一个瀑布，走近瀑布，水从高处飞流而下的声音震耳欲聋，洛水溅起的水花和随风而飘的水雾犹如小雨向周围伞状散发着，让人感觉如入风雨之中。时至三月下旬的晴暖天气，本来走了一身汗的我，被这山底瀑布卷起的寒气袭侵，突然感觉冷了起来，连忙把拿在手中的风衣穿上了身。深山之中自有不同寻常的气候，真乃是：山间风云多变幻，同是一天季不同。南面春天北面冬，山上晴天山下雨。好美!真想隐居在那里!查看全部,4
27,我是十一长假去的洛阳栾川和嵩县，养子沟景色很好，重渡沟也不错，游客不是很多，环境很好。当地的民风纯朴，在白云山上，因为下雨去买雨衣，塑料的那种，一件才四块钱，想想那么高的山，他们运上去实在不易。白云山的九泷瀑很漂亮，很壮观，去原始森林要找当地人带路，不过随团去的话都不去原始森林，因为路太窄了，旅行团的车进不去，那个森林已经100多年没有采伐过了。简直是人间仙境，以后有机会还要去。学生朋友如果要去请戴上学生证，可买到半票哟。查看全部,4
28,我是五一长假去的洛阳栾川和嵩县，养子沟景色很好，重渡沟也不错，游客不是很多，环境很好。当地的民风纯朴，在白云山上，因为下雨去买雨衣，塑料的那种，一件才四块钱，想想那么高的山，他们运上去实在不易，还有买了一套纯棉的秋衣，才四十块钱。白云山的九泷瀑很漂亮，很壮观，去原始森林要找当地人带路，不过随团去的话都不去原始森林，因为路太窄了，旅行团的车进不去，那个森林已经100多年没有采伐过了。我是自己开车去的，实在是好，五月一日去了一次，五月四日又去了，简直是人间仙境，以后有机会还要去。学生朋友如果要去请戴上学生证，可买到半票。研究生证也可以。军官证也有的优惠。查看全部,4
29,【点评有奖第14季】l风景不错，就是宾馆太贵，好一点价格合理的都住满了，看日出台阶太多，白云挺漂亮,4
30,【点评有奖第14季】国庆期间人不太多，食宿都比较便宜，当然档次就别苛求了，景区内几家酒店还不错（现场订比网上订便宜）。景区大门距景点太远，交通费不比门票贵。景色还行，特色不明显。,4
31,【点评有奖第14季】地方是真大，中午才到，感觉逛了四分之一都不到，遗憾啊！,4
