id,comments,star levels
1,演出还可以，但其余的实在不敢恭维，也可能是天热吧，感觉不好,3
2,千古情演出很精彩，值得一看，下次可以带上家人再去逛逛,5
3,很好，用的杭州本地人优惠，就是人人太多了，差不多要挤着走了，这说明好地方，一次很愉快的游玩,5
4,表演还可以商业街很多卖吃的也有小孩玩水的,4
5,杭州宋城真的只有千古情有看头，其他的真的是一般，这么热的天空调也没有，一般有空调的店人多到数不清，就连吃饭的地方也没有，就算你有钱也没地方花的那种，而且那里卖吃的的店员你去询问他都不带理你一下的（只有你付了钱才会跟你讲话的那种）服务态度极差。而且里面的物价特别高，一根棒冰最普通的那种要十块钱，而且很普通的那种雪菜米面一碗要35，然后最普通的炒面一碗要30（还是用一次性的碗给你装的）。最重要的一点是杭州宋城地方是真的很小，两个小时内绝对可以逛完。建议要去的人，最好早上早点去，下午绝对熬不过两点钟，因为中午过后人越来越多真的是人挤人。而且除了千古情在室内表演其他基本上都在室外，天气一热根本就熬不住，说到表演真的是差诶，千古情是每天都开放的，我们去的时候只剩下一个大型表演，就是丽江恋歌，其他的大型表演基本都不开放（那我们门票买进去是干什么的？），说实话真的真的不值门票钱，建议真的要去的朋友最好买贵宾席因为观众席和贵宾时就只相差十块钱，然后豪华沙发席根本就没有多大的用处而且门票还要五百八（就只是表演的时候会有人来给你端茶作为表演的内容）现在的门票对于杭州市民是比较友好的优惠价，没有去过的杭州市民可以去试试，到做好防晒的准备。然后外来的朋友是三百一十块的观众席门票，我之前也说过最好买三百二十块的贵宾席，位置真的好很多。反正总结下来杭州宋城除去千古情，一点看头都没有。最后附上千古情表演的图。查看全部,3
6,千古情表演精彩！演员服饰灯光都是一流的。,5
7,杭州宋城，景点全用大棚遮阳，还喷雾洒水。多个演艺大厅,5
8,取票方便又快，下次出游驴妈妈是必不可少的工具之一！,5
9,宋城里的每个演出都很精彩，不足的是有些设施明显不用心，,4
10,宋城千古情演出不错值得一去.............,5
11,很愉快的一次出行，演出很精彩，体验了一把穿越千年的感觉,5
12,以为贵宾席是最高端的，结果并不是，但是表演还是很不错的，本来就是冲着宋城千古情的表演去的,5
13,宋城千古情，很值得一看的演出。大地震很震撼，看的人热血沸腾！,5
14,非常不值得的一个景区，很小，几个表演而已，两个小时就玩玩出来了,5
15,取票很方便，网络取票机，里面很繁华，演出节目很精彩，工作人员的服务态度还不错，值得观光旅游,5
16,挺好玩的，很不错，值得一看，不是节假日人也很多哦,5
17,绝对值得一去，可惜还有几个没开，下次再去,5
18,很一般的景区，演出还好一点！！！！！！！！！,3
19,预定都还不错，就是4月有些节目还没开，购买还是很方便，快捷的,4
20,千古情非常值得一看，遗憾的是去了两次都没看到小白,5
21,确实是给你一天还你千年，5.1去的人超级多，里面的吃的都比较贵，建议自己带水。,5
22,订票方便，新注册会员优惠活动比较多，下次去玩还会来订票的,5
23,不错。玩的很开心。演出也很棒。下次再去。,5
24,五一就是人太多，表演都很好看。下次挑一个人少的时候去,5
25,五一假期去的宋城，值得一赞的是千古情表演，很震撼，就是人太多了，游玩体验不好，最好避开假期出行！,4
26,很好玩，风景独好，大人小孩都玩得尽兴，感觉值,5
27,演出非常精彩，是值得一去的好地方，给我一天，还你千年。,5
28,五一出游，什么都不说了，哪哪都是人，虽然是为了千古情演出去的，可是体验真的人太多不好。演出很好很震撼，可是到了外面，人挤的走不动，宋城高峰期是否人员限流？演员连轴转也吃不消吧，辛苦了。,3
29,五一玩人太多，人挤人。宋城千古情值得一看。,4
30,值，很值得一去的地方，不管是小孩还是大人，都会喜欢。期待越办越好,5
31,很愉快的一次出行，演出很精彩，体验了一把穿越千年的感觉,5
32,以为贵宾席是最高端的，结果并不是，但是表演还是很不错的，本来就是冲着宋城千古情的表演去的,5
33,宋城千古情，很值得一看的演出。大地震很震撼，看的人热血沸腾！,5
34,非常不值得的一个景区，很小，几个表演而已，两个小时就玩玩出来了,5
35,取票很方便，网络取票机，里面很繁华，演出节目很精彩，工作人员的服务态度还不错，值得观光旅游,5
36,挺好玩的，很不错，值得一看，不是节假日人也很多哦,5
37,绝对值得一去，可惜还有几个没开，下次再去,5
38,很一般的景区，演出还好一点！！！！！！！！！,3
39,预定都还不错，就是4月有些节目还没开，购买还是很方便，快捷的,4
40,千古情非常值得一看，遗憾的是去了两次都没看到小白,5
41,奈斯，玩得非常开心流连忘返，有机会还会去的,5
42,不错，都去三次，只要是为了看小白涵敏的，她真是“一想之美”啊！,5
43,演出很好看，贵宾席物超所值，景区的游船有点坑，30元一人，就来回划10分钟,5
44,一直延用此平台够票，方便快捷，下次继续，赞赞赞!,5
45,总体来说很满意，演出很精彩，就是停车特别难,5
46,这次五一出游人很多，杭州堵车很严重，中间出了点小问题，谢谢驴妈妈客户给解决了游！宋城特别好看，表扬超棒，四年前去过一次，还是感觉挺震撼的表演,5
47,去杭州必去宋城！非常美的地方。体验宋城演艺千古情,5
48,不咋滴，没看头，设施也不怎么好，宝宝们说下次不会去啦。,5
49,真心不错，表演很壮观！性价比很高，值得再来,5
50,一次不错的旅行，看了宋城的千古情感受颇深,5
