id,comments,star levels
1,云龙地缝上来装个电梯就更好了，五座山爬完再下去后上来就像要命了,5
2,爬山累的不行了。太高了。来一次就够了。不会再来了,2
3,爬山实在太累了，乘缆车后仍有一大段路要走。地缝那段稍微轻松点。,5
4,不错的旅程，风景不错，就是爬山有点累，比较值得,5
5,整体很好，景色真不错，值得一玩。感觉云龙地缝要比七星寨要好，很期待云龙地缝二期，七星寨最值得看的就是一柱香了，尤其走着走着忽然它出现在眼前的时候真的很震撼。服务方面感觉还是有需要提高的地方，比如返程的大巴车等待时间太长，另外从恩施汽车站到大峡谷的那趟公交车颇有小公共招手停的风格，回城时司机还怕刹车失灵，路上停了一会用自来水给刹车片降降温。值得一提的是，下山时腿都快抽筋了，终于走到了大楼门扶梯处，得花10块钱买票，本来还有些犹豫，后来发现扶梯真长啊，一段一段的，这10块钱还是挺值的。查看全部,5
6,累就一个字，我只说一次！！！！！！！！！！！,3
7,整个行程很顺利，我们的旅游攻略做得也很很好！节省了好多时间！,4
8,五一出行恩施大峡谷简直是一场灾难，比春运还恐怖，人山人海，几乎走不动路，怎么会有这种情况？不可思议，领教了中国人多力量大的气概！节假日景区是限制人流量的，只卖第二天的票，当天是买不到票的，但是开往景区的游客集散中心却不提前告知，很多人白白花了50元的往返交通费也没进去，并且浪费了大半天时间。从集散中心到景区大门口开车大约需要一小时，我们的车开了整整半天，路上完全堵死了，最后徒步三公里。景区的承载力有限，地缝窄处只能走一个人，几万名游客让景区快瘫痪了，很多地方需要改进，不能只顾着赚钱。查看全部,5
9,五一去的，堵到爆，景区承载能力弱。一定要去建议住峡谷附近，早上7点过就要去游客中心换票。节假日反正是各种堵，我们住恩施市里，50几公里路早上8点出发往峡谷开，堵到下午两点，只有退票重新买第二天再进谷。进谷各种排队，排队做大巴，排队上索道，排队下山。以前只见过堵车，在峡谷里人也堵到了，下山路窄，1公里路几乎人挨人排队堵着下山的。下山电扶梯30元性价比十分高，建议一定要做。上山索道太贵，不过去了为了节省体力也只得挨宰。附近没其他好玩的非节假日可以去玩一玩，没什么特别的风景，就当放松身心，空气不错。远地的，如重庆或更远的地方的就不必为了这个风景远到而来了，你会失望的。查看全部,3
10,很震撼，大自然鬼斧神工，很值得一游！全程还是有点累的！,5
11,这是第二次使用驴妈妈了，第一次实在深圳的华侨城，真心不错哦！使用方便还有优惠，以后出门必不可少的平台了，哈哈哈哈,5
12,风景不错就是十一人太多缆车要等3小时四座山要爬半天,4
13,景点真的宣传大于实际了，风景也不是特别好，还不如浙江的这些山了，,3
14,满意,5
15,"购买非常方便，还有优惠卷可以领取，经济实惠，但是注意要提前一天购买，第一次从驴妈妈上购票，以后会经常选择这里购票了。恩施大峡谷，国家5A级景区，恩施旅游的首选景点，我们选择相对淡季出行的，人还是不少，最近恩施大峡谷比较热门，很多人选择这里，毕竟景美空气新鲜啊，而且路程不算很难走，老人,小孩还可以选择做索道，扶梯，非常方便，景区里面各种设施也是非常完善，路牌，标语，清晰明了，里面小卖部也非常实惠，还有自烤面包，新鲜好吃且不贵，完全不用背太多东西，可以轻装上阵，非常方便。查看全部",5
16,满意,5
17,满意,5
18,非常好，国庆旅游景点人多，自助游有了景点介绍就像有一位导游跟着我们，最体贴的是还有离线介绍！,5
19,都说国庆出游就是排队排队排队，看人看人看人，但是还是要感谢驴妈妈网上强大的购票系统，让我在3号之前提前一天买到了去恩施大峡谷的套票，在排队购票的过程中才刚刚9:30被告知由于景区游人已经超出景区最大游客量，现场票已经全部售罄请游客谅解不要继续排队，很多游客败兴而归，甚至还有游客买了高价黄牛票在检票口被拒说是无效票，真是悲催呀！虽然换票排了1个小时、入景区又排了一个多小时、乘景区环保车排了一个多小时、乘缆车又排了两个多小时，直到1:45才登上缆车，开始游程，晚上也是直到8:00多才走出景区，虽然累，但是为了庆祝国庆举家出游的愿望和游程没有被打乱还是非常值得庆幸的！再次感谢驴妈妈！如果今后除了出售全价票以外能让我们买到老人票和学生票就更好了，虽然有点难为人了！小小建议望能采纳，谢谢！查看全部,5
20,满意,5
21,满意,5
22,大峡谷值得去腾龙洞值得去其他不必去,5
23,回程电梯三十一人很良心大峡谷的点评写过了,5
24,回程的高铁上娃呼呼大睡此行再回味一下-恩施这两年被时时提起的一个地名于是纠结的说去看看顺便去趟三峡神农架就在附近的不到两百公里处只是实实在在需要等娃再长大一些于是我们的恩施行就变成了深度游a)腾龙洞很大真的是超大是国内已探明的最大溶洞洞内的歌舞表演和激光表演也是诚意满满b)梭布垭石林被称为世界第一奥陶纪石林形成于4.6亿年前石林很有特色犹如置身海底只是爬起来上上下下不易c)石门河地带考古猜测是直立人类起源地号称世界第一古人&中国第一古河在谷底玩水好不惬意d)恩施大峡谷之前已特别说过了另外由民歌改编的实景剧龙船调也值得一看与印象系列有的一拼查看全部,5
25,满意,5
26,取票特别快，免去了排队买票，风景优美，带着孩子一起去的，一路走完了两个风景，感受自然风景,5
27,满意,5
28,满意,5
29,订票快捷，景区环境管理好，风景秀丽，非常值得游览。,5
30,为什么！？？？？？？？？？？？？？？？？？？？？？？,3
31,还是不错滴，价格很实惠哦。还是不错滴，价格很实惠哦,5
32,当日天气给力阳光明媚，景色不错，就是几个景点距离太远耗费了不少体力，整体还可以。,3
33,满意,5
34,大峡谷太美了，火车站附近客运中心直达车到景点。,5
35,恩施大峡谷，风景优美，网上订票，方便快捷。,5
36,虽然是淡季，旅游的人也非常多，驴妈妈取票非常方便,5
37,满意,5
