id,comments,star_levels
1,一天爬完华山4个峰，第二天脚杆打闪闪的感觉难以忘怀。,5
2,华山这个地方一定要来下，是五月中最最俊美险要的一个。,5
3,20190414来到华山只买了门票，北峰北上北下全程徒步，用时5个小时。景色优美，运动量刚刚好。赞赞赞！,5
4,看日出，第四个观日台再往前走不到100米的鹞子翻身也是一个看日出非常棒的地方而且有两层前低后高，不像其他观日台前高后低后面的人都看不到。,5
5,西岳华山自古以险著称，这次见证了金庸笔下的华山风貌，恍如置身华山论剑的场景当中,4
6,华山  用户体验特别差   首先，我们是奔着长空栈道去的，到那里看见有几个工作人员进去玩去了  但是对游客就是说检修  不让进，其次山上工作人员疏导说西峰索道人特别多  得排队三个小时，建议你们去北峰索道，我们去北峰索道后，工作人员又说需要排三四个小时，建议你们步行下山，呵呵 以后再也不回来华山了。,1
7,只有一天时间，选择北上西下（均索道，西上北下更省力），索道北上10min，西下20min，西下的索道要翻过几座山，cool。北峰到中锋需要2h，陆续到东峰、南峰、西峰就很近了。东峰鹞子翻身、南峰长空栈道项目较慢，均需要排队1-2h，不过确实刺激独特，各地点的合影拍照请还价。想看日出的还是需要夜爬华山（晚上10点左右开始），或者在山上提前住一宿。根据情况自带零食、水果、饮水、手套等。选择华山一条路爬上去的话需要4h，斟酌体力和时间安排，避免后续各山峰无力游览。,5
8,08年十一月一个人爬了一次，感觉不过瘾，十二月又去爬了一次，长空栈道就我一个人，好爽！,5
9,很不错的一个圣地，就是体力文体爬的有点累,5
10,华阴给来爬华山的游客的福利—市内有免费班车到华山售票处。大家记住去的时候在哪儿下的车，回来也在哪儿上车。千万别在门口的路牌下傻等。,5
11,建议先去其他几个，最后登它，因为最有意思吧,5
12,早上9：30起，顺着自古华山一条，西门开始，北峰、南峰、东峰、中峰，最后到达西峰看日落，坐上缆车，飘飘荡荡下来；爬的慢，走走停停，山景无限好，基本都优于我之前爬的每一座山峰，特别是险峻——苍龙岭、千尺幢、百尺峡等等，仅华山二险——鹞子翻身、长空栈道太过惊险而未做体验，各险峻处，风光更绝，峭壁千尺，绿树厅石；特别美好的一次爬山体验。,5
13,建议体力不是特别好的坐索道上下，这样就可以走完几个峰，华山的确很险峻，很多路都很窄，山峰也是。我觉得这是西安最值得去的景点。,5
14,几座名山里面最为险峻的一座 石头很特别,4
15,除了登华山外还可以欣赏一下华阴老腔，据说比秦腔还古老，当然前提是你懂得了。,3
16,一天爬完华山4个峰，第二天脚杆打闪闪的感觉难以忘怀。,5
17,华山这个地方一定要来下，是五月中最最俊美险要的一个。,5
18,20190414来到华山只买了门票，北峰北上北下全程徒步，用时5个小时。景色优美，运动量刚刚好。赞赞赞！,5
