id,comments,star_levels
1,人真的超级多，警卫人员也很多。,5
2,故宫只接受网络订票，可以去官网。故宫从午门进，门口有租语音导览的20/人，多个语言版本，全程概括就是听王刚老师讲故事。大概的溜达一遍花了4h。必须要说一下，故宫里的文创实体店挺多的，但是很乱，展示的效果不好，没有什么高级感，没有网店里的产品图看着有想买的冲动，而且产品不是很全，大概网店才是正经店铺吧。（回来才听说有故宫网店，还开到上海了，好的明天去。。。）,4
3,故宫，中国古代宫廷建筑的精华！每一次前往，都会有不一样的感受，春夏秋天尽显不同的美景～每一次前往也都有不同的感受，是一个值得多次游览的地方！去感受三大殿的辉煌气势，感受东西六宫的喜怒哀乐，去感受文化底蕴。紫禁城，大部分时间都游人如织，这是让人没有办法去解决的一个问题，但是在这样的环境中，你还是会觉得这一趟是值得的，而且还会觉得一趟是不能满足的。尤其在看了很多的故宫文化之后，你就会更加的想不停的去探索！故宫，一个值得你去游览的好地方！,5
4,之前是听说现在故宫必须提早网上买票预约才能进去，所以早早的在网上预定了今日的上午场门票。到达现场后其实看到，门口手机扫二维码好像也是可以购买当天的入场门票的，可能是因为冬天的北京旅游的淡季吧。总之还是提早预定好比较放心！,5
5,我知道四季的故宫各有千秋，春观花，夏有小鹿，秋看银杏，冬赏雪。秋天的故宫，美得惊艳，雕梁画栋，一砖一瓦，都染尽秋色。,4
6,已经是第二次来刷故宫了，这次感觉终于看全了，故宫门票现在都是网上用身份证预约买票，入口租个讲解器很有必要，20一个，还不用押金，讲解很详细，背后还有地图，沿着地图参观很方便，因为是淡季，下午3点半进口就停止入内了，游客就好少了，可以拍拍没人的故宫很赞。,5
7,门票购入渠道：马蜂窝  50.5（含珍宝馆+钟表馆）,5
8,关于参观故宫的一些攻略分享:,5
9,凛冬散尽.星河长明,5
10,绕了故宫一圈后（三条线全部走过），原以为可以去天安门城墙上看，结果泡汤了，只能上午门。同样，在这几个小时内，听罢电子导游的唯太和殿屋脊上仅有的十小兽，对这个小兽十分好奇。尤其是一座座宫殿，甚至于每一间屋子都装饰着小兽时，好奇心弄得心痒痒的，手机当时已经快关机了，但即使搜到，估计也记不住，当转寻第二圈时，我发现了一个关于故宫布局的纪念馆，里面展示了样式雷和十小兽，看着在眼前的十个屋脊饰品，我一口气就记住了他们的名字，形状，让人非常开心。分别是：龙，凤，狮子，天马，海马，狻猊，押鱼，獬豸，斗牛，行什。故宫宫殿严格按照等级制度构建，屋脊小兽前放置仙人驾鸡，小兽数量按照重要程度分别放置1、3、5奇数个小兽至9个，后面并上龙吻兽。太和殿为全国建筑孤例，放置9＋行什，十兽。,5
11,老芳和我说故宫是她想来北京最主要的原因，一个怎么逛都逛不完逛不够的地方。,4
12,当天直接在美团订故宫门票，刷身份证进去，穿过天安门就是故宫城门。故宫真的很雄伟，很气派，很大。但是天气太冷，穿过各道城门的时候寒风刺骨，只想找个温暖的地方躲一下。时间临近中午，肚子饿了便更觉得冷。忽然看到故宫门口有吃饭的地方，这不就是现代版的御膳房吗，于是果断进去避风顺便找吃的。故宫御膳房的伙食有点贵，味道跟户外那种自热盒饭一样，肚子饿了还是一下就吃光了，气势磅礴、恢宏大气的宫殿。走在广场大院上的时候就想着，这城墙上的一砖一瓦，这广场地上的斑驳石砖，见证了多少恢宏的历史，经历过多少战争厮杀改朝换代和血雨腥风。故宫中轴线上有好几个门，好几个宫殿，每个宫殿正中间都是皇帝的龙椅。不同的宫殿在古代都是什么作用就不得而知了，整个故宫很大，后宫三宫六院围绕在皇帝寝宫的两边，时间原因没有一一去看。  直接从神武门出来 。我决定，沿着故宫护城河外墙，走回正门的地铁站，这条路很清净，旁边是一些安静的小胡同，我在想，古代的时候，这里应该是非常热闹的集市，毕竟是皇宫外围，一定有很多故事。,5
13, 再次来到故宫时，紫禁城早已需要预约。这次北京之行最重要的一站，只此一站也不虚此行。当那天发现清明上河图3.0互动展时，当我们三在凌晨十二点顺利抢到这门票时，当我们进入展厅看到清明上河图长卷时，当我们坐着小船人在画中游时。时隔千年，我们依旧在河上漂游，多想俯身捧一清水，留住那逝去的岁月。,5
14,对于南方来的孩纸来说，看到河面结冰是一件很激动人心的事了。,5
15,故宫很大，里面的宫殿和城楼城门都很大很气派，但是有些宫殿是不给进去的，有点小失望吧。博物馆里面展品也比较多，确实不虚此行。皇帝的养心殿在修缮看不了，顺便说下故宫很容易迷路，能逛的话建议预留两个半小时左右把它逛完吧，尽量租自动讲解器也不贵20元，上面还有地图的，这样逛就趣味性强一些。,4
16,大家一定要早点去！天安门外安检，队伍超级长...我是在网上买票的，直接刷身份证进非常方便，但也遗憾没有纸质门票做纪念。从午门进，神武门出，进门第一眼确实让人震撼！北京故宫被誉为世界五大宫之首，虽说这里早已不再是中国的政治中心，但当你置身于气派规整的高墙深院，依然能真真切切地感受到它曾经的荣耀。,4
17,建议珍宝馆+钟表馆一起买，确实值得一看。预订后刷身份就可以进入了。,4
18,春节期间故宫人流真是大大大，如果不提前网上购票，现场是买不到票的。要是不幸的你跟我一样选了个高峰日去，建议抛弃官方推荐的三条游览路线吧，捡个人少的地先去吧，我可不会告诉你，一大早的珍宝馆和钟表馆没有人！！,5
19,故宫门口的柿子树，柿子挂满了树梢。看的我口水直流。,4
20,来到北京一般第一个景点都会选择象征性的故宫，去故宫不能太晚要不然排队会等很久，并不是说进故宫，而是所有下车都是在天安门马路对面要过安检检查身份证再穿过隧道往前走点，总之跟着人走就是了。,5
21,有一个词可以形容我对故宫的印象，“念念不忘，必有回响”。红墙绿瓦，琉璃光彩，威严庄重，又不失精巧别致。前瞻，亦或是后仰，无一处不吸引你的眼眸。历史赋予了故宫浓厚的色彩，清宫剧却增添了许多可爱。站在曾经若曦站过得地方，像若曦一样望着四爷远去的背景，那股落寞，还有内心的沉痛。时间静止，任凭阳光洒在脸上，一双人儿的恩恩爱爱，叹息。后花园的枝枝蔓蔓，灼灼其华。冬日总是惦记那一份暖阳，懒懒的，不时还有几只猫儿乱窜，游客窸窣。翻云覆雨的历史潮流，不禁深思，下一刻的自己会在哪里，又在做着什么呢。如果下一秒我穿越了，又会是什么样的人间。偷得闲儿空儿，总是念叨一句，啥时候去趟故宫呀！曾经我把话说与他听，如今他与我一同见证，这一段时光。,5
22,门外有讲解器20元，配耳塞，不用押金，出门时候还。经过三座大殿后想去钟表馆和珍宝馆的往右手边走，那天早上刚好有活动，后面三座大殿封路了，只能去东六宫，一直往前走直到御花园，由于十一点半活动结束，封锁解除，所以我们又从御花园折回去坤宁宫-交泰殿-乾清宫，然后从西六宫走回御花园，从神武门出。地图可以在小程序〔玩转故宫〕看。,5
23,如果朋友感兴趣，我按照时间的长短具体描述一下游览的最佳路线。但是，要想认真的了解故宫，真不是一两天可以够用的，所以建议有时间、有兴趣的朋友多走几次，肯定会受益匪浅。,5
24,我在网上买了门票，然后直接刷身份证进去（包括珍宝馆跟钟表馆），进去之后在旁边那里租了三个讲解器，提醒一下，除了普通话还有粤语的，后悔没跟她说要粤语的，还好妈妈功底还是有的，讲解器是20元一个人，拿到之后不用按任何键，你戴好之后，走到那里它感应到那里，就会自动讲解的，归还是在出口神武门那里。,5
25,故宫需要从南到北参观，午门是唯一的入口，出口是东华门和神武门。,5
26,门票可以提前买好，进去直接刷身份证。但是讲解器是要另外花钱租的，很多人租，需要排队。没有微信讲解这些。要不人家卖讲解器的怎么挣钱？另外就算有微信，手机里面也没啥信号。因为人口太密集了......,5
27,（提前预约，花费2小时）：故宫真的很大，提前一天预约了门票之后，到了可以刷身份证进门，人也好多，在里面逛了好久，慈宁殿开放了，所以也去慈溪花园逛了一圈，我买的是套票，所以珍宝馆和钟表馆也都参观了，故宫更多是看建筑和园林还有纪念品，收藏的珍品比较少，就是珍宝馆和钟表馆里会有一些藏品。故宫是固定了出入口的，游览的时候要注意了。总体而言，故宫的纪念品价钱还是不算太高的，还挺有趣的，买了一个冷宫冰箱贴。,5
28,北京故宫博物院建立于1925年，是在明朝、清朝两代皇宫及其收藏的基础上建立起来的中国综合性博物馆，也是中国最大的古代文化艺术博物馆。是明清两个朝代的皇宫，是世界上现存规模最大、保存最为完整的木质结构的宫殿型建筑。故宫入选了世界文化遗产，是全国重点文物保护单位，国家5A级旅游景区。故宫内有中国博物院，建议游览4小时，故宫内建筑精美，装饰气派。,5
29,旧梦依稀往事迷离,5
30,上次游览故宫是在5月，天气十分炎热，整个故宫除了御花园没有一棵树木，我们只能顶着烈日游览中轴线主体结构的部分。,5
31,大家一定要早点去！天安门外安检，队伍超级长...我是在网上买票的，直接刷身份证进非常方便，但也遗憾没有纸质门票做纪念。从午门进，神武门出，进门第一眼确实让人震撼！北京故宫被誉为世界五大宫之首，虽说这里早已不再是中国的政治中心，但当你置身于气派规整的高墙深院，依然能真真切切地感受到它曾经的荣耀。,4
32,建议珍宝馆+钟表馆一起买，确实值得一看。预订后刷身份就可以进入了。,4
33,春节期间故宫人流真是大大大，如果不提前网上购票，现场是买不到票的。要是不幸的你跟我一样选了个高峰日去，建议抛弃官方推荐的三条游览路线吧，捡个人少的地先去吧，我可不会告诉你，一大早的珍宝馆和钟表馆没有人！！,5
34,故宫门口的柿子树，柿子挂满了树梢。看的我口水直流。,4
35,来到北京一般第一个景点都会选择象征性的故宫，去故宫不能太晚要不然排队会等很久，并不是说进故宫，而是所有下车都是在天安门马路对面要过安检检查身份证再穿过隧道往前走点，总之跟着人走就是了。,5
36,有一个词可以形容我对故宫的印象，“念念不忘，必有回响”。红墙绿瓦，琉璃光彩，威严庄重，又不失精巧别致。前瞻，亦或是后仰，无一处不吸引你的眼眸。历史赋予了故宫浓厚的色彩，清宫剧却增添了许多可爱。站在曾经若曦站过得地方，像若曦一样望着四爷远去的背景，那股落寞，还有内心的沉痛。时间静止，任凭阳光洒在脸上，一双人儿的恩恩爱爱，叹息。后花园的枝枝蔓蔓，灼灼其华。冬日总是惦记那一份暖阳，懒懒的，不时还有几只猫儿乱窜，游客窸窣。翻云覆雨的历史潮流，不禁深思，下一刻的自己会在哪里，又在做着什么呢。如果下一秒我穿越了，又会是什么样的人间。偷得闲儿空儿，总是念叨一句，啥时候去趟故宫呀！曾经我把话说与他听，如今他与我一同见证，这一段时光。,5
37,门外有讲解器20元，配耳塞，不用押金，出门时候还。经过三座大殿后想去钟表馆和珍宝馆的往右手边走，那天早上刚好有活动，后面三座大殿封路了，只能去东六宫，一直往前走直到御花园，由于十一点半活动结束，封锁解除，所以我们又从御花园折回去坤宁宫-交泰殿-乾清宫，然后从西六宫走回御花园，从神武门出。地图可以在小程序〔玩转故宫〕看。,5
38,如果朋友感兴趣，我按照时间的长短具体描述一下游览的最佳路线。但是，要想认真的了解故宫，真不是一两天可以够用的，所以建议有时间、有兴趣的朋友多走几次，肯定会受益匪浅。,5
39,我在网上买了门票，然后直接刷身份证进去（包括珍宝馆跟钟表馆），进去之后在旁边那里租了三个讲解器，提醒一下，除了普通话还有粤语的，后悔没跟她说要粤语的，还好妈妈功底还是有的，讲解器是20元一个人，拿到之后不用按任何键，你戴好之后，走到那里它感应到那里，就会自动讲解的，归还是在出口神武门那里。,5
40,故宫需要从南到北参观，午门是唯一的入口，出口是东华门和神武门。,5
41,门票可以提前买好，进去直接刷身份证。但是讲解器是要另外花钱租的，很多人租，需要排队。没有微信讲解这些。要不人家卖讲解器的怎么挣钱？另外就算有微信，手机里面也没啥信号。因为人口太密集了......,5
42,（提前预约，花费2小时）：故宫真的很大，提前一天预约了门票之后，到了可以刷身份证进门，人也好多，在里面逛了好久，慈宁殿开放了，所以也去慈溪花园逛了一圈，我买的是套票，所以珍宝馆和钟表馆也都参观了，故宫更多是看建筑和园林还有纪念品，收藏的珍品比较少，就是珍宝馆和钟表馆里会有一些藏品。故宫是固定了出入口的，游览的时候要注意了。总体而言，故宫的纪念品价钱还是不算太高的，还挺有趣的，买了一个冷宫冰箱贴。,5
43,北京故宫博物院建立于1925年，是在明朝、清朝两代皇宫及其收藏的基础上建立起来的中国综合性博物馆，也是中国最大的古代文化艺术博物馆。是明清两个朝代的皇宫，是世界上现存规模最大、保存最为完整的木质结构的宫殿型建筑。故宫入选了世界文化遗产，是全国重点文物保护单位，国家5A级旅游景区。故宫内有中国博物院，建议游览4小时，故宫内建筑精美，装饰气派。,5
44,旧梦依稀往事迷离,5
45,上次游览故宫是在5月，天气十分炎热，整个故宫除了御花园没有一棵树木，我们只能顶着烈日游览中轴线主体结构的部分。,5
46,虽然是在非节假日且是工作日来故宫，进去的一瞬间还是被游人如织给惊到了，各种旅行团的小彩旗在飘，我和米酒都属于人群乌央乌央就没什么兴致游览的人，再加上两个路痴看着地图找地点也找不利索，大多数宫殿又被栏杆围起来只能在外面远远地看一眼，所以我们刚开始的几个小时里都蔫蔫的，像没头苍蝇一样漫无目的地溜达，走走看看。,5
47,故宫， 北京 的中心，800多年来 中国 的心脏之心脏，明清帝王的主要居住、理政的地方，有关其历史、介绍等不用赘述。,4
48,到北京，故宫肯定是要来的！特意提前一晚在网上预约了门票。,5
49,早在2016年便来过了故宫，但那个时候的故宫还没有今天的热度。可以说2018年是故宫的飞速发展年，特别是《国家宝藏》、《我在故宫修文物》等国内罕见的博物馆纪录片开播，让故宫这一中国最后的皇城内院大火了一把，加上关于故宫的纪录片和综艺都利用了年轻人所喜欢的小视频传播方式与请明星来开讲，吸引了无数的粉丝慕名而来。,5
50,故宫，作为我中华历史的见证者、文化瑰宝之一，很值得去看一看。暑假正好《延禧攻略》大热，所以延禧宫也是大家争相找寻的热门地点，而对电视剧不感冒的我重点是在《清明上河图》。,4
51,故宫很大，起码要放个大半天到一天，如果可以的话，建议跟导游，马蜂窝也有卖，可以听到许多的野史，毕竟紫禁城那么大，承载了明清两个朝代的兴衰往事，有多少故事值得被记住。,5
52,到了北京一定不能错过故宫，故宫的神秘，故宫的悠远，就像一本永远读不完的故事书。,5
53,建议大家提前微信关注一下“微故宫”，那是故宫自己的公众号，里面有故宫的全景图、景点介绍等等等。要提前做好功课再去哦，因为故宫真的很大很大。,5
54,为了避开人群，拍到没人的故宫，连早饭都没去吃，就在午门外排队等开门。,5
55,北京故宫是中国明清两代的皇家宫殿，旧称为紫禁城，位于北京中轴线的中心，是中国古代宫廷建筑之精华。北京故宫以三大殿为中心，占地面积72万平方米，建筑面积约15万平方米，有大小宫殿七十多座，房屋九千余间。是世界上现存规模最大、保存最为完整的木质结构古建筑之一。,5
56,终于来到我心心念的紫禁城啦，淡季门票比旺季便宜20块钱，40元一张，学生老人半价20元，虽然是淡季，但我觉得人还是很多哈哈。,5
57,第一次出差没去成，这次终于有时间去了。提前在官网上定的票，淡季40/人，而且不去还可以退票，这个服务好。碰上这个季节，这几天的北京冻得很呢，8点半开门，我们9点到的，刷身份证进去。人刚刚好，不会特别多，大概一个宫里只有十几个人吧，人少适合拍照。走在长廊上，真的有种走进电视剧那个时代的感觉。开启散客蹭导游模式，不过还是推荐大家在售票门口那看下有啥自助讲解什么的，毕竟进去还是去了解历史的哈,4
58,对故宫一直都是满怀向往好奇和浓浓兴趣的，感觉既熟悉又陌生的一个地方，所以特地安排了一整个白天给故宫。故宫现在实施网络售票，现场不设售票点，观众可登录故宫博物院网络售票网站，或者关注微信公众号“故宫票务中心”购买故宫门票。因为不是节假日，我们只提前一晚在微信上买票，节假日的话建议还是早点买票。吃完早餐后还没有到故宫开放时间（八点半开放），陆续有人过来排队等候，大概是因为当天是11月1号，门票开始便宜二十块，人感觉特别多。八点二十左右安检开放，直接刷身份证就能进，打火机和火柴都是不允许带进去的。过完安检后在午门入口两侧租了讲解器，二十块一台，无需押金，出去的时候在神武门还就行了。每部讲解器都配有故事版、精华版、对话版、广东话版等讲解，可以自由选择。,5
59,早闻说故宫的人了，在网上买了上午场，租了电子解说器，由于清宫戏看得不多，能够产生共鸣的地方也少。只能一个人边听着解说边逛，漫无目的的逛，假装代入到情境中去的感觉，这也是这么多天行程里面逛的最累的。故宫真的大到没有人性，珍宝馆和钟表馆是买的联票进去的，也是比较值得去。每到一座宫殿就打卡那一块牌匾，以致于我这一天开始就对宫殿再也提不起精神了，不愧是最大的宫殿群。,4
60,故宫的唯一进入方式是午门，有两种方法，一种方法是从天安门广场过安检排队，到午门，或者是坐公交到东华门，然后再走路过去，看攻略的时候可以省一些时间，所以看到天安门广场排起长龙的时候，我们就选择了坐公交到东华门，再走到午门，嗯，事实证明我们的选择是对的。,5
61,大家一定要早点去！天安门外安检，队伍超级长...我是在网上买票的，直接刷身份证进非常方便，但也遗憾没有纸质门票做纪念。从午门进，神武门出，进门第一眼确实让人震撼！北京故宫被誉为世界五大宫之首，虽说这里早已不再是中国的政治中心，但当你置身于气派规整的高墙深院，依然能真真切切地感受到它曾经的荣耀。,4
62,建议珍宝馆+钟表馆一起买，确实值得一看。预订后刷身份就可以进入了。,4
63,春节期间故宫人流真是大大大，如果不提前网上购票，现场是买不到票的。要是不幸的你跟我一样选了个高峰日去，建议抛弃官方推荐的三条游览路线吧，捡个人少的地先去吧，我可不会告诉你，一大早的珍宝馆和钟表馆没有人！！,5
64,故宫门口的柿子树，柿子挂满了树梢。看的我口水直流。,4
65,来到北京一般第一个景点都会选择象征性的故宫，去故宫不能太晚要不然排队会等很久，并不是说进故宫，而是所有下车都是在天安门马路对面要过安检检查身份证再穿过隧道往前走点，总之跟着人走就是了。,5
66,有一个词可以形容我对故宫的印象，“念念不忘，必有回响”。红墙绿瓦，琉璃光彩，威严庄重，又不失精巧别致。前瞻，亦或是后仰，无一处不吸引你的眼眸。历史赋予了故宫浓厚的色彩，清宫剧却增添了许多可爱。站在曾经若曦站过得地方，像若曦一样望着四爷远去的背景，那股落寞，还有内心的沉痛。时间静止，任凭阳光洒在脸上，一双人儿的恩恩爱爱，叹息。后花园的枝枝蔓蔓，灼灼其华。冬日总是惦记那一份暖阳，懒懒的，不时还有几只猫儿乱窜，游客窸窣。翻云覆雨的历史潮流，不禁深思，下一刻的自己会在哪里，又在做着什么呢。如果下一秒我穿越了，又会是什么样的人间。偷得闲儿空儿，总是念叨一句，啥时候去趟故宫呀！曾经我把话说与他听，如今他与我一同见证，这一段时光。,5
67,门外有讲解器20元，配耳塞，不用押金，出门时候还。经过三座大殿后想去钟表馆和珍宝馆的往右手边走，那天早上刚好有活动，后面三座大殿封路了，只能去东六宫，一直往前走直到御花园，由于十一点半活动结束，封锁解除，所以我们又从御花园折回去坤宁宫-交泰殿-乾清宫，然后从西六宫走回御花园，从神武门出。地图可以在小程序〔玩转故宫〕看。,5
68,如果朋友感兴趣，我按照时间的长短具体描述一下游览的最佳路线。但是，要想认真的了解故宫，真不是一两天可以够用的，所以建议有时间、有兴趣的朋友多走几次，肯定会受益匪浅。,5
69,我在网上买了门票，然后直接刷身份证进去（包括珍宝馆跟钟表馆），进去之后在旁边那里租了三个讲解器，提醒一下，除了普通话还有粤语的，后悔没跟她说要粤语的，还好妈妈功底还是有的，讲解器是20元一个人，拿到之后不用按任何键，你戴好之后，走到那里它感应到那里，就会自动讲解的，归还是在出口神武门那里。,5
70,故宫需要从南到北参观，午门是唯一的入口，出口是东华门和神武门。,5
71,门票可以提前买好，进去直接刷身份证。但是讲解器是要另外花钱租的，很多人租，需要排队。没有微信讲解这些。要不人家卖讲解器的怎么挣钱？另外就算有微信，手机里面也没啥信号。因为人口太密集了......,5
72,（提前预约，花费2小时）：故宫真的很大，提前一天预约了门票之后，到了可以刷身份证进门，人也好多，在里面逛了好久，慈宁殿开放了，所以也去慈溪花园逛了一圈，我买的是套票，所以珍宝馆和钟表馆也都参观了，故宫更多是看建筑和园林还有纪念品，收藏的珍品比较少，就是珍宝馆和钟表馆里会有一些藏品。故宫是固定了出入口的，游览的时候要注意了。总体而言，故宫的纪念品价钱还是不算太高的，还挺有趣的，买了一个冷宫冰箱贴。,5
