id,comments,star_levels
1,景区很大，票价还低，非常值得一去，除了白马寺，齐云塔院也很好，后建的泰国、缅甸、印度风格的庙宇也非常华丽，只可惜去的时候印度风格的庙宇正在维修，没有看上，很遗憾。,5
2,灵秀安静舒服，香火旺，里面走走停停很有味道,5
3,很早以前的白马石像在门外面，现在也给圈起来了。。。里面又建了很多新建筑,5
4,和想象中的感觉不太一样 不过很舒服,5
5,白马寺里面并没有白马，唐僧西天取经休息的一站而出名。,3
6,值得一去，就是感慨一下，这么好的景区，入口的感觉，仿佛一下子回到20年前,4
7,中国第一座寺庙。里面比一般寺庙大，还有新的一些建筑，比如东南亚和印度的寺庙建筑。香火很旺，里面可以烧香，可以买香，也可以从外面带香进去。农历十五可以看到方丈行法事。,5
8,市区乘坐公交就可以到，算是洛阳的必玩景点,4
9,香火很旺，寺内的殿、佛像都很有历史。寺内还保持着事农桑的传统。,5
10,宗教气息浓厚，是有僧人来回走动，上午会去念经房读书,3
11,其实没有太多的看白马寺的文化，专门奔着缅甸建筑去的，没太看懂，但是很漂亮,5
12,洛阳比较著名的寺院，里面的牡丹花还不错,5
13,白马寺在洛阳城东十几公里处，据说是武则天给她面首修的寺庙，让面首过来当主持。里面还修了一些东南亚的佛苑。,5
14,第四次来白马寺，每次来的感觉都不一样，希望她和孩子一块儿成长。永远平安祥和！,5
15,"第一个佛教寺庙,必须要去看看.",5
16,洛阳 白马寺，始建于东汉明帝 永平 十一年（公元68年），现存建造多为元、明清的建筑。,5
17,要了解白马寺，记住2个重大事件，3个重要人物就可以了，其他的请百度查询：,4
18,开车到了白马寺，买好票入寺参观，票价蛮便宜的。,4
19,到洛阳，白马寺是必去之地，虽然白马寺是4A景区，但丝毫不逊于龙门石窟。为什么这么说呢？其一，白马寺是佛教传入中国后兴建的第一座官办寺院，有中国佛教的“祖庭”和“释源”之称，距今已有1900多年的历史。其二，景区内可观看的内容非常丰富，包括白马寺主建筑、齐云塔、国际佛殿园等。其三，35元的门票价格真是良心价格。,5
20,洛阳 站是56路车的始发站，在 洛阳 站附近做56路车可以直达白马寺，注意，百度导航的上车点是错的，带我们绕了一个大圈回到了远点，建议直接问路；而且！请一定要抢到位置，公交至少要做1小时15分钟左右！,5
21,观看顺序是先看寺外齐云塔，再看白马寺主殿，最后看国际馆，面积比较大这个参观顺序少走弯路。白马寺的内部非常清幽，具体介绍网上能看到好多，信佛之人上香祈福居多。门票35元，有老年半价票，算是性价比很高了，不着急的话建议参观两小时以上。外面有专门的停车场，十元一天有发票，秩序没有蜂友们以前说的那么乱，步行到售票处之间是常规的旅游纪念品店和各种吃的。总体来说，非常值得去看看这座历史悠久的古寺,5
22,是佛教东传的第一个道场，各大殿都处于关闭状态，只能在殿外参拜。门口可以租讲解器，20一个押金200，或者人工讲解只讲主殿50一人。,5
23,必去景点。白马寺分三个部分，白马寺古寺，东边的齐云塔院，西面的外国佛寺。白马寺古寺最为经典，里面有全中国唯一一套元代漆工艺佛像，这种工艺现在已经失传。此外，还有明代和清代的佛像和佛龛。,5
24,白马寺位于河南省洛阳市老城以东12公里，洛龙区白马寺镇内。创建于东汉永平十一年（公元68年），中国第一古刹，世界著名伽蓝，是佛教传入中国后兴建的第一座官办寺院，有中国佛教的“祖庭”和“释源”之称，距今已有1900多年的历史。现存的遗址古迹为元、明、清时所留。寺内保存了大量元代夹纻干漆造像如三世佛、二天将、十八罗汉等，弥足珍贵。,4
25,"工作原因第二次到洛阳，但白马寺是第一次去。白马寺创建于东汉永平十一年(公元68年)，为中国第一古刹，世界著名伽蓝，是佛教传入中国后兴建的第一座寺院，有中国佛教的""祖庭""和""释源""之称，距今已有1900多年的历史。现存的遗址古迹为元、明、清时所留。寺内保存了大量元代夹纻干漆造像如三世佛、二天将、十八罗汉等，弥足珍贵。开放时间:7:30至19:00，景区开放时间节假日、淡旺季会有调整。我是直接公交车过去的，全城40分钟-1小时，公交很方便！这里特别要提的是白马寺里面的“止语茶舍”，免费茶水及古朴禅意的环境供有人歇息停坐，还有各种经典与有缘者免费结缘，随喜赞叹！国际佛殿苑部分是中国与各国友谊的象征，让人仿佛置身于异国（ps：那天游览的时候发朋友圈，很多没到过白马寺的朋友纷纷留言，问我刚才不还在白马寺怎么一会的功夫就去泰国缅甸了？哈哈哈……），强烈推荐！",4
26,中国 第一古刹，世界著名伽蓝，是佛教传入 中国 后兴建的第一座官办寺院，有 中国 佛教的“祖庭”和“释源”之称，距今已有1900多年的历史。,4
27,洛阳 白马寺，始建于东汉明帝 永平 十一年（公元68年），现存建造多为元、明清的建筑。,3
