id,comments,star_levels
1,景区内停车免费 小心别让人坑了,1
2,今天去了，最有意思的人空中玻璃吊桥和铁索桥，走在上面有到泸淀桥的感觉。但是在玻璃栈道和空中吊桥有速成照像收费项目，给人感觉很不爽，前面照的人说免费，走过去电脑打印好，一张15元，有点强买强卖了。其他可能是没水，就没什么意思。不是A级景点，带绑架照像收130元，可是有点贵呐,1
3,新兴的景区 永济4路直达 一天能转完,5
4,水峪口古村距今已有千年历史，是河东著名的古盐道之一。环境优美，景色秀丽。身临其境，使自己在大自然的怀抱中悠然的度过自己的假期！古村呈现淳朴之美，宛如这条街道的整体感觉：静谧、内敛。村民朴实。,5
5,尤以水清潭多见长，走进峡谷，处处皆水，有水就有灵气！石头像撒翻的墨汁一样，星罗棋布。越往深处走，越觉得清幽！难在于有一座山峰像极了关羽神像。景区内当然少不了各种娱乐项目，空中栈道，玻璃吊桥，攀爬悬崖，水道漂流……景区门口各种儿童玩具应有尽有，大型娱乐玩具林林总总。,5
6,千万别去，80的门票去了就是爬山，里面所有项目全是收费。,1
7,太坑了，80块门票爬了一个多小时山就看见小瀑布，想去的逛逛不要门票的小吃街就好,1
8,水峪口古镇还有老粗布、绣花布鞋、字画以及捏面人、古法酿醋等非物质文化遗产。随便的走一走都能看到这里的手工作坊，太好了，因为随便的买一些什么都是有着历史意蕴的，都特别有纪念意义。,5
9,臊子面在民间被推崇为吉祥面食，所以在这个古镇也很是流行。很多地方都有臊子面，各地有各地的风格。水峪口古镇的特色面食是晋南臊子面，这个面真的是很劲道的，还有就是以肉和豆腐这么简单的食材作为酱料，也别有风味。,5
10,小镇并不是很大，但是很有古香古色的韵味。每一处景致好像都有着别样的风情。汇集了传统美食小吃的精粹，炒凉粉以及肉夹馍都是很给力的，炒好的凉粉晶莹剔透，焦而不糊，入口时香辣爽口，滑嫩不碎。如果是我，听着都要流口水了。,5
11,走进古村，一排排古朴雅致的晋南明清房屋错落有致，踏着青石铺成的小路，各种小吃便迎面而来，应接不暇。古时这里商贸流通活跃，古盐道穿村而过，是黄河金三角地区著名的商贸重镇，而数百年来这里还以美食名誉四方。,5
12,或许是一路赶来有些劳累，进了古村首先就会闻到一股股扑面而来的饭香之气，就觉得饥肠辘辘。赶紧在一小摊前随意买了两个烧饼，跟朋友垫肚子。然而没有想到，只是信手买来填补饥饿的食物，却好吃的不得了。,5
13,水峪口古村。这里古色古香，民风热情。古村里很热闹，然而这种热闹跟都市的繁华喧嚣截然不同，这里的环境更多的是一种不染世俗的轻松愉悦。在这里闲逛，你就会感觉整个人从身到心都是格外舒服的。,5
14,水峪口体现了民俗村落乡村文化，有自己的特色，特别适合大家去休闲度假旅游。可以小住几天，好好观察一下当地民居的建筑构造，满足你的文艺情怀。如果你对民俗文化感兴趣的话，这里完全可以称得上一个好去处。,5
15,水峪口古村的茶摊别具一格，茶摊是古村湖畔的另一道美丽的风景线。古村的茶摊或是全露天的、或是在树荫下、或是在太阳伞下，可以根据自己的喜好来选择位置坐下，品上一杯茶，就可以消磨一个下午的时光。,5
16,可以在门口买票也可以在里面买票，因为先是到达娱乐区和小吃街才会到售票检票口检票上山。爬山很累，水和山路一直绵延向上。玻璃栈道等的娱乐设施都在最前面一段路。走到一线天景点已经很累了。其实建议回返。,5
17,景色优美，空气清新！值得一去！,5
18,蛮不错的，风景各异，山泉之美。总之挺开心的！,5
19,风景十分优美   空气清新  表示不虚此行,5
20,特别烂,1
21,想知道永济北站怎么去神潭大峡谷  做什么车 在哪坐车 有公交吗 打车的话贵不贵,5
22,在运城看了鹳雀楼、关帝庙，看遍了古建筑，也想看看一些当地的山水，所以就在网上搜附件的景点，搜到了这个之前从没听说过的神潭大峡谷。本来不在计划内的行程，也不敢抱太大希望，只是想看看不同的景色。没想到去了之后还真的没有失望，确切地说，还有些小惊喜。北方的山大多贫瘠，是名副其实的黄土高坡，而神潭大峡谷的山水和山西其它地方不太一样，是花岗岩的山，景区里面植被繁茂，满目葱绿，溪流遍地，空气清新。不时有奇峰怪石跳入眼中，感觉像山西的小黄山。,4
23,山势巍峨，溪流山泉遍布，自然植被独特，万亩天然柏林郁郁葱葱，为中条山区所罕见。,5
24,深潭大峡谷以前当地人称“水峪口”，峡谷前古镇当地美食、娱乐项目等配置比较成熟，但峡谷内更值得一去，一直往后山有摩崖石刻，风景也不错！,4
25,景色不错，配套设施略有不足，票价略高。,4
26,挺好的，带着家人去转一转，呼吸下新鲜空气,4
27,以前叫水峪口，还在持续开发中，有玻璃栈道，散散心，锻炼个身体还行，多出色的景色就谈不上了。,3
28,绝对垃圾，门票68进去只要是有项目的必收费而且不便宜。如果只是爬山，何必非要花68的门票进去爬山，山是一样的山，人却不厚道,1
29,神潭大峡谷和水裕古村是在一起的，而且神潭大峡谷很大，所以在这里要呆上大半天。,5
30,水峪口小吃还是不错的，山上没什么意思,3
31,古朴油光的青石板地面，脚下潺潺的流水，深巷中弥漫着香味……久远的亲切中，如梦如幻，恍如隔世。这一切，无一不洇染着北方明清民居韵味。适合携带三俩志同道合的好友，沉浸到那一方小天地，找到心灵的慰藉。,5
32,俗话说百闻不如一见，亲身感受，神潭大峡谷如传说中所说一样，夏季山口风穿堂而过，白天没有运城常有的热浪，夜间十分清凉；地理方位好，位于永济市东南方，群山环抱，气候冬冷夏凉，是夏季消夏避暑的好去处。,5
33,空气特别清新，有山水自然环境，景观特色具有小镇风格，当你置身其中的时候，可以让每天工作的你倍感轻松，也有各种体验项目，比如玻璃栈道，惊险刺激，富有挑战，值得一玩。,5
34,神潭大峡谷景区穿过水峪口古村便到，是过去从运城向陕西、河南运盐的一个必经的通道，河东盐池的盐经此峡谷翻越中条山运往陕、豫。当地古村是以小吃为主的街道，还有戏楼、茶楼等，整个小镇建筑精致、古香古色。很值得一去,5
35,景区内有大型的《三英大战吕布》实景剧表演，看了下午场，场内的战火都是实实在在的炮火，看得很过瘾。,5
36,这可是我第二次来神潭大峡谷玩了，进入景区一路上，我一边玩水一边看风景。再往前走就到了最奇妙的景观——水往高处流，清清的小河莫名其妙地从低向高处流去。其实这是视觉偏差的原因。神潭大峡谷还有很多美丽奇特的景观，相信你来了，也会和我一样流连忘返，乐不思蜀的。,5
37,神潭大峡谷景区位于永济市南2公里的水峪口古村，是在距今5.7亿年前的寒武纪时期，由于地壳运动而形成的一个大裂谷，对于地质爱好者可以去考察。大峡谷有山有水，空谷幽兰，在深山里听着小溪流水的声音 ，可以暂时远离城市的喧哗，得到身心的放松。,5
38,很喜欢这里的小吃！！炒凉粉、油疙瘩、羊肉胡卜强烈推荐！！,5
39,从永济市里一趟公交直接通到景区门口！下车以后大的木质门头很古朴很有质感~进门以后左边有一条小溪，小溪里还有很多鱼，有很多孩子在捞鱼玩的不亦乐乎~~再往进走路两边有很多游乐设施，小孩子们在这里最开心了吧！而且所有的游乐设施都是可以自行选择的，不会强制消费，这一点让我很满意。水峪口古村就在路的尽头，一进门有个大水车吱吱呀呀的转着，一下就把人带回了小时候。广场的左右两边分别通向两条小吃街。小吃街的所有小吃没有一个重样的，简直就是吃货的天堂！后山上的玻璃吊桥和玻璃栈道不玩都觉得遗憾呢，站在上面看风景真是人生一大美事！有时间还会再去的！在这里让生活慢下来,5
40,里面的游玩项目很丰富，可以按照自己的选择玩。比其他景区一张门票死贵，项目要是有的不想玩多亏啊！一进门的两边都是可以玩的。观看了三国演义，场面很震撼。小吃街的小吃都很美味。后山还有玻璃栈道和吊桥，很刺激,5
41,景区很赞，里面的小吃色香味俱全，还有很多商户在自己店里表演，很有特色！,5
