id,comments,star_levels
1,景区不错，就是景点有点不集中，玩起来太累，收费的项目太多，不过你可以不玩，那个神泉水特别不错，还有那条河冒着冷气，有腾云驾雾的感觉。,4
2,不虚此行，一家人都很开心，有看的，有玩的，有吃的，虽然累，但一路有说有笑，大家非常快乐，特别是小外甥与外甥女感受最深，是一次成长的记忆。,5
3,云丘山冰洞群是真是太漂亮了，几个冰洞群互相交错这，进去太大了，从门口进去至少逛了十几分钟，美轮美奂，真不错，据说是开发了16年，在山西境内有这样的景色实属不易！建议大家去看看，真不错！,5
4,云丘山位于乡宁县，关王庙乡大河村、坂儿上村境内，地处吕梁山与汾渭地堑交汇处。主开发区面积为35平方公里，海拔最高处玉皇顶1629米，景区内人形山体形象逼真、植物种类丰富多样、自然景观独特神奇，素有“河汾第一名胜”的美誉。,5
5,云丘山旅游最好在十一月初，天气温和雨水也很少，并且树叶微红，雾气也少，景看的更清，路线建议走八宝宫——玉皇顶——土地庙——祖师顶(千万别听当地服务人员的话走玻璃桥方向，那条线烧钱，没啥景可看，如果你要不走玻璃桥60元，那你更受累，)祖师顶方向——三天门二天门一天门_玉莲洞_到塔尔坡村，在村里吃点饭，味道不错价格不贵，总之景色还不错，当然比不上绵山风景区。,4
6,值得一去，建议玩两天，住一晚，景区的住宿条件挺好的，之前我们以为景区挺贵，累得不行，就住一晚，打电话预定的，价格合理，条件也挺好，带早餐，房间挺大，不错，停车收费也合理。&#x0A;【景色】&#x0A;【景色】&#x0A;【性价比】,5
7,冰洞很棒，古村落也不错，最好两天游玩。可以住在景区里的酒店。,5
8,云丘山自然景观好，服务作的也很好，特别是自然冰洞非常奇特，应该加大宣传力度，让更多的人感受大自然的美。,5
9,月底去的，因为路过临汾搜了一下，这里有玻璃栈桥就来了。先说收费吧，问了窗口不能买电子票，要提前一天打电话预约才可以，一个人门票、车票就120元，大巴另收的车费。进来就不由自己了，很感谢司机等到我们晚上七点半还来接我们下山，虽然是最后，从大门到后山几分钟的路程，就开始徒步爬台阶。全景区一点不夸张，就我们三个人，后来有两位同行的伙伴还快一点，台阶特别不合理，到山顶膝盖已经疼到不能走路，沿路没有一个景点，都是台阶和土坡，鸟叫声也少，绿化也少，我们整整走了8个小时！玻璃栈道也不高，但是还在施工中，同伴不敢走，我们绕着走过后山下来，所有的娱乐设施都关了，古村落也没有人，几乎所有项目都要自费，重点是我们都没有赶上，一路不停的走，下坡有坡度很大，不建议老人和孩子去，很伤膝盖，回来我们四天都下不了地，自己体会。再说收了费的摆渡车，真的是没有坐上，我们宁走下来的，下工的工人，我们给钱让帮忙带一下，都不肯，说会罚款，心里真的是再不下去，就真的别回了，看到一个自助饮料机，结果，不通电啊。总之，不会再来第二次。,3
10,类似于捆绑消费，没啥好玩的，路太难走了。下山的时候太坑爹了，简直无法形容，上去的时候有览车，下山基本靠步行。,3
11,环境优美，风景秀丽，是休闲娱乐度假的好地方。,5
12,景区很大，交通不太便利，开发程度不高，适合徒步或自驾游,4
