id,comments,star_levels
1,来西安一定要来华山才算不需此行！！个人觉得报一日团很合适！因为这里离市区太远！一起团方便实惠！！这次带团的刘导非常好！！热情周到！！行程中还给我们送了水！小点心！冰袖！地图！真的太贴心了！！一定要来华山选一日游！要选刘导的团哦！！！,5
2,导游介绍的很好，让我选的西上北下，真的推荐所有人西上北下，然后索道票都买，索道上西峰，先玩西峰，再南峰，再东峰，中峰，最后北峰，索道下北峰，这条线路爬上山坡的几率小，如果是北上北下绝对累死。东峰和北峰的风景感觉是最好的，不错，玩的开心,4
3,我们因为当天晚上要回成都，所以只能游玩半天，于是选择了西上西下的缆车往返路线。 反正这个套票什么都包含了，我们从华山北站高铁站出来，就坐免费班车直达华山景区的游客中心，还可以寄存行李，就是要收费20元，换了票就坐景区的进山大巴车大概要半个小时，到西峰索道直达山顶，但是西峰真的很陡，我这个不恐高的人都有点虚了，更不要说恐高的人，不过到顶了之后真的是一览众山小。 从西峰到南峰只有半小时的路程，但是全是很陡峭的上坡路，所以爬得很艰辛，谁叫只有南峰才有华山论剑那个石碑呢，还是值得一去的，不过北峰也有华山论剑。 原路返回西峰就全是下坡路了，虽然下坡路走得很轻松，但是下来之后腿还是很酸，下来的缆车也很陡，然后又坐景区大巴半小时出去到景区游客中心，再去坐免费班车去华山北高铁站，终于回家了！,5
4,我们因为当天晚上要回成都，所以只能游玩半天，于是选择了西上西下的缆车往返路线。反正这个套票什么都包含了，我们从华山北站高铁站出来，就坐免费班车直达华山景区的游客中心，还可以寄存行李，就是要收费20元，换了票就坐景区的进山大巴车大概要半个小时，到西峰索道直达山顶，但是西峰真的很陡，我这个不恐高的人都有点虚了，更不要说恐高的人，不过到顶了之后真的是一览众山小。从西峰到南峰只有半小时的路程，但是全是很陡峭的上坡路，所以爬得很艰辛，谁叫只有南峰才有华山论剑那个石碑呢，还是值得一去的，不过北峰也有华山论剑。原路返回西峰就全是下坡路了，虽然下坡路走得很轻松，但是下来之后腿还是很酸，下来的缆车也很陡，然后又坐景区大巴半小时出去到景区游客中心，再去坐免费班车去华山北高铁站，终于回家了！,5
5,带着父母选择了最方便的西山北下路线，早上8点在售票大厅取票，在大厅里面的车站坐上去西峰索道的大巴，坐了40分钟才坐到索道。上山确实不累了，一路上路过了西峰、南峰、中锋、东峰、北峰（顺序不太记得了），东峰把我这个不恐高的恐高症都给逼出来了，最喜欢的是中峰峰顶那个平台，人比较少，拍照很好。北峰下山真的蛮吓人，走到索道都走了两个多小时，尤其是一边下还看到一边上的。但北峰上可以走苍龙岭，这次我们就错过了，下次做好准备从北峰上试试，苍龙岭真是远看也很壮观的美,5
6,8点半到玉泉院，因为前一天大雪封山10点才进去，然后玉泉院-北峰-中-东-南-西，下午快6点西峰索道下来。东峰的鹞子翻身和南峰的长空栈道没开放。对于普通人来说运动量有点大，肯定会经历气喘腿软的过程，但也能坚持下来。华山一条道主要是一条很陡的路有些特点，其他风景不如山上，可以选择坐索道直接到北峰开始。我在网上买的票，游客中心没机打票，人工窗口那效率很低，而且早上大雪封山没开门也没在公众号通知，游客中心信息也不准确，直到走进玉泉院门口才知道没开，折腾了1个半小时才进去，西峰索道下来后的班车不送回游客中心，难道是为了给那些出租车拉客？这些都有待改进。还有回程索道比较长，中途还停了两次差不多有6分钟，还是挺吓人的。,5
7,华山不愧为五岳之一，很美，值得一去！导游人也超好，很负责，我一个人掉队了，导游硬生生一直等我等到了九点，人美心善,5
8,太幸运了，今天是个阴天，没下雨，又不晒！华山景色奇骏，值得来玩，最佳路线西上北下，东峰到北峰比较远，老人孩子最好不要～～～最后评价一下导游，小美女人相当不错，靠谱，下次来还找她～～～～,5
9,西岳华山位于陕西省渭南市华阴市境内，距离西安市约120公里。一般来西安旅游的朋友都会顺便去下周边的华山。可以自驾或者报团前往，也可以从西安坐高铁到华山北站自由前往。&#x0A;&#x0A;华山作为五岳之一，是中华十大名山，以险著称，也是五岳三山中海拔最高的山。华山有西峰、南峰、东峰、中峰、北峰五座峰，其中南峰海拔最高，北峰海拔最低，最高主峰南峰海拔高度为2154.9米。&#x0A;&#x0A;华山风景区除了景区门票（旺季180元，淡季100元）收费外，还有景交和索道（有西峰和北峰两个索道）是收费的，游玩景区内的长空栈道和鹞子翻身也要另付租用安全绳的费用，每处30元&#x2F;人次（是体验华山历险的两个好去处）。景交和西峰索道的单程时间大概都要20分钟，用时还是比较长的，西峰索道旺季140元，淡季120元，北峰索道单程80元，来回150元，进山景交摆渡车40元。学生证有优惠，导游证可以免票。&#x0A;&#x0A;一般来华山的话推荐从西峰上，一直走到北峰下的路线（路途中可以把华山的几个主峰都走一遍了）。如果想一天来回的话，建议西峰和北峰都乘坐索道，当然如果要夜爬、体力比较好、不怕辛苦、不急于当天返回的朋友，也可以选择不乘坐索道走上山。&#x0A;&#x0A;西峰太华索道据说是亚洲最高最长的索道，在索道车厢升高的过程中人坐在里面会有一种惊险感，但风景视野也很好。出了西峰索道，来到西峰莲花峰，这里是华山风景最秀丽的山峰，也是《宝莲灯》里沉香劈山救母的地方。拍照合影的话，翠云宫旁边的劈斧石和守身崖都是不容错过的。&#x0A;&#x0A;从西峰往南峰方向走就来到华山海拔最高处的南峰了。这里你能看到写有“华山论剑”处的指向标示（华山有三个地方都有华山论剑石碑可供游客拍照，南峰一个，二仙坎一个，北峰顶一个，但只有北峰那里的华山论剑石头旁边才有刻有“飞雪连天射白鹿，笑书神侠倚碧鸳”两行诗的石碑）。&#x0A;&#x0A;从南峰往东峰走，会发现途中往南天门方向右拐有华山历险之一的长空栈道（本人去时只开放了一小部分前面就封路了）。东峰最出名的就是观日出了，峰顶的朝阳台是观赏日出的好地方。拍照的话，东峰的杨公塔，鹞子翻身下面的下棋亭（相传宋太祖赵匡胤曾在这下棋输了，棋局至今无人能解），还有四周群山环绕、碧海蓝天的景象都不错。,5
10,愉快的一天结束了，选择大的旅行团还是不一样，准时准点，导游张静很负责，途中也没耽误时间，来回司机开车很稳，回来的路上都睡着了😂😂,5
