id,comments,star_levels
1,我和春天有个约会——“缅甸风格佛塔”（八十二），&#x0A;“缅甸风格佛塔”，坐落于洛阳白马寺西侧的国际佛殿苑内，是缅甸政府出资修建，缅甸大金塔的复制品，门票包含在白马寺票内，游览白马寺，可顺路参观国际佛殿苑精美的异国建筑和艺术珍品……，,5
2,我和春天有个约会——“洛阳白马寺”（七十三），&#x0A;“洛阳白马寺”——中国第一古刹，坐落在洛阳市洛龙区白马寺镇内，是佛教传入中国后兴建的第一座官办寺院，寺院内还分别建有印度佛殿，泰国风格佛塔和缅甸风格佛塔，是到洛阳值得游览的地方，洛阳市内有公交车直达，门票35元，,5
3,通过玄奘大路，就来到了白马寺。夹贮干漆技术确实令人惊艳。白马寺真正的寺院不大，后期建了很多不同国家的佛教建筑，印度的还没开，泰国的确实富丽堂皇。,4
4,我和春天有个约会——“泰国佛殿苑”（八十一），&#x0A;“泰国风格佛殿苑”，坐落于洛阳白马寺西侧，是泰国政府捐资建造，金色灿烂，多姿多彩，极具泰国风格……，游览白马寺，一并游览精美的异国建筑，,5
5,洛阳白马寺外国佛殿苑：白马寺位于河南省洛阳市城东洛龙区白马寺镇，距城区约12公里。外国佛殿苑是白马寺旅游景区的组成部分，位于白马寺古寺院的西侧。外国佛殿苑的建筑以泰国、缅甸、印度佛殿佛堂为主，以白色、金色为主基调，整体建筑纯洁唯美、金碧辉煌，引人入胜。穿行游览其间，既净化心灵，又给人以美的享受。,5
6,第二天一大早，坐56路终点站下到达白马寺。56路和81路是旅游专线车，可以去到很多景点。世间寺庙千千万，唯有白马称祖庭。整个寺院历史悠久，庄严肃穆，规模宏大，香火鼎盛。游览过程中意外见识到了“旱金莲”，边上一个游客激动不已，又发朋友圈，又邀人视频。据他说这就是传说只有佛说法时才会出现的“地湧金莲”，本来就非常罕见，而这几株竟花开正茂，我们真是佛缘菲浅。景区里还有泰国寺院，供奉四面佛和佛舍俐塔。缅甸仿仰光金塔，异域风格，金碧辉煌。印度寺院，维修没开放。白马寺边上还有狄仁杰墓及齐云塔。一圈逛下来2个半小时，收获满满。,4
7,洛阳白马寺：白马寺位于河南省洛阳市城东12公里的洛龙区白马寺镇，始建于东汉永平十一年(公元68年)，距今已有1900余年历史，为中国第一名刹，是佛教传入中国后修建的第一座店办寺庙，有中国“祖庭”和“释源”之称。现为全国重点文物保护单位，全国汉传佛教重点寺院，国家4A级旅游景区。白马寺内遗迹众多，保留着大量元、明、清时期的文物古迹，尤其是元代的夹纻干漆造像如三世佛、二干将、十八罗汉等尤为珍贵。如今白马寺经修复和扩建，已经成为洛阳市著名旅游景区。,5
8,走访千年古刹&#x0A;触摸历史砖墙&#x0A;拍摄异国佛塔&#x0A;感受厚重故事&#x0A;&#x0A;不经意间&#x0A;一回首&#x0A;一挥手&#x0A;已是千年&#x0A;&#x0A;白马寺&#x0A;值得一游&#x0A;请提前做好功课&#x0A;准备好迎接古刹之美景,5
9,白马寺位于河南省洛阳市老城以东12公里，洛龙区白马寺镇内。创建于东汉永平十一年(公元68年)，中国第一古刹，世界著名伽蓝，是佛教传入中国后兴建的第一座官办寺院，有中国佛教的“祖庭”和“释源”之称，距今已有1900多年的历史。现存的遗址古迹为元、明、清时所留。,5
10,刘导服务热情，讲解认真，带我们团队玩的很开心！！来络阳找刘导靠谱！,5
11,这里有超出意外的惊喜，就是引入了其他东南亚国家的佛殿，不用出国也可以体验到佛教在其他各国的影响力，以及中国在其他国家的影响力！当然作为白马寺，也是有很多值得仔细看看的地方，无论是藤树和谐共存，还是那有着人头的大钟和白马的钟鼓楼，清凉台上的藏经阁！,5
12,对于一个庙宇来说还算可以，几个大殿都是老建筑，旁边的泰国，缅甸和印度神庙拍照还是挺有意思的，可以假装一下自己到了外国，从白马寺出来一定要往庙的左面继续走下去，里面有狄仁杰的庙和一座东汉时期的塔，也挺值得看看的，而且站在那座塔的某个位置拍手，听到的回声是青蛙叫，很有意思。,4
13,洛阳白马寺是中国佛教的祖庭，是一个名气很大的寺庙，现在在周边也进行了一些扩建，寺庙内也确有几件传世珍宝，能听讲解员解说一下更好。,4
14,路线决定着出路！今天跟着小吴导游和范师傅，我们17个人虽然是从不同的地方拼过来的，但时间很准点，八点刚过便从城外向少林寺出发了。路上只看到对面堵，小吴很尽心很尽责，范师傅开车也很平稳。让我感受到了中原人的热情和责任担当。,5
15,挺不错的，服务不错，安排合理,5
16,陈导游人很热情，负责，全程讲解细致生动，棒棒哒！强烈推荐呀,5
17,昨天接到电话七点酒店门口接，早上六点五十司机打电话已经到了门口。中途换了趟接驳车，八点十分在集散点等了会，上了大巴车出发龙门石窟。九点左右到龙门停车场，等了近半小时买票。九点四十几分开始逛，王导一边带着走一边讲解各个石窟。十点五十左右开始自由活动。十二点门口集合吃中饭。下午逛白马寺和神舟牡丹园，到处柳絮飘飘，花繁叶茂，游人如织，大家都在拍照。王导人不错，蛮亲切。今天挂耳式耳机不好，容易掉不如另外一种挂脖子上插耳机的舒服。,5
18,白马寺创建于东汉，是佛教传入我国后官方办的第一座佛教寺院。被誉为祖庭，是我国的第一古刹，世界著名伽蓝。新中国成立后，对白马寺共进行了三次修缮。1961年国家宣布白马寺是第一批国家重点文物保护单位。现存白马寺坐北朝南，是一长方形院落，前后有五座大殿，依次为天王殿，大佛殿，大雄殿，接引殿，毗卢阁。里面还有泰国、缅甸、印度等三国风格的佛教建筑。现在的门票35元，白马寺最经典的大门只有在买了门票进去后才能看见，在外面是看不见的，这一点比较坑。,5
19,方便，靠谱，服务好。。。。。。。,5
20,中国历史上大名鼎鼎的白马庙，是官方办的寺庙，见证了佛教在中国历史上的发展，白马庙景区门票不贵，里面除了经典的白马庙，还新建了其他风格的佛教建筑区！,4
21,白马寺中国第一座寺。佛教祖庭。。寺中有株古桑树。元代十八罗汉造像栩栩如生。还有枷蓝的造像很特别。。可惜。很多是重修的。寺东上百年齐云塔。一定去看下。塔站在下面还是有许震撼。,4
22,白马寺是中国第一座官办寺庙，中国第一名刹，有中国的第一座高塔，第一座比丘尼道场，最最有名的是从故宫慈宁宫大佛堂调拨过来的元代夹纻干漆佛像，据说传世仅二十五件，一件在北京，其余二十四件在白马寺，即大雄殿内三世佛、韦陀、韦力、十八罗汉，加上天王殿内的大肚弥勒。夹贮干漆造像全都是由丝麻制成，每尊1.5米仅重3-5公斤，700多年来未经修缮身上彩绘袈裟仍然色彩如新，可惜的是此技艺已经失传。可惜殿内禁止照相。,5
23,去洛阳必须去的地方，五一一下火车直奔白马寺，门票35元！,5
24,不听讲解不知道，原来汉朝就有佛教传入中土了，第一座皇家寺院，以前以为是唐僧骑的白马，看来我大错特错了，只是为了纪念白马驼经文不远万里来到中土,5
25,很好的游玩体验，希望下次还阔以有这样的机会，牡丹园超级漂亮，白马寺不愧是皇家第一四元桥，龙门石窟真的超级震撼,5
26,白马寺，始建于东汉明帝时期，因白马驼经东渡而得名，是中国第一间官办佛教寺庙，被誉为中国第一古刹，乃汉传佛教的祖庭，对宗教文化略有兴趣的童鞋，白马寺是必到之地！不过，白马寺不在市区内，位于洛阳老城以东12公里处，坐公交的话要将近2个小时才能抵达。另外特别值得一提的是，白马寺西侧建有外国风格佛殿建筑群，是不出国门就欣赏到泰式缅式印式佛殿的好去处！,4
27,【释源祖庭&#x20;佛教圣地】白马寺作为中国佛教祖庭的佛门圣地，以“佛在中国”作为白马寺的核心主题，以“佛像供奉、佛教朝觐、佛教法事活动为主的宗教场所和佛教教育、修禅说法、佛经研究为主的佛文化中心”两大主题线索为思想。继承与创新，通过白马寺高起点大手笔规划建设，佛教经典、哲学、道德、文化、艺术融为一体，将中国洛阳打造成为以白马寺为核心的世界级佛教旅游度假区。,5
28,【中国佛教的发源地&#x20;——&#x20;释源祖庭白马寺】东汉永平七年（公元64年），汉明帝刘庄因夜梦金人，遣使西域拜求佛法。东汉永平十年（公元67年），汉使及印度二高僧迦叶摩腾、竺法兰以白马驮载佛经、佛像抵达洛阳，汉明帝躬亲迎奉。东汉永平十一年（公元68年），汉明帝敕令在洛阳雍门外建僧院，为铭记白马驮经之功，遂将寺院取名“白马寺”。白马寺作为佛教传入中国后兴建的第一座官办寺院，故有中国佛教的“释源祖庭”之称。,5
29,白马寺坐落在洛阳老城东部白马镇内，建于东汉年间，距今已有1900多年的历史了，是世界著名伽蓝，是佛教传入中国后兴建的第一座官办寺院，有释源之称。,4
30,白马寺！从洛阳市开出去没多少路！导航还是小折腾了一下！好在还不是旺季！停车场很方便的！寺庙很是庄严！第二次来了！上一次差不多要十年了！现在这里新增了东南亚包括印度的寺庙景点！还是很好的朝拜圣地！,5
31,值得一看，还有缅、泰、印三国的佛教建筑，很好惊喜了。,4
32,彭导专业、热情、服务十分好！驾驶员技术一流，安全快速！绝对好评！,5
33,来到这里有种穿越的感觉，真的是历史太悠久了，经历了这么多代王朝，依然非常纯粹！景区内还有唐朝宰相狄仁杰和两位印度高僧的墓地，古寺人多香火鼎盛。&#x0A;在白马寺的东边又新修了泰、缅、印度等风格的寺庙，座座金壁辉煌，但觉的还是败笔，毁了白马寺本身的文化美感。,5
34,白马寺是据史书记载的我国的第一个佛教寺院，可见其在佛教领域中是最历史悠久，意义非凡的庙宇，其中的白马已有百年历史。近年来又扩大了寺院的规模，建起了一些类似泰国寺庙特色的建筑，反而让人们觉得有点不伦不类了。,4
35,导游很负责，带我们游览了牡丹园龙门石窟白马寺，牡丹园的景色特别优美，龙门石窟的石刻艺术尤为壮观，白马寺作为皇家寺院真的超级漂亮，这次旅行真的很值,5
36,白马寺一直声名远播，来的早上下着微微小雨，静谧的鼓刹显得庄重又安静，是个特别好的放松和精心的地方。这里没有喧嚣和浮躁，就连里面的人都以一种特别真实的状态做着自己的事，一点不被打扰。寺里幽深，想好好走走的，不着急的人，可以往深处走走,5
