id,comments,star_level
1,真心喜欢，就是来的太晚了有些遗憾，夜景很美，也是格外的收获，美丽的星空幸福至极。建议早来晚走，吃的很不错，都是特有的农家氛围，很棒,5
2,清明小长假最后一天去的，人也不多，环境还不错，就是入场后的车费是买票的时候必须要缴纳的20元，这个收费未免有点太过苛刻，如果有需要带家里稍微年长的老人去的话，要带好充足的干粮和水噢，山上提供热水的地方就入口有，然后就是到山顶贵的要**的方便面和大碗茶，可恶的是一口热水都不提供！因为我们这回去有老人可以建议大家座三号索道上山，然后再爬到山顶，最后再选择徒步下山，这样一个是比较合算，并且也不累，如果是年轻人可以考虑来回上下都徒步，很锻炼人噢。如果大家都不是很着急去玩的话可以考虑五一以后去哪里，五一以后会开通一个滑道下山，有水有船的噢，不妨尝试尝试！,5
3,        云丘山的最大的特点是爬山、看树、赏水，我是从二号线走栈道上去的，当时天还下着小雨，满山的翠绿、幽静的石阶，还有身边流过的溪水，嗯，那水冰凉，路边不知名的小花、奇树、怪石给我女儿带来许多乐趣，我们走到玉皇顶用了两个小时！真是累，对坐办公室习惯了的真是累！汗水、雨水交织在一起，衣服也湿了，但走到山顶看着脚下飘着的云雾，开心极了，累也高兴。但我也提条意见，网购每人58元，到景区取票每人又要加20元车票钱，只是很近的一段路，真是不厚道，而且停车费也要10元，感觉网购意义不大，到景区购票每人80元，只是便宜2元钱！提前也不说清楚。,5
4,好大气的一座山！提前做了功课，住在稷山，酒店价格便宜实惠，还有稷山板枣和麻花享受，早上七点出发，不到八点就进入景区，先游玩门口的五龙宫，然后到停车场，告诉司机说要从后山开始游览，司机把我们送到八宝宫游览，出来后坐车到后山入口，开始登山，直至玉皇顶，直奔祖师顶，到祖师顶要先下到谷底然后再上去，很是费力，然后从山顶下来，经三天门，二天门，一天门，莲花洞，下到塔尔坡古村，开始看演出，品美味，羊杂汤18块一碗，我连喝两碗，豆腐脑也是两碗，刚出锅的热豆腐，抓起来就吃，爽歪歪啦！原计划想看神塔，可惜没有开发，余下的时间都在古村里玩儿了，直至天快黑，如果大家想全程步行，从后山上去是最佳选择，因为先去古村，赶不上美味，记住，想一天游玩下来，早一点上山，从后山上，因为起点比较高，爬山也没有那么累，如果从前山开始，你的体力一定得好。留给大家提供这些。,5
5,云丘山的风景不错，和网上介绍一样。,5
6,很好，景色优美，清新自然，玩的好开心。,5
7,景区干净，服务也行，人不太多有利于观景。建议大家去,5
8,取票方便 服务也不错 爬山时乘凉的地方少,5
9,早上十点到达，兑换门票进入景区用时十分钟左右，坐上景区大巴直达2、3号索道售票口，徒步经过圣母台，一线天，三官洞，玉皇顶等景点，后通过三号索道返回停车场，共用时3小时30分钟。,5
10,非常好，订票取票方便，景区干净，风景优美,5
11,挺好玩的，一次不错的旅行。,5
12,好美丽的地方，住了窑洞民宿哦！,5
13,"重要的话说三遍：累，累，累！过程：因为是从稷山直接过去所以距离还算挺近的！去了门票70元，小交通20元另付（个人感觉花的挺值得，来回接送也好几趟）！先坐车到了塔尔坡古村落山下，因为平时锻炼较少，走到真正的古村落景区就有些累了，中午顺便就近吃了点饭，整体消费作为景区来说已经算很便宜了！重点是我们两个大人带着一个六岁的孩子，想到最高峰玉皇顶，决定上下都坐缆车，上50元，下40元，上去后还需爬40分钟左右，到达，全部是台阶，真心累！最后等回到停车场三个人都精疲力尽！给各位以后想去的亲们一点建议1,带孩子的，平日缺乏锻炼的缆车上下2.如果想玩好要早去晚回！3.景区国庆期间各景区都有餐厅，无需自备太多食物与水，边走边买就好。    其他的还好，整体景区还算不错，如果水再多些就更好了！",5
14,2015年10月3号，家住新绛离云丘山差不多30公里，开车自驾。同程购票，70一人，停车费10元，观光车20一人，强制的。今天主要是带着1岁的小孩，所以没有计划从头至尾爬到玉皇顶。从塔尔坡村步行至祖师顶，然后坐缆车到后山，最后步行一段小距离，最后做观光车出来。总体70元+20元，我自己感觉很贵，不是很划算，华山差不多就这价钱好不好。当然如果心里觉得还不错的地方就是，在祖师顶上面可以有灵山的感觉，周围雾气缭绕，很有意境。自己觉得不是很大，如果没有小孩可以一口气到最高点，再走下来才有意思。最后，在塔尔坡村那儿吃饭真好吃，之前看评论不敢相信，去了吃的炸油糕还有丸子汤很不错，就很普通的饭店一样，而且不贵呀！真的不贵呀！最后，在出口的地方还有3d的画展，因为之前一直没有看过，自己觉得还行，总之节日旅游无非就是，一个人在家里比较闷，选择一个大家都去的地方，陪你一起玩一玩，心里感觉开心就好了！,3
15,小交通服务很好，三号线路缆车总共23分钟才到，好陡峭，省了不少时间。然后步行二千多米走到二号线路最高点，然后沿着二号线路风景沿途走下来。景色太美了！,5
16,就那样吧～同程也不写清楚还有20的车费必须交。本来我们计划坐索道直接上山顶再往下走的，坐上大巴上山也没人告诉还分前山后山，要在后山坐索道，结果大巴在前山停下我们就下车开始走了，只走到村里就累的不行，同行的人太累走不了就回去了，我们四个人花了三个小时走到祖师庙坐2号索道回来了，实在走不到玉皇顶了，我觉得大巴上应该有个人告诉我们怎么坐索道，怎么玩最合适，也不用这么辛苦了，本来大家开心一起的，结果几个人先回去了。景区的饭还可以，价格也不离谱，上山前一定要吃饱饭才有力气上山，因为真的很高很远很陡的,3
17,就那样吧～同程也不写清楚还有20的车费必须交。本来我们计划坐索道直接上山顶再往下走的，坐上大巴上山也没人告诉还分前山后山，要在后山坐索道，结果大巴在前山停下我们就下车开始走了，只走到村里就累的不行，同行的人太累走不了就回去了，我们四个人花了三个小时走到祖师庙坐2号索道回来了，实在走不到玉皇顶了，我觉得大巴上应该有个人告诉我们怎么坐索道，怎么玩最合适，也不用这么辛苦了，本来大家开心一起的，结果几个人先回去了。景区的饭还可以，价格也不离谱，上山前一定要吃饱饭才有力气上山，因为真的很高很远很陡的。,3
18,今天到了地方服务员说在同程旅游订票便宜，我们去了九个人，打开手机就在同程定了票，的确便宜，服务态度也特好，景色更是没的说有山有水，孩子们都玩疯了，路也好走，,5
19,景区干净 服务态度超乎想象的好 景区步行路线指示明确 景区公交车舒服 服务人员态度很好 景区食品明码标价 价格实惠,5
20,今天一家三口自驾去游玩，虽然坐缆车花了几十元，但很值那个价钱，翻过了好几座山头，景色不错，值得一去！,5
21,空气特别清新，完全氧吧。民俗村很有意思，表演啊，小吃啊，很丰富。峰顶的云太漂亮了～台阶好多，台阶好多，台阶好多，重要的事说三遍！,5
22,挺满意的一次旅行，云丘山山美水也美，旅游设施也挺好，古村让人感受到了古老的风俗民情，后山有水上游乐设施，大人小孩玩的不亦乐乎，还有瀑布分流之下。上了山顶，群山都在脚底下，让人感受到了大自然的威力和神奇。以后有机会还会去。,5
23,挺美的，景点好大，爬到山顶真是一览众山小，古村的皮影戏很好，就是吃饭品种挺少，没有什么选择余地，景区的卫生环境很好,5
24,旅游日去的，因为在稷山乡宁交界，自驾车过去也还好。进了景区之后一路爬山，直到最高顶。沿路风景也很好。下山的时候走的是另一条路，上去花了三四个小时，下来只用一个小时,5
25,天气太热景区人不多，前山上后山下全程徒步，景区人员服务态度都挺好的，配套设施人性化，卫生工作也很好，就是后山现在没水少了一些生机,5
26,同程买票取票都很方便，云丘山景色秀丽，建议先做3号索道登顶，再步行下山，要不会很累很累，体力好的友友请忽略👼,5
27,本来周末决定一家人去壶口的，壶口观景后临时决定去云丘山。没想着这里会怎样。从壶口开车到这里的路上开始喜欢上了，一路上的风景很是好看。晚上住在了唯一的云丘山快捷酒店，酒店住宿很舒适，也比较干净，饭菜可口，价格很实惠，酒店服务员也很热心，得知晚上还有免费的演出，我们几个人错过了去哪的车，服务员又进行了协调，让我们看上了当地特色的表演，很开心。第二天再次坐上观光车上了山，观光车的司机师傅很好。下了观光车，我们坐了缆车上了山，在步行上山的小路上，路边从有从人工的石槽里一路流下的溪水，很是喜欢。,5
28,门票有点贵，景区还在修建中，还有开发空间，管理有待提高，风景还不错，山势险峻，过半个月去更好一些,3
