id,comments,star_level
1,风景优美 很有特色的景点 就是很累 乘索道上去 还要爬一个小时才登顶,5
2,景区里风景还好，但感觉还是缺乏管理，爬山过程中没有遇到什么管理人员，也没有什么公共设施设备，感觉好像是开发力度不够。最不好的是回来的交通不便，没有专线送游客下山，全是当地私家车在门口做生意，似乎也得到了景点的认同，没人监管！,3
3,半山腰的山路太险峻了。走的腿还发抖。太高了。一天所有景点看不完。,3
4,8月13日，携妻儿妹妹外甥一行5人自驾游了五老峰。由于外甥年龄较小，没有把五个峰都去看一遍。稍微有点遗憾。不过整体感觉还是不错。比较难忘的一次出行。1、8月去还是有点热了，人在上山的过程中就好如洗了一次桑拿。建议这个季节去的话，上山还是可以坐下缆车。2、景点内小交通上下一共10元，并且不提供单程票。这个有点霸王条款的意思。3、上山的话最好在下面多买一些水，其他的都不做考虑。山上的水3元一瓶，直接贵了3倍。4、缆车售票处外面的小姑娘（负责收停车费）很是热情。不管停不停车，能提供解答的，必然是知无不言。赞一个5、最可惜的是山上几乎没水。只有一个“一碗泉”处有一点水。,5
5,同程一元。坐火车去得，然后租车到入口，50元。上山还得坐节车按人收费一人来回20元。缆车下来的，一人60。学生票40！去得时候下雨，山里都是雾，算是另一种风景吧。也挺美。由于下雨，索道没有玩成。下雨石台还是比较滑的。,5
6,工作在永济100公里外的城市，去过永济几次但都没玩过，突发兴致组织全家过去玩了一天 。早8:40抵到中峪，稍事休息，买票进山，同程还是很方便的，1分钟搞定，优惠还可以。进了山门必须乘坐中巴到木桥，票价10元包括上山、下山双程。9:20，开始走台阶上山、10:30抵到凌峰观也就是山中央；11:40到达最高处玉皇顶；12:20返回凌峰观，走宾馆路去另一个峰返回；走锦绣谷下山，14:00抵到中峪山门口。基本上2小时到顶，沿途风景没得说，是周末休闲的好去处。,5
7,1元玩景点，给力的票价。当天去的时候在景区门口有在同程订票的取票点，短信确认后给张机打的类似超市购物样的小票，当时我们去了两个大人一个小孩，后来上山的时候由于孩子身高超过1.2米，购了张儿童票20元，听工作人员讲当时应该给小孩订张成人票。上山每个人20元的小巴交通费，有点高。当天上山雾大，有小雨，没有欣赏到景点的美，有点遗憾。,5
8,跑了一天，很累但是玩的很开心，建议早上早点去，不会太热，入景区从左边上右边下，虽然很累但是一定要坚持，天桥上的景色绝对不会让你后悔得，景区的水还有饮食都可以接受不是特别贵的，就是下山路上的风景不是特别好，路也需要修理。值得去的地方。,5
9,满意，环境很好，就是门票优惠券怎么不能使用啊,3
10,进景区就看到专门的同程取票点指示牌 ，并有服务人员指引，这点非常好!前半段路平缓，后半段路陡峭，无限风光在险峰，吊桥富有挑战性，观景台看到的风光很棒。我在观景台和天桥停留的时间比较长，一会下雨一会晴，看到了非常清晰的美景，也看到了雾中的美景，不一样的感觉。景区交通费20元是必须的，我们体力不错，没坐滑道和索道。山顶泡面10元一碗，还不算离谱。,5
11,运城开车至景点，当天大雾能见度10米，花费时间1小时。景点门口停车场，停车费10元。运城市一卡通可免门票，需花费进山大巴费用10元。同程网62（包含门票及大巴费用），学生半价！淡季绝没有小商贩干扰，需自充足带干粮。半路洗手间、**桶都很方便。当天没有逛完（徒步无乘坐滑索），天然氧吧有机会还要去充氧。,5
12,主峰海拔1800多米，从景区大门到登山口有班车接送，（3公里，往返10元）。登顶约需3小时，风景秀丽、地势险要！值得一去，同程网上订的票在售票处就能拿到，很方便！,5
13,不奎是峰，美不胜收，值得一去,5
14,同程软件订景点票很方便，确实比景点售票便宜，只是订的进山票。我们直接从索道入口取的之前订好的票，又买的缆车观光票，到了半山腰，山上很凉快呐。旅途很愉快！！,5
15,这里名声很大，向往已久，景区开发很久，设施开始老旧，有些新的线路在开发，路线设计不合理，比同级别的景区落后了，景色还不错，有些线路要整修，厕所太差，饮食不错，同程优惠大、方便,5
16,不错的景点，景色好，值得一看，天桥真称得上是天桥，游人也不多，一点都不嘈杂，但是感觉索道的价格不够透明，索道的票面价格往返120元，但是现场不售往返票，购买单程票往返下来140元!,5
17,我是从闻喜出发火车直达，早上6.5元车票坐到永济火车站，出了站找到永济交通局，只有那边每天早上七点半都会有一班车直达五老峰，住进一家振兴招待所，很便宜30一晚双人间，空调电视都有，如果太讲究的还是不要住进去了，环境不是特好，老板人很热情，住下之后介绍我们周边的景点，还有如何去五老峰等等，很赞！第二天早上六点半老板就叫我们起床，说帮忙联系了一个车子，20元钱直接把我们送到五老峰，果然，永济市区距离五老峰其实还蛮远的，七点半就到达目的地了，车主把我们送到售票点嘱咐了一下上山必游的景点，还有安全之类的，很暖人心，因为我们上来的早，兑换好门票，加了10元的乘车费(这个上山的专车接送)，我们头一批被送至登山处，第一道关卡就是面对两千多节台阶，我们没坐缆车，沿途风景很不错，空气也挺好，觉得对于不常运动的人来说，到这边蛮好的，台阶多反正好走的，值得一提的是上玉柱峰，必须经过天梯，很险，上去就是天桥，穿过天桥就是观景台，现在那边，下面的风景一览无遗，漂亮！下山的时候我们通过空中栈道，下到锦绣谷，一路水，很好玩，友情提醒下:黑龙潭还没怎么开发不值一提，红沙峪也没怎么开发好，除了看一眼一颗大杨树之外，没啥，还是不要浪费腿脚过去看了，这个景点距离滑道距还蛮远的，下山我们是一步步走下去得，虽然很累腿很软，可确实开心！不错。,5
18,"照片就是五老峰山顶。坐索道上，步行下。索道票比景点门票还贵。索道运行缓慢，等待时间很长，一起下山，坐索道和步行的一个时间到达山脚。景色让我大失所望，花那么多钱，没有多少让人感觉留恋的景色，就是有一点地方稍险峻，还有一条比较高的吊桥，其他真没有什么，上山的人们都有同感，庙多，景色少。还有就是厕所很少，好不容易下山有一个，墙上贴着一天最少打扫三次，里面脏的没法下脚，估计30天打扫一次。老公在景区公交上丢了手机，有乘客捡到交给了司机，我们联系景区工作人员找到了，很感谢那位不知名的游客,也感谢景区工作人员。还有就是大家以后网上订票多搜几个网站，那天去了才发现还有网站限时抢购门票便宜到爆。",5
19,景区环境很好，硬件设施太差，由于一级公路距离景区大门有10公里左右，给游客造成很多不便，建议景区加开电瓶车上下运送旅客，这样既增加了景区收入，又方便了游客。总的来说，不虚此行。,3
20,很值得一去！景区游客不是很多，爬山观景很舒服。前半程平缓，后半程险峻，天桥很好玩，走在上面晃晃悠悠有点像高空秋山，山顶景色很美！景区所售东西价格挺合理的。,5
21,清明放假，自驾去五老峰，虽然山不是像夏天那样绿，但春天山上的花儿很好看。同程订票有优惠，很好，如果能提供门票更好了，门票有纪念意义。有机会想夏天去一下。,5
22,同程预定后直接扫二维码进景区，很方便。景色优美，一定要登顶，只有登顶才能饱览一览众山小。,5
23,不错，是个登山的好地方，下山看着台阶眼都有点花，只爬了东边，西边的是爬不动了。风景还行吧权当锻炼身体，呼吸新鲜空气了,5
24,山高空气好，小交通也还不错，滑道很刺激，索道22分钟，很是精准，平稳又快速，～,5
25,挺好的，就是景区公交要30，还涨价了！贵**,5
26,这次去五老峰挺意外的，给人大开眼见的感觉，心情也不错，服务态度也很好，这次时间有点赶没怎么玩，下次一定还会再去！,5
27,今天去的时候是阴天，特别凉爽，我建议上山坐缆车，下山徒步，如果徒步上山的话会非常累。,5
28,不错。景色很美，山上雾很大，有人在仙境的感觉。山路比较滑，也比较陡，特别推荐哦…n,5
29,空气新鲜，山上挺好的，风景挺美的！就是去了可以锻炼身体噢！好累呀！爬上去！,5
30,风景漂亮，尤其是两个山头之间的吊桥，太美了，整个山的感觉就是清秀，不虚此行。,5
31,还行吧    顶了以后  还得再交20的车票钱,3
32,4月5日从运城开车去的，景区内整体环境感觉不错，山峰险峻，空气清醒，天然大氧吧！就是公路到景区售票点的距离太远，十公里左右，自驾车相对舒服点。建议大家从售票点到山门台阶还有将近5公里的路，一路上坡且弯弯曲曲，走起来太累，因为上山的任务还很重，路还很长，省点体力去爬山吧。坐车单程5元到上山台阶，上到玉柱峰从天桥上走一回，真够刺激的噢...下山到南天门上有500m的滑道，15元钱也不算贵，挺有意思，值得坐坐。然后从黑龙潭（正在修建）步行下山，从上山到下山大约6小时。,5
33,从西安过去一路高速路况都比较好。景区黑龙潭目前还在建设中，山上标示不清，导致很多坐缆车上去的游客走错路。因为当天雾很大所以爬到山顶也没有看到山顶的景色所以不做评价。本次最大的亮点就是滑梯，非常好玩，挺刺激。,5
34,门票85，我觉得挺贵的。在网上买的是62，一开始直直沿路到了一个大门口买票，售票的人说这个大门口只卖索道票，要是自己爬山上去，得坐免费大巴车拉到另一个售票处，我们坐上大巴等人满才开车，都是因为国庆节人多，那边卖爬山票的停车场太小，私家车自己开过去没地方停。到了售票处除了买门票，还要再单掏10块钱每人的往返大巴车费，然后大巴把人拉三公里到半山腰能爬的地方。相当于爬个山单程就要坐两次大巴。爬山台阶步道太没意思了，没什么风景。挺累。后来走锦绣谷的路线，风景还可以。天桥挺有意思的。,5
35,景区真的是太好啦，非常值得一去，交通也很方便，服务非常周到。尤其是滑道和天桥，最值得一玩。,5
36,一元门票很给力，同程换票方便快捷，大赞!山中云雾缭绕，仿佛置身仙境当中，今天雾比较大，走在天桥上仿佛在空中穿梭，因为看不到底，所以也少了份惊险，山中景色很美，累并快乐着。,5
37,"虽然很累,但是爬到山顶以后觉得很值得,天梯很有意思,山峰很漂亮",5
38,雨天去爬的，云山雾海，很漂亮。但是，山上故意搞了一段路，收费，必须坐他们的车才能山上，收费20元一个人。山上的基础设施太差，吃饭的地方很差，脏，难吃，吃了后拉肚子。,3
39,第二次用同程订票，很方便！永济五老峰景区还不错，游览途中见到很多小松鼠，孩子很高兴，一路上山下山都是自己坚持下来的，可惜的是当天山里潮气大，滑道不开放，孩子没有玩成，景区服务挺热情的，挺好。,5
40,人山人海。进入景区需乘坐两次大巴车，从景区返回又需乘坐两次大巴车，每次乘坐犹如逃难人群拥入，秩序混乱。购买门票处更是混乱，没有人维持秩序，乱成一团，各种骂声不绝。恶梦般感受,3
41,五老峰好高呀，大家从永济出发的话，7：30分到8:00在永济交通局有一趟专车去五老峰山里。人数超过5人的话他那里也可以再派专车送，方便还省入山车费。,3
42,环境好，可是景区服务人员态度太不好，景区公交车不好，感觉上当的感觉。,3
43,山很高，树很多，台阶也很多。上到快顶的地方特别的陡，顶上的天桥很刺激，视野特别棒。同程上便宜很多，很划算,5
44,电视报纸网站全部都说五老峰免门票到12月底。11月28日，我们24人团队早早去五老峰。才知道门票免费有条件的。必须强制购买70元的索道票另加来回景区车费。不然大门都进不去。我抽空查一下焦点访谈电话。这个只谈免费，不谈背后的条件算不算欺诈,0
45,太多的台阶要爬，体力不够的人要歇很多次。山上有个天桥风景不错，周围和脚下是悬崖。下山路上也有景色，好多的桥还要小溪、蝌蚪。整体还是不错的~,5
46,很美的地方，和孩子朋友在一起，山中知了非常多，小生物让孩子们很惊喜，蜗牛，还有幸看到地龙，爬到最高峰天桥很壮观，很有成就感，五老峰是很值得一去的地方,5
47,国庆节去了五老峰，人不算多，取票方便，景区好美，不过要一路爬山，我婆婆70了还爬了上去。下山就好玩多了，孩子一路走一路玩水，还捉了小螃蟹，高兴的很啊！,5
48,第一次爬山，虽然有点累，但是登顶的喜悦，却无法比拟。风景很好，交通便利，期待下次的到来。,5
49,去的时候下雨了，还是逛完了，建议去的时候走台阶下的时候走黑龙潭，那边有山有水也挺好的，就是水是**水，同程很给力，,3
50,同程很方便，初次体验，便宜了不少呢！我们一行11人，从登山台阶上山，分批下山。总体感觉，爬山老累，全是台阶，我们从上午9：30开始，爬到下午2：00，4个多小时，都已接近极限。顶峰吊桥好刺激，用老公的话说叫“连滚带爬带叫”，囧！滑道也很好玩噢！下山相对就快了，但我们团队里有5人顶不住了，做缆车下山了，有父子两原路返回了，我们4人另找一条路，看到了山，过了锦绣谷。这条路现在已没有人维护，有人但已发绿了，景区目前主要推广做缆车上下山，这样我觉得就缺少了登山的乐趣！走不同的路，看不同的风景!,3
51,门票跟划算，早上开车从家出发，在黄营下高速，三小时就到了五老峰。很漂亮，从山间上山，然后转到天桥。话说走天桥真的很需要勇气，但是过去之后的观景台风景很美。这个季节去正好。下山的时候走滑梯下来的，找到了小时候滑滑梯的感觉。然后走的阶梯这边。下午下山后在周边吃了羊肉泡馍。一天很高兴，也很累。,5
52,如果自己不开车玩这个景点比较费劲，淡季时等车很困难。步行登山口建议走右边，有山有水好风光。左边全部是楼梯，没啥意思。上山一定要封顶，很刺激。全程步行需要3到四小时。风景不错。一块钱门票很给力。赞一个,5
53,暑假带孩子去的，景色不错，有许多景点还在修建中，孩子玩的很开心！美中不足的是景点交通还要收费！,5
54,这次出游很开心，五老峰值得一游，我们用了一天的时间都游完，很好玩，风景很好，服务态度也好,5
55,景区服务很好，当我们下山时下着雨，路滑，每隔一段距离都有身穿雨衣的景区工作人员站在路边不停的提醒游客小心安全下山，在地势险隘之处牵扶游客，令之感动。景区非常干净环保，工作人员态度和蔼亲切。不足之处是山上的饭太贵了，感觉暴利行为啊！,5
56,10月20号去的，从运城火车站附近坐的去永济的汽车，13块到五老峰路口，再坐小面包一人10元到售票口（这个蛮贵的），换票另加10元到登山路口的往返车票。上去走的左边的登山台阶，路上很多松鼠，下来走的健身道。最上面蛮陡的，天桥不是很恐怖，旁边的滑索看起来很刺激。下山路上坐了滑道15元，身子前倾减速后仰加速，想要好玩就后仰着吧。整体上蛮好的。不过门票优惠不够啊，路上遇到一个说他现场买的80含往返车票，不知道是不是少收他钱了。,5
57,上下山的途中景点不太多，但是到达观景台后就会觉得前面付出的汗水都是值得的。太美了。同程没说的，没有任何问题。,5
58,还行  就是天公不作美  下了点小雨  石阶略微有点滑  下山得十分小心  山顶风景不错  风也好大  好爽的说  景区还专门设置了同程验票点  很给力,5
59,景点还不错，就是同程取票不让免费坐车，太坑人啦，但是换票还是很方便的，下次还来同程订票,5
60,景区各种套票，不提前讲清楚，买下门票和单程索道票，进山做的小巴票包含在门票中；可是下山的小巴票还要另外购买，景区服务人员也不给人解释清楚，脸一吊跟欠他多少钱一样！我发誓再也不过节时去景区了。,5
61,网上订票还是比较方便的，只能够门票，小交通和索道，滑道都是自己又单买的,3
62,还行，不一样的风景，就上有的景点不开放，总体还行！！！,3
63,景色不错！有水就更好了！,5
64,其他都不错，就是被里面的道士说的有点不舒服，一直各种骗钱！,5
65,此次是第二次来五老峰了，这里的玻璃桥要比神潭大峡谷好的多，赞一个。,5
66,还蛮幸运正赶上纪念抗战胜利70年免门票，去的时候又是阴天，是特别凉爽。建议还是买个游览车的票，来回共30元，为爬山节省体力。我们上山是从锦绣谷这边走的，比另一条远点，但是景色更好，小石子路，小桥，石阶，有水有木，下山就是走的另一条，就只是台阶了，没有这条感觉好。来了就要到山顶上，走天桥，在上面感受雾气缭绕，仙气飘飘，真的很舒服，另外上面风有点儿大，比较冷，上来的穿个外套。因为前一天下了雨，今天也滴答了点，路面湿漉漉的，下山有点滑。可以尝试一下500米的滑道，20元，可以少走一段，因为下山腿实在是有点疼了。还有索道，不过能走还是不要坐了，看看另一路的风景。来的话，打车50元不讲价，也可以坐到运城的车在五老峰登山口下，或者坐专车，好像是早上7:30吧，我们那天没有车，就打车了。游玩时间大约得多半天，中途休息，拍照啥的，晚上四五点回到市里住，汽车站那有去普救寺的2路公交，四元。到了永济五老峰还是值得一去的。,5
67,真的不虚此行！好地方，从下面爬上去，从上面走下来。越往上面越好玩，遇到大雾天，有神仙般的感觉！整个景点没有强制收费和变相刺激消费项目，刚好遇到门票免费，所有工作人员服务热情，来回就花30元往返了个景点车费。太刺激了！,5
68,整体还不错，就是坐车不方便，下了汽车离山口有几公里路，做了面包车，来回45，感觉被宰了一样。我们去的时间天下雨，有个景点封了，我们就选择了玉柱峰，上面还有庙会。中途出太阳，山顶又下雨。到山顶真的想到了仙境，云雾缭绕的。就是前面的玉帝庙是不是有点小了。😝一个景点回来也就5个小时,5
69,同程门票54元，往返交通费30元，下山索道60元含交通费，卖票人员很负责地告诉我们可以退15元。所以服务人员的态度很认真，到了玉柱峰，挺陡峭的爬梯，人在山中行，直奔天桥进，挺好！,5
70,昨天去的。刚好下过雨。云雾缭绕，超级美。玩了滑道索道。 我们十个人滑道超好玩。人多热闹。门票团购65进山必须要坐景区交通30  。昨天刚好七号国庆最后一天是要收费的。今天就免费了。。,5
71,和家里人又去了一次。第一次去是在10岁那年，为了去五老峰玩还出了事故，弄的爸爸妈妈玩得很不痛快，所以很感谢同程旅游的这个活动，让我们又一次好好的玩了一番！风景那无疑是很棒的，整个旅**人都很开心！小时候去的一点印象都没有，也不知道和以前有什么不同，但我们都爬上了峰顶，一览众山小的感觉啊！很好！希望以后有更多这样好又实惠的活动，支持同程！,5
72,我和老婆是前一晚到永济，在车站附近的宾馆住了一晚，第二天一早坐车去的，在山门前售票处用订单号取的票，（很放便，很实用）那天好不凑巧，索道了不能使用，只好在这边爬台阶，简直都累惨了。老婆都不想上去了。最后用了三个小时才上去。上去之后两腿都直了。但是上去之后感觉超不同，说不出来当时的心情怎么形容，天桥就像在天空中似的，那种云里雾里的感觉超级爽。唯一的遗憾就是没有看到黑龙潭的瀑布，听说正在整修。总的来说，很好，值得大家去休闲游玩，而且当地人也很热情好客。一个字， 赞！！！,5
73,景色不错，游玩时间较长，我们早8：30进山，中午3：30下山，很累人。同程订票方便62元，景区实际票价70元，儿童假期优惠统一20元另加往返中巴每人20元。山上卫生一般，食物价格适中，总体感觉不错。,5
74,我来帮忙算下费用，从永济市区出发，坐车到景区买票点10块，景区门票同程价62但还要加20块到达山脚下车费（霸王条款，一定要付）在山上有个滑道，收费15，建议可以坐下，下山坐索道60块。下山后没有班车到市区，要在外面拦过路车，5.5到十元不等。。。。。。另外学生证门票40。加上吃的一人两百吧。不过景区工作人员服务态度不行。。。。。注意忍耐,3
75,自驾游的**们直接开到刚进去首先看到的停车点，如果打算一天游玩的话，我看还是乘坐缆车吧，太累上去还得继续爬。。取票还是可以的，就是缆车只能买单程，上去80，下来55，唉  走下来还得自掏坐车费和打车费。。景区内收费价格到不太贵，就是缆车费用没有往返的，多掏了15元/人。。,5
76,风景很好，亲近大自然！,5
77,时隔18年第二次来五老峰了，开发的已经大不一样，玉柱峰雾气很大，像仙境似的，滑道很刺激，全家玩得开心！,5
78,说是零元门票，其实林业局已封山一个多月了，只让买索道票的进，停车场收费太贵，服务管理差售票处窗口紧闭。遗憾就没登山，交了10元停车费，照了几张相片就去滑雪场了。,0
79,五老峰景区很好，特别是植被很好，大热天去也不晒，整个景区是山青水秀，玩的很开心，直得去玩，特别是上到天桥处，又剌激，又惊险，太好玩了，下来不用走路，坐滑道，总之玩的好开心，还会再来五老峰玩的。1.^‘‘,5
80,非得值得推荐一下……风景如画！,5
81,五老峰的景色非常漂亮，下面的水战区较为原始，风景秀丽，气候凉爽；上面的山体很雄伟，自上而下的滑道非常好玩。就是换票是有点慢，建议设网络购票专用窗口,5
