id,comments,star_level
1,同程旅游上提前订的票，很方便。下了火车出来就有公交4元直接都景区，不要打黑车，黑车要20。动车有免费车到景区！到了景区直接到网络取票口取了所有的票！取票后就可以排队到你要去的索道口，人很多，大约排一个小时。北峰是华山最陡的峰，建议从北峰上西峰下，在上北峰索道口时就能看到非常之震撼的山景！有云梯直上直下的很刺激的山道，很安全值得体验！依次会登到中峰，东峰，鸽子翻身景很好看！南峰，南峰栈道很惊险，必须去！西峰索道下！几个峰都走下来也得4个多小时，下来做索道还要排队一个小时，时间很紧迫！合理安排时间哦！,5
2,值得一去，建议带点能吃饱的东西，可惜空中栈道排队太长没游玩上，很遗憾,5
3,华山还是非常漂亮，值得再次来游玩，就是这边的出租车实在是太乱了。,5
4,同程取票快，建议提前同程订票，否则窗口排队买票费事费力。华山一日游，要做索道就一定要早点登山，建议七点要坐上索道，不然，排队非常辛苦，我们一家是提前一晚在华山脚下酒店住，早上六点一早就出发，十二点半下山看到到处都是排队的人群，切记，到华山游玩一定要早点出发。华山果然名不虚传，非常险峻，值得一游。,5
5,多年前就想来华山，这次出差，预留了2天时间来爬华山，我体重194斤，本想过完年后在健身房减到175斤左右来华山，苦于自己懒！……能来华山是的梦想，下了火车座公交车到华阴市宾馆住了一晚，准备好了登山杖，小手电筒，必备手套（后来才知道手套的重要性），宾馆老板要我早上6点就去排队买票，他建议我不要从玉泉院爬上去，我原本是全程爬上去，说我会受不了的，我7点过去售票厅大门口，全是**的人，排队2个多小时才买到门票和北峰索道票，座上中巴车到索道口又是人海又排队1个多小时！……建议朋友们一定不要赶在节假日过来，周一到周五最好，因为太多人了！下了索道就去了北峰华山论剑，经采耳崖，苍龙岭到金锁关，转爬西峰到最高点南峰，体验了一下传说中的长空栈道！后去东峰，夜宿中峰，第二天没有看到日出，因为大雾飘过，观日台旁边就是东峰顶又返到东峰体验了一下鹞子翻身，非常刺激！……对于一个座飞机和索道都恐高的我！华山两处惊险景点我都玩过，还有东西南北中峰都爬完了！厉害吧！返程是犹豫在三座索道下山的，因为我还要去西安出差办事！不想走路一拐一拐的！最后感谢朋友们的看完与分享！谢谢！……,5
6,很久很久以前就十分向往去五岳之一的华山，今年终于终于来到了这个令我魂牵梦绕，多年的中华名山，但是这个圆梦之旅给我的是满满的失落，和郁闷，首先，华山的买票是分层次的，这让我大开眼界门票车票索道票，每票都不能少，并且车票是来回要买两次索道票也是一样，这且不说，每次买票都像是在打肉搏战近来体力脾气，最后无奈的败下阵来，只有妥协，这里面的工作人员特别是售票处的工作人员完全是在应付差事，对于游客没有一点必要的提醒，这难道是一个五a级景区的工作人员，应有的素质吗？一个刚到华山的游客，在此情此景下，心中的无奈和愤怒不知道你们能不能够体会，我在别的游客攻略中看到有的游客写到华山景区，要钱不要脸，刚开始我还觉得此言过激，但是亲身体验，方知此言不虚，要，要钱之甚，华山第二当无人第一,0
7,累惨了，为了避免人流(图二图三是下午2点西峰索道的排队人群；图四是上午9点的北峰索道)，选择北上西下的索道，因为**一般选西上北下；从北边上山人确实少，不过山不容易爬，而且别无选择，大概要2个小时到金锁关，爬到中峰之后，中峰东峰西峰都不远，而且没什么上山坡；南峰最终选择放弃了，从西边索道下车。爱出汗的人建议带套衣服，衣服全潮了，挤出汗水出来；吃的少带，背着爬山挺累的。,5
8,华山作为这次我们一家西安之行的最后一站还算是满意的。尽管前一天白天看陕博晚上看大雁塔**泉(看过之后才发现不过如此，还害我们等了几个小时）太晚导致第二天错过了高铁。又打了个拎不清事儿的滴滴直接从西安送到，多花了💰和时间不说，结果地址还搞错。走了很远不对又调头重新打车。同程网取票很方便，只是坐缆车等了有一个多小时，下缆车就快13点了。考虑到时间紧还有老婆体力跟不上(事后证实北峰到西锋耗时也就两小时左右），所以直接从北峰顶经金锁关前往西峰索道匆匆下山了。遗憾没有去南峰中峰和东峰了。不过华山的美景和险要也是体会到了，特别是西峰下行索道很刺激。不知道为什么大家都选择西上，可能是认为下坡路多轻松点吧。我个人倒觉得北上西下也挺好，不就是冲爬山去的吗？再说只有走过了才知道什么叫“上山容易下山难了”。如果下次有机会一定准备好了把几个峰都走遍。,5
9,需换票入园。这次选择了西上北下，整个行程以下坡路为主，较为轻松，但人较多。北上西下恰恰相反，所以个人感觉非节假日选择西上北下较为明智，不走回头路。两个收费项目都值得尝试，够刺激，但每一项至少准备两个小时。,5
10,刚开始在网上订的不取票的，刷身份证就可以进的，结果要在另一个门进，窗口的工作人员很耐心，让我退了再订另外一种取票的，买了上西上北下的索道。上午11点多上的山，6月底游客还不算太多，下午6点多走到北下坐的索道，建议从西上北下，北峰多是下山路，而且路程也比较远，坡也陡。下山索道是7点关闭，这个我也是第二天才听开车师傅讲的，要想坐索道下山就一定计划好时间，要不就只能走路下山了。而且旺季人多排队都要排很久,5
11,刚开始在网上订的不取票的，刷身份证就可以进的，结果要在另一个门进，窗口的工作人员很耐心，让我退了再订另外一种取票的，买了上西上北下的索道。上午11点多上的山，6月底游客还不算太多，下午6点多走到北下坐的索道，建议从西上北下，北峰多是下山路，而且路程也比较远，坡也陡。下山索道是7点关闭，这个我也是第二天才听开车师傅讲的，要想坐索道下山就一定计划好时间，要不就只能走路下山了。而且旺季人多排队都要排很久,5
12,同程 网上订的票 拿票很方便 我是西上北下索道 不错北上有点挑战性 爬很高山山顶上好冷当天风还很大有小小遗憾(长空栈道)没去玩(当天排队1个多小时 块到门口了，风大又冷还想上厕所，问工作人员 说还要等两个小时 实在没办法等，又冷又饿 所以放弃了)其他的地方还是 蛮不错值得去玩,3
13,取票方便，景色不错，西峰索道很刺激,5
14,爬华山要有足够的体力，否则累成狗！这才叫真正的爬山，真的爬着走😄,5
15,买票和取票都很方便，有两条路线，一条是徒步上山，可以直接进去，另一条是坐索道，就是排队的人很多，要先乘车到西峰索道的山脚下，从坐车到坐索道，人多的话至少2、3个小时，西峰到北峰3个多小时，北峰索道下要排1小时队，也可以直接走下去，大部分人都是西上北下！,5
