id,comments,star_level
1,一定要提前网上订票。因为我要买张儿童票懒得网上买还要输什么证的，午饭后直接去了想现场买的说是限流不给进，耽误了游玩计划，结果临时换地方改军事博物馆了。当时网上预订的就只有后天的啦。所以故宫一定要提前买票～人很多，逛了二小时只逛中间路线就出来了,3
2,同程购票非常方便，价格便宜，体验很好。对于影区来讲，每日限流人数还是不太合理，人太多了，想往前看看大殿内部非常吃力，只能看到人。另一方面，影区内的导游提示非常不足，看着地图找珍宝馆仍然找不到。希望景区工作人员能在景区内布置更多的导航标志，方便人找到最近的路到目标馆。,3
3,从前门站b出站口出来，升旗仪式错过了，不过天安门广场拍照必须的，七点左右进了中山公园，月季花很漂亮，八点在午门排队，周末人很多啊，只有亲眼看到故宫，才知道那种磅礴大气，地方实在太大了，从午门沿着中轴线走到了神武门，又绕回东六宫，后来到西六宫，下午三点多出来的，很多没看到，真的很大，没有买讲解器，不过蹭了导游，哈哈哈，导游讲的很有意思，所以进去的话讲解器很有必要，不然就是看和拍照。有很多门都没开，只能看到殿门，钟表馆很小，其实也没必要看，钟表很有艺术感，也就这样。珍宝馆可以进去，挺大地方，九龙壁和珍妃井都在！上午还是阴天，拍照不好看，下午天晴了，蓝天白云和高大宫墙，真是如诗如画，拍照棒棒哒！神武门城楼登上去可以看到宫殿，感叹还是感叹，真的美极了！,5
4,如果想要了解历史，故宫一定是最好的去处，到了故宫可以一起把天安门走走，故宫之大，走起来挺费劲，需要早点过去，到了午门可以一起请个导游讲解，几个人拼凑比较合算，也可以租讲解器，但是不如人工的生动有意思，来到这种地方，主要就是看和听，不然就白来了，所以不要吝啬讲解费心，还有网上订好票，进去直接扫码入园，方便快捷。用餐的话，不建议到故宫餐厅里面的快餐，价格较贵在珍宝馆边上有一家快餐店，吃个汉堡，和平热饮是最好的选择，而且价格比较实惠，出来后在周边有很多用餐的地方。进去累有很多座椅供游客休息。故宫里的珍宝馆是额外收费的，但是价格较低，10块钱每人里面有许多清朝时清朝时皇宫类所用的一些起居视频非常精美值得一看。,5
5,一定要提前购票！！！！重要的事情三遍。故宫除了热没有毛病！！！！值得一起。,5
6,这次运气不错，遇到一个博学多才的郭郭导游。普通话说得好，吐词清晰，出口成章，一路行来，听他的解说，尤如听着一首优美的诗，一首抒情的曲。下次来还找她。,5
7,嗯，另一单已评过了。主要问题就是人太多，应该加大限流。园内方向指示严重不足，最后也没找到珍宝馆，大热的天跑来跑去找一个馆，很影响心情。同程的服务还是很满意的，中评是给景区的。,3
8,北京游必去景点！确实很壮观，北京天天空，配上这些红墙金頂，雕廊画栋，真的是美不胜收！但可惜基本都是外观，没有导游讲解，就真的是走马观花，看不出啥名堂，建议租个讲解器！几乎宫殿都是在门口看一眼，人太多了，一直有工作人员在旁边催促！只可远观不可近玩焉！我们走的很随性，基本只看了几个主要的宫殿～时间太赶，也只能看看热闹～午门进，神武门出，单向游玩！想要好好的玩个尽兴，一定要提前规划好路线！,5
9,好评，网上订票方便，进去直接刷身份证就行。还有，入故宫的时候，有的通道显示团体通道，看见外国人不是跟团的，也一起在排，后面自己忐忑跟着排在后面，深怕万一不让非团体人员进，就要重新去后面再排一次长长的队伍。结果都可以的通过此通道，很赞！,5
10,值得一看，六月人不太多，讲解器很鸡肋，故宫太大，认清方向再前行，须提前预约门票！,5
