id,comments,star_level
1,根本不是门票，就是车票,3
2,"同程取票很方便,景区景观太**了,没什么好看,白爬了半天台阶,关键是换乘又贵又慢,等车长队排了1公里多;耗时1个多小时,这个景区如果没玩过朋友,建议别去了,下面第一图是排队等大巴回程的",0
3,白云山的山绵延不断，山高、陡、险，九龙大瀑布更为壮观，让人体会到了大自然的鬼斧神功。,5
4,这个情侣票是真的很人性化了 用了别人一半的时间上山下山 回来腿疼了两天……,5
5,地方很好玩，适合周末去。,5
6,人间仙境，不觉得哪里是仙境，风光一般，纯粹锻炼身体爬山，没什么风景，很累上去什么也没有。山脚下吃住都很差。5月2号去的，节假日人多正常，车的调度也是够用，但是依然排队很长很长，几公里，主要是管理有问题，人等车，车等人，效率很低。比如，车排队等着，可是那么多人，只有一条队伍，所以效率很低，要是同时4队一起上车就快了，管理有问题，加队也管不了。。不会再去了，白白浪费时间和体力。,0
7,人间仙境，不觉得哪里是仙境，风光一般，纯粹锻炼身体爬山，没什么风景，很累上去什么也没有。山脚下吃住都很差。5月2号去的，节假日人多正常，车的调度也是够用，但是依然排队很长很长，几公里，主要是管理有问题，人等车，车等人，效率很低。比如，车排队等着，可是那么多人，只有一条队伍，所以效率很低，要是同时4队一起上车就快了，管理有问题，加队也管不了。。不会再去了，白白浪费时间和体力。还有，奇怪的是，这么大景区，只有一台自助取票机，天啊！！,0
8,好东西，价格便宜实惠。,5
9,下山正好下雨，山顶在装修，登顶就失望。,3
10,和媳妇一起去，划算。。。。,5
11,景区的工作人员态度非常好，景区10元的观光车本来是早晨6点半或者是7点才是首发车，但是因为我赶时间，司机师傅在早晨6点半就我把送到了玉皇顶山脚下，当然这是经过调度师傅允许的，我很感动师傅们的朴实和热情，景色很好，去的第一天下雨了，第二天爬到了山顶，从小黄山下的，基本的景点都去了，感觉很好,5
12,几大景点只有玉皇顶，九龙瀑布可以去，好评蛮多的小黄山封住了，景区内部正在升级改造建设，比较失望。再其次，今天爬玉皇顶，还下雨了，山路不好走啊，有些台阶也该修整一下了，松动了踩着不安全。最后，我们一致认为，洛阳旅游全毁在道路交通了，从洛阳市区到景点，耗时5-6小时，山路太不好走。总而言之，三颗星星，全是给白云山的美丽自然景色和新鲜富氧空气的，需要这些的朋友可以来看看。,3
