id,comments,star_level
1,什么东西要退款，.也不写白,0
2,很好用，讲的挺好。推荐,5
3,显示了门票，其实是手机导游，用也没用，钱扔了。,0
4,为什么我买了票他们说网上订票不能用，又让我掏的现金？？？既然这样为什么还可以网上订票,3
5,研究专家，中国的专家一词可以这样滥用吗？实际就是导游解说！,0
6,历史悠久，古迹保存很好，还引进了印度，缅甸，泰国的寺庙建筑。,5
7,还行 不如导游介绍的清楚,5
8,阿弥陀佛，南无阿弥陀佛,5
9,随机导游，介绍还可以的,5
10,要了解历史，不然感觉跟其它寺庙没什么区别，定位超不准,3
11,好好好好好……………………………………,5
12,不错，但是不够智能。,5
13,非常满意的一次听觉旅行！,5
14,感谢讲解员小周运用丰富的佛教知识让我对白马寺有了更深层次的了解！点赞啦！,5
15,说是研究专家讲解，其实就是**拼团导游。一个小时讲得不咋地,3
16,假期的时候和朋友们一起去玩的，周围的环境不错，交通也比较方便，票价不是很贵，性价比比较高，总体来说玩的很开心，有机会还会再去,5
17,电子导游还蛮方便的，买完后手机收到验证码，到景点了后点开链接，输入验证码，然后可以播放导游讲解了，每个景点都讲得很细致。2人去的话，可以买一个，一人带一个耳机听就可以了。,5
18,很方便，有定位功能，走到哪个位置自动播放此处的介绍，还可以手动选择反复播听,5
19,价格要比**便宜好多,5
20,非常好！语音清晰！值得购买！,5
21,介绍很好，景区简介不错👍👍下次还会再,5
22,综合性价比不高！不值得推荐使用！,3
23,很不错的体验，以后连导游都可以省了,5
