id,comments,star_level
1,一般般吧！门票收费，进去后基本各种项目都另外收费。,3
2,小火车50米，也就99个台阶而已，根本不会缩短上山距离，不要上当，千万不要体验，不会让您享受，另外除了山路含在门票内，其它一切请再购票，请在购票，最低每次60而已，,0
3,还可以，值得一去的地方,5
4,适合一家人游玩，锻炼身体,5
5,爬山很不错👌，景色优美，,3
6,玩了两项 其他没玩 抱娃去爬山,5
7,下雨天，其实三英战吕布还是可以看看,5
8,不错，挺好的，还有再来的,5
9,购票方便取票不难下次还用,5
10,很不错，特别是情景剧很棒！,5
11,钢索桥慌得最厉害，吓**人,5
12,还行吧，不错不错不错,5
13,走到瀑布原路返回就好 写的2000米到滑道 走了2小时多 后面还不太好走 太坑了 到了上头30元坐滑道  滑道也不刺激 有的还要靠自己的力量滑 可以到半山腰，完了20元坐车下山。,3
14,总体来说:1、景区的阴凉地方不多，夏天去的话需要带防晒披肩或防晒帽！                  2、景区的玻璃栈道只有一截，没有想象中的那么刺激，而且玻璃栈道的门票70元比景区的门票还要贵10元;有点失望。                  3、景区里面的饭店比较多，比景区的景点要多;所以吃饭的问题大家不需要担心。,3
15,全程高速，我们去的早，8点40进，一路上走走停停，风景不错，12点40才下的山，下来的时候坐滑道30元再加20元的小巴，还有5元的鞋子租金，1500米的滑道说是什么急下坡，其实一点都不滑，滑道玩过很多次了，又不是新手，还要自己要手撑着滑，才能往下慢慢的滑，要不然不动，就是急下坡也是不动，无语了！下来后下面有小吃街，味道不错！孩子算是吃美了。哈哈！总体来说神潭大峡谷还是能来玩的。,5
16,全程高速，我们去的早，8点40进，一路上走走停停，风景不错，12点40才下的山，下来的时候坐滑道30元再加20元的小巴，还有5元的鞋子租金，1500米的滑道说是什么急下坡，其实一点都不滑，滑道玩过很多次了，又不是新手，还要自己要手撑着滑，才能往下慢慢的滑，要不然不动，就是急下坡也是不动，无语了！下来后下面有小吃街，味道不错！孩子算是吃美了。哈哈！总体来说神潭大峡谷还是能来玩的。,5
17,11月19日我在同程网买了2张神潭大峡谷的门票，取票时报一下取票码和取票人姓名，就可以拿到进山通行证，并且比价格也便宜。景点不错，有山有水，路途也不算远，连上带下也就3个多小时。遗憾的是后山修路，不能坐滑道下来，否则会更轻松。古村的小吃不错，很有地方特色，还上了中央4台，值得品尝。,5
18,购票方便又便宜用了5元的红包，用手机短信顺利在景区售票处取到票。景区风景不错，玻璃栈道好玩。不足卫生不好，**多。如果多设置几个**桶，多点管理，卫生条件会好点。大热天就是想去玩水，可是水边的卫生太让人担忧了。希望提高卫生环境。,5
19,在同程上买票便宜，就是我的景区红包怎么点都用不上，不知道什么原因？景区玩着很美，清澈的水，很漂亮的风景，山也不抖，很适合爬山，带孩子游玩，小吃街很好，味道也好，家人都很喜欢吃，性价比高，望大家，准备出游的参考。,5
