id,comments,star_levels
1,这里感觉设施挺齐全的，挺人性化的，景色非常优美，有机会还回来。,4
2,因为假期不长，所以就近选了这爬爬山。宣传的风车节很好看的样子，但是去了之后发现看点不大。,1
3,“北云丘，南武当”一般都是去武当的比较多，但是来看看这云丘，感受一下不一样的风景也是不错的。,5
4,上云丘山登上第一座天门就能俯瞰周围群山，体验一览众山小的感觉，与国内其他山峰不同。如果像节省体力也可以直接坐缆车直达云丘山的第二高峰祖师顶，再攀登到玉皇顶。,4
5,云丘山的风光是挺赞的，还有完善的设施，一定要来看看。,4
6,我跟家人在端午节那几天的时候去的，也没有到太远的地方就在附近啊，去爬那个山，而且呢，我们是去的云丘山，因为这里我从来都没有去过，当时那里正在办风车节特别的热闹。当时去了之后就大跌眼睛了，还是4a级景区，明显都是人工造的吗？可以做出来的样子给谁看呢？难道我们都没长眼睛吗？走的时候，门口还放着小沈阳的歌，真坑爹啊，真应景啊，真是醉了，而且还花了那么多的钱，我觉得自己真是亏大发了。,4
7,我觉得这个地方还是非常不错的选择，如果是想要去旅游的话，可以去这里看一看，会有很多的收获，而且这里也是非常出名的。,4
8,上一次的时候我和朋友一块去的云丘山，登上云丘山的第一座天门，我们就看到了非常美丽的景色，俯瞰周围的群山，就觉得有一种豪迈的感觉，而且看着每一座山峦，透露出的那种雄伟的气息和特质，就觉得自己居高临下的感觉。那里的台阶特别特别多，专门供游客向上爬。而且它不是一直往上的，它是弯弯曲曲的，所以没登台军都会，不会觉得特别压抑，如果你不想爬台阶的话，也可以坐缆车啊，这也是很方便很不错的选择。,4
9,感觉爬山的过程挺有意思的，体验这个过程还是挺好玩的。年轻人的话来爬山运动一下还是挺好的。,5
10,我个人觉得这个地方只要是老年人去的时候可以坐那个缆车，现在不是也有了吗？要是爬完前宫再爬后宫，我觉得怎么着也得3个小时啊，像年轻人去的话，要是不去爬山的话去干嘛呢？什么也干不了，难道是去烧香拜佛吗？这样挺好的。,3
11,这个地方适合老年人来，感觉有宗教信仰的，喜欢烧香拜佛的人挺适合来这里的。年轻人可以爬山，老年人可以坐缆车。爬山的话要三个小时左右。,5
12,这里的塔尔村挺特别的，感觉山上的建筑非常的精妙奇特。还有儿童公园带孩子来看看也是挺好的。,5
13,我和朋友一块儿去的云丘山，而且还带着小朋友呢，因为听说他们的后山有游乐园，孩子在那边玩的特别开心，前山有特别精致的建筑，而且当地的居民，非常具有当地民居的风情，给我们留下了很深刻的印象。,5
14,云丘山挺好玩的，是年轻人爬山的好去处哦。,4
