id,comments,star_levels
1,五老峰人烟稀少，百无聊赖，与三叠泉相比，五老峰更胜一筹，我爬到了四峰便没有了气力，如果你精力不够充沛，建议你爬到四峰就够了。,5
2,五老峰海拔高，坐落于庐山东南方，山脚下鄱湖蜿蜒，高峰耸立，万里绵延。,4
3,当时烟雨蒙蒙，庐山若隐若现，但现在的庐山就不那么受人追捧了。,4
4,五老峰真的很漂亮，特别是有雾的时候，像在仙境一样，只是爬山爬得特别累。,3
5,五老峰很漂亮，去的那天雾很大，虽然感觉像在仙境一样，但是几乎什么都没有看到。,4
6,五老峰是庐山有名的山峰，海拔1436米，没有雾的时候真的特别的漂亮，大家去之前一定要查好天气。,4
7,五老峰真的是庐山的必去景点，一定要自己爬到顶点才能体会到景色的美丽，推荐大家去啊。,5
8,从三叠泉回来正好去了五老峰，当时还在下着雨，五老峰就是五个连在一起的山峰，台阶一级比一级陡。推荐大家从不同的角度看五老峰，因为不同的角度有不同的景色。,5
9,我觉得庐山最好玩的主要就是爬山，去玩五老峰下面就刚好可以去三叠泉了，连贯的风景线让人目不暇接。,4
10,我最喜欢在淡季去庐山了，因为那个时候没什么人，我可以更加亲近的接触庐山。,3
11,夏天去庐山简直是最佳选择，那里树木遮天蔽日，特别凉快，而且空气很清新，适合在那里度过暑假。,4
12,因为第五个山峰太远了，所以我们就没去，但是前面几个山峰也很漂亮，幸好天气很好，我们过得很开心。,5
13,一般旅行团很少来五老峰，因为五老峰爬的比较辛苦，而且旅游团的时间比较紧，人比较少，所以我们爬得很自在。,5
14,我觉得山挺难爬的，但是风景好漂亮，特别是在山顶上，山顶的风光一向都很好，也不辜负我爬了这么久。,4
15,去了很多地方，可是没有一个地方能让我如此心动，也点评了很多，第一次对一个经典点评这么多，觉得五老峰真的很值得大家去，特别值得去爬一爬山，体会它的景色。,5
16,费时费力，历经千辛万古爬到山顶，此时的风景更让我心动。,5
17,五老峰坐落在庐山东南角，青山碧峰直插云霄，彩云飞舞，宛如芙蓉盛开。,4
18,风景还是让人眼前一亮的，对于我这种懒惰的人来说还真是累的筋疲力竭，但真是不虚此行。,4
19,这里风景秀丽，鸟语花香，美得不可方物。,3
20,天气晴朗，空气舒适，山峦耸立，但地势缓和，考虑到各种因素，最后我们只去了离我们较近的四峰。,5
21,跟着旅行社来游玩的话，一般不会带你来老五峰。因为在这里爬山费时费力，考虑到时间的关系，我们几个自驾游来到这里，也只是匆匆爬了两座峰，虽然筋疲力竭，但也算不虚此行。,5
22,每个山峰各式各样，如果精力充沛的话可以爬爬看，但如果遇上阴雨天气，可能就难免败兴而归。,4
23,五老峰真是一处不容错过的景观，景色美轮美奂，绝对会让你不虚此行，坐在四峰上，遥遥相望，看天边云卷云舒。,5
24,五座山峰连绵起伏，因为景区没有设缆车，只得靠双脚攀爬，这里景色优美秀丽，边走边赏雪，真是美得不可方物。,5
25,考虑到时间，我们只爬到了第四峰，还真是筋疲力倦，不过做做运动呼吸呼吸新鲜空气，欣赏一下原生态的自然风光还是一次不错的体验的，当时傍晚时分风口不住地灌风，虽是夏天，但也无法抵挡，车子迟迟不来，以后一定要做好充分的准备才好。,5
