id,comments,star_levels
1,好玩,5
2,很好，就是下雨，雾大整个西峰，南峰，东峰都是雾是么都看不清，真是很遗憾，下午到北峰就好多了可是又很累了不想再上去，整个一天行程人不是很多还是很好的。,5
3,我是跟团去的，去华山顶的话，有两种方法，一种就是坐索道，还有就是徒步爬上去。,5
4,山很高，有心脏病的，有恐高的还有冬天的时候不要去，很危险，平常时候可以坐那里的索道上山。,5
5,我是一个武侠迷，所以对华山的名字很熟悉啦，五岳中最险峻的地方，果然很不错，大气凛然。,5
6,我是一个爬山爱好者，对爬华山有一种执着，基本每次想爬山了就去华山。,3
7,华山真的很雄伟壮阔，没去之前想着华山的样子，到了之后，想象的跟我脑海中的影子重合了。,4
8,华山的景色真的太美的，我从来没有见过这样美的景色，风景很多，还有名字，不过我是叫不出来的。,4
9,我们一整天都在华山玩，华山真的不错，每个时间段都有不同的景色，而且景色都很美妙的。,5
10,华山的地势很险峻，但是很壮阔，我之前去过一次，这是第二次，很不错。,4
11,华山是五岳之一，也是五岳中地势最险峻的，我们从早上起来看日出，一直待在那里。,5
12,来华山不虚此行啊，我和朋友一起来的，都是女生，所以我们选择北峰上，西峰下山。,5
13,是值得一去的，没去之前总是想象华山到底是有多险，真正到了那里之后确实是有够险，如果没有毅力的小伙伴最好乘缆车上去，否则不到一半就会后悔的,5
14,位于陕西渭南华阴的华山属于五岳之一，山势奇崛无二，险峻的程度让众多游客心惊胆寒。建国前夕有少部分国民党残余部队妄图以这里的天险负隅顽抗，结果被机智的解放军悉数歼灭。患有心脑血管疾病的朋友，高血压患者。老弱人等，爬山观日出要量力而行。,5
15,年上华山，还没建索道。完全是靠自己爬上去的。半夜开始爬，到山顶差不多天亮，正好赶上看日出。华山之险确实不同凡响，爬的也好累好累。华山的景色就是雄壮。另外凌空栈道、鹞子翻身这样的险处，还是很有意思的，可以考验一下你的胆量。。,5
16,华山是五岳之中最高最险的山，要做好充足的体力准备。国庆和同行的十个人凌晨去爬的华山，凌晨的华山很冷，记得要买手套和租大衣，不然真的会冻死在山上,5
17,生态广场有到玉泉广场的景区内巴士，那个是不要钱的，但如果亲是免了门票那个就要钱了。北峰这边的索道旺季单程是80，西峰的那边单程是140，看你上山下山的路线怎么选了，索道学生证是九折优惠不是半票，门票可以半票。上山前准备一下高热量的食物和水，上面的东西比较贵。,5
18,下次还要再来啊，这次都没有玩尽兴，有点小小的遗憾，下次一定要玩好。。,5
19,在华山看日出真的太美了，我真的好喜欢华山，华山的美是有目共睹的美，很多人都喜欢这里。,5
20,蛮好的，就是团中都是妇女小孩，都有点体力不支，所以选择北上西下，却不小心走错了路，倒霉。,5
21,记住哦，如果你要徒步登华山，就要买副手套，不然你拉着铁链很容易把手磨破的。,5
22,我的是一日游，这一日太爽了，不仅看了华山，还把那个城市逛了一遍，真的很满足啊！,4
23,我时常去华山爬山，华山是真的很危险，我跟人说起一般就说很十分险峻。,5
24,华山上的景色真的很美，我从高处看景色，感觉真的非常的好，我喜欢华山。,5
25,我是在夏天去的，真的很热，但是我们毅然选择了攀登，第一次攀爬，真的好爽。,5
26,去华山一探究竟，竟没想到会有这样的美景，让我大开眼界啊！喜欢的华山的险峻美。,3
27,我们攀爬总共用了9小时，真的很累，还磨人的意志，不过我们坚持了下来。,5
28,最好早点去华山，可以赶上那里的日出更好，华山看日出绝对最棒的呀！,4
29,对华山有莫名的恐惧感了，之前去爬山就我爬伤了！都不知道怎么会这样。,4
30,华山山上多风，夏天的时候湿气比较重。所以登山前，最好备几件御寒衣物，还可随身携带一件轻便塑料雨衣。记得一定要穿软底运动鞋，因为山路台阶较多。登山前可以适当准备些高热量食品比如巧克力什么的，用来补充体力，还有带上水,5
31,以前夏天去过一次华山，全程步行。用了28个小时没有睡觉，后来下山以后回去睡了15个小时，累坏了。,5
32,议秋天爬山一定要穿的越厚越好，我和小伙伴是真心被山上的温度给吓着了，穿着秋天的衣服，在山上感受冬天的温度，看着冬天看的景色...真不知道我俩是怎么熬过来的...总之，华山，是一个值得去的地方...赞,5
33,西岳华山，五岳之一，以险出名。陕西最值得去的景点之一。东西南北四大山峰。看日出，夜赏星星都很美。最险的是长空栈道和鹞子翻身。我都亲身体验。第一张图片，你没看错，脚下就是悬崖，恐高伙伴勿进。,5
34,特别是自己登山2154.90米的南峰顶，那种油然而生的自豪感，以及对祖国大好河山的自豪感是无法形容的，我玩了最刺激的飞空栈道，我可以说不恐怖吗？反而越走越兴奋，华山险，而山上的风景又极美，去的时候山上有雪，不过没下雪，所以不阻碍我继续爬行，晚上住进洞穴里，一个床位是50元，越到山顶东西越贵，我已经写了游记，感兴趣的童鞋可以看一下喔,5
35,华山的两天游绝对是我陕西之旅最美好的时光，很累，很爽，很兴奋，很佩服自己，不给华山和自己一个赞，对不起祖国，对不起父母，一定要去玩啊,5
