id,comments,star_levels
1,大多数来北京的游人，都会把故宫当作必去之处，尤其是第一次来北京的。游玩故宫主要有两个看点：一、建筑艺术；二、珍贵文物。故宫是中国乃至世界上保存最完整，规模最大的木质结构古建筑群，被誉为世界五大宫之首。其中太和殿，即影视剧里常说的“金銮殿”，是整个皇宫的绝对中心，不可错过,5
2,推荐跟导游团曾听，或者去租一部讲解器，方便了解，来一次故宫确实不虚此行。（出故宫神武门后就是景山公园，门票两元）强烈推荐！,5
3,故宫很大，一般都的旅游路线都是沿着故宫中轴线走（金水桥-太和门-太和殿-中和殿-保和殿-乾清门-乾清宫-交泰殿-坤宁宫-御花园-神武门），第一次去故宫的时候就被这宏大的建筑群所吸引，金色的琉璃瓦在阳光的照射下闪现出一排皇家气象。,5
4,故宫又名紫禁城，是明清两代帝王的宫殿，历时600多年，联合国世界文化遗产，北京第一景点非故宫莫属，，门票60元，在北京乘坐地铁一号线，在天安门东站或天安门西站下车都能到。从天安门进入到午门这段不收费。到午门后需要购票进入故宫内,5
5,线路方面，时间短的可以走走中轴线，时间充裕的可以在门口拿一本导游图（免费的），按照上面推荐的线路走（个人建议一定要多给故宫一些时间，因为它是中国宫殿建筑群的王者，历史文化典故无数，游览时间安排短了一定是走马观花）,5
6,必去。雪天晴天是最好的。,5
7,其实仔细想想古代的皇帝也是很讲究的，在那么大的一个皇宫里，上朝，肯定也很累吧,5
8,故宫是每个人来北京一定要去的地方，也算是北京的一个特色景点儿,5
9,故宫里面所有东西都会让人惊叹！感觉这些都是中国历史的奇迹，也更加能显示出中国历史悠久，地大物博的特点。这也是作为一个中国人最值得骄傲的地方！,5
10,如果你不去，你也许会对故宫的神奇感到很质疑，但如果你去了你就会惊叹不已！,5
11,因为要从午门进，但是一般坐公交都是到神武门的，建议大家做专线，坐一站下车，然后步行到午门故宫距离天安门不远，在这两者之间有许多小店，也挺安静的，可以去逛一逛。故宫边上是中山公园，要是逛完故宫意犹未尽，还可以去中山逛一逛,5
12,大概1个小时就参观完了，当我踏出故宫大门的时候仿佛是从古代穿越回现代，有些迷茫。,5
13,当我踏进故宫的第一感觉就是宏伟，突然感觉自己特别渺小。我们去的那天是晴天，感觉天特别高，是不是有鸟从天上飞过，那感觉这是太好了。我们沿着中轴线走的,5
14,值得一去,5
15,很好,5
16,有约，本人非常喜欢明代历史和清代历史， 所以说故宫是我这次来北京的目的之一。也是一次很值得的旅行！,5
17,其实并不像电视剧中所演示的那样，我感觉也不是很大，主要是建筑，很雄伟，讲解员讲的很细致，但是整体来说还是比我想象中的小一些，这也是我梦想中要来的地方之一,5
18,我发现了一个很节约的方法，两个人的票可以打在一起，没有必要，一人一票，突然我就感到很有成就感。,3
19,游玩儿一次之后我发现，其实如果这样仔细看看的话， 至少需要两三天的时间。,5
20,里面的每一件藏品都是绝世宝贝，这里面觉绝对是一个伟大的博物馆，值得一去！,5
21,感觉还好，逛了3个小时没逛完，建议用一天时间。故宫开放的面积只有总面积的一半，等到2020年将开放70%多。不建议周一去参观，只有上午半天，而且最好错开黄金周和法定节假日，因为人超多，要挤到门口近距离参观很难啊,5
22,建议大家注意故宫的开放时间。从天安门进，走到午门买票。人很多。建议大家听听导游讲解，把故宫的开放区都走走，最多半天时间。当然也要看个人怎么走走，简单走走是可以做到的。建议听听导游的讲解,5
23,到北京，别的地方都可以不去，故宫还是要去看看的。故宫气势恢宏，肃穆端庄，其历史意义更是毋庸置疑的。,5
24,玩的很尽兴,5
25,故宫内珍藏有大量珍贵文物，分为多个展馆，其中尤以位于宁寿宫区域的珍宝馆和位于奉先殿的钟表馆最为引人注目，各种造型奇特独具匠心的珍奇机械钟表，不可错过。故宫游览路程较远，详细观赏的话可以要耗时半天甚至更多。在中轴线偏北侧的保和殿两侧的隆宗门和景远门有餐饮提供，另外，养心殿和坤宁门处有茶饮提供。但价格不是很亲民，可提前准备好干粮。,5
26,虽然房子看上去都是很一般，但是材料都是绝一无二的，可以感受一下，电视剧中那种古代皇帝的生活，是一次不错的旅行！,4
27,我第一次去的时候，人非常多。那时候我似乎还是在上高中，如果以后有时间，有机会了一定要再去一次！让自己仔细的看看,5
28,每次在电视剧中看到这个影视基地，我都是很羡慕， 很想亲临现场感受这种氛围。紫禁城真是让人美得无法用言语来形容，  有一种独一无二的独特感,5
29,我很喜欢站在那个西北角的楼前面，那你是我最喜爱的地方，也是，我去过次数最多的地方,5
30,里面看上去很大气，基本就能完全重现电视剧中的场景，也是北京，必去的景点儿之一。更是中国的奇迹,5
31,故宫，又名紫禁城，是明清两代的皇宫。故宫我一共去过三次，其中有一次还是带着朋友们，却悲催的没有进去，因为它周一闭馆（后来查了一下，除法定节假日和暑期外，周一全天闭馆）。最佳旅游时间很难说，因为它冬夏都有好风景，个人建议是避开节假日（十一的时候上厕所很拥挤，队排的能让你受不了）,5
32,一定要记得出口是神武门或者东华门，否则会绕很多路。神武门在最北，出去后就是景山，也有公交站；东华门出去后要走一段路，穿到南池子大街，还可以走回天安门。如果能赶上雪天或是晴天是最好。,5
33,故宫很好走，中轴线上是三大殿，内廷主建筑是乾清宫和坤宁宫，然后分东西六宫，御花园在西侧，内有假山、花木、流觞亭。西面还有养心殿、翊坤宫、储秀宫等大家耳熟能详的地点。东面有珍宝馆、钟表馆、九龙壁和珍妃井，需另交10元,5
34,明清王庭，百年遗迹，是北京最为著名的旅游景点。旺季门票60一人，带学生证、老年证都是20元。城墙10元一人，进端门不需要门票，然后就来到午门前（右侧是国旗班哦，没看到升旗的可以弥补一下）。,5
35,门票60块，地方是好地方，为什么不好好整一上。很疑惑所有宫都不开门，只能看外景，这样看来建筑都差不多，大大降低了观赏性，只有一个殿开门，里面除了一把椅子，什么都没有。在花10块去珍宝馆还可以，有九龙壁、珍妃井，有一些古佛像什么的。,5
