id,comments,star_levels
1,可能是夏天吧，所以蚊子会比较多，不过山上风景很好，而且空气也很好。,5
2,无论是什么时候，那里都充满了人，白云山是广州市民平时休闲锻炼的地方。,3
3,人太多，根本没地方搭帐篷的，而且什么人都有，所以你去的话还是注意点。,3
4,环境还是很好的，但是除了服务态度很差以外，不过白云山蹦极好玩。,3
5,每个游客都会去白云山，而且还因为风景优美深受广州市民的爱戴。,5
6,环境感觉特别差，可能是因为游客比较多的原因吧，环境遭到了破坏。,1
7,环境不错，绿化做的很好，门票也不贵，周边配套不错，值得一去的。,4
8,表示还是有点怕怕的，毕竟是女孩子。到顶就好多了，人都聚在这了。,5
9,风景很不错，也不算高，虽说是广州的最高峰，不过要走完全程还是很久的。,5
10,可以去看看 ，自我感觉还是不错的， 总体还蛮推荐的，所以你不能错过哦。,5
11,门票5元一个人，不过呢光是爬白云山就能用上一整天，其实这样运动下挺好的。,4
12,重要的是好像门票才几块钱，而且是山清水秀的，真的是个特别好的地方。,4
13,空气好，广州的白云山绿化也很不错，适合秋天时候去爬山，那个时候不热。,4
14,百闻不如一见，我是在广州工作离那里很近，但一直听朋友说那里不错，放下永远做不完的工作，今天终于来到了这里，广州的白云山绿化真的不错，空气非常的好，还有主就是门票很便于宜，以后常来，更适合秋天时候去爬山。,4
15,广州都是高楼大厦的地方，能找到个空气好的地方并不多， 白云山空气清晰，没事就可以去爬爬山锻炼身体挺好的 。门票只要几块子钱，好便宜，唯一不好的就是小卖部的吃吃有点贵，可是又没得选择，不过每次来时可以带点来吃。,4
16,闹市中的一座山，实属不易呀，面积很大，空气非常的好，每天来的人很多，如果不想走路的话，还可以坐电瓶车，山脚到山顶修都修了车道，还有坐索道，非常的方便，不过我来一般都是走路，因为走走健康嘛。,3
17,很难得，闹市中的一座山，我很喜欢去那里，因为离得很近，空气又不错，有时工作累了就想到那里去转转呼下新鲜的空气，告别下烦恼，有时带着小孩一起去健身，是一个非常不错的地方，我小孩也喜欢去那里爬山。,4
18,当地人喜欢重阳节登白云山，九月九手持茱萸，登上白云山，纪念游览，凑热闹的我们也选择那天去，在山脚下的饭店里吃过饭，我们就直登山了，一路边走边聊，到半夜时分才登上山顶，太累了下来的是乘坐索道下山的,5
19,我离那里不远，一有空就开车到那里爬山，喜欢那里的环境，山山水水，每天有很多人都会到这里来，门票又不贵，一过里面的小卖部的吃的就好贵，你来的时候最好带点吃的，爬累了饿了可以坐下来吃点东西。,5
20,在广州那边是非常有名气的，好多人都到那里去爬山健身，白云山风景非常好，空气清新依山傍水，景色秀丽，鸟语花香，清晰自然的风光，让你忘了所有的烦恼，那里真是一个旅行的好地方，值得推荐一下。,5
21,广州最出名 的旅游景点，只要你到了那里一问哪里景点最好呀，他们一定会说白云山，去那里人可真多呀，可能也是因为广州的流动人口也多吧，所以去的人也多，但那里确实是个好地方，空气又好，工作累了可以来里爬爬山,5
22,白云山是广州很有名气的地方，想要爬山真的是不容易呀，面积又很大，依山傍水，鸟语花山，空气非常的好，困为比较近，所以每天都有人很多人爬爬山，锻炼身体，爬山入口都有很多个，不愧是羊城第一秀。,3
23,非常值得去的地方，门票大大的便宜，只需几元钱，就能让你享受景色秀丽，鸟语花香的山，真是大大的超赞，爬到白云山的摩星岭可以观望整个广州呢，非常壮观的，下次去的时候带个相机把广州全景拍下来,4
24,白云山，广州人都知道那里就是广州天然氧吧，真心的不错哈，所以去的人很多，我们特意不挑节假日去，但还是很多人，所以去那里的人不分假日，环境又好，门票几块钱，所以本地人好多去那里上山健身,5
25,很多年前去过一次，这次去白云山的设施越来越好了，特别适合本地人登山的好去处，门票便宜又很近，空气清晰，没事的时候可以约上几个好友一起来这里玩玩，登登山，也是蛮有趣味的，就是人比较多。,5
