id,comments,star_levels
1,路边有一条人造的小溪，事实上在大峡谷各种自然的人造的溪流随处可见,5
2,神潭大峡谷很漂亮，还有水上游乐设施挺好玩的,5
3,这个地方确实不错啊，相信去了的都会觉得不虚此行的,5
4,里面有各种各样的美食，餐馆，手工小吃等，如果去得及时的话，还能赶上当地的庙会，里面的小吃特多~,5
5,我也来点评下！有人像我一样注意到了山里有几颗结果了的枣子树么，爬山爬的累了，好想摘下来吃,5
6,很不错，符合预期，下次有机会去北方旅游还会去,5
7,这里面有好多吃的，上次去的时候很多小吃没有吃到，看来还得再去一次,5
8,神潭大峡谷有很多的人文典故，其中一个是说，关公杀了恶霸吕雄之后隐居在此练刀。,5
9,神潭大峡谷，美景，吃的，玩的，学的（人文景点）都有，是北方少有的旅游胜地之一,5
10,神潭大峡谷有一种说不出来的魅力，不管是山水，还是人文景观和自然景观都完美地融合在了一起,5
11,总是觉得这个地方让人觉得很惬意，如诗如画般的山水是陶冶性情的好地方~,5
12,有人说这里的水是沉静的音符，不如说这里的所有山水组成的就是一篇美妙的乐章！,5
13,神潭大峡谷的美丽清秀让我有点措手不及，脑海里一直重复着许巍的那首歌，“不虚此行啊，不虚此行啊...”,5
14,人有点多，不过可以看美女哟。其实，人也是一道美丽的风景线的,5
15,这里山势险峻，亭阁倚山而建，又有泉水怪石,5
16,神潭大峡谷的自然景观好漂亮，到处是瀑布和湖，非常享受，赞,5
17,相关部门花了2亿才复原的古村，很大气，走进去，很有历史感,5
18,神潭大峡谷最让人感到惊喜的就是，北方也有如此钟灵毓秀的山水！！！,5
19,和大美女一同游历了神潭大峡谷，非常难忘,5
20,中条山大峡谷的冬天别有一番风味啊！,5
21,神潭大峡谷绝对是山西最美的地方，还有很多的古典建筑，地方小吃等，很棒,5
22,每次去看神潭大峡谷的湖，都有秋水共长天一色的感觉,5
23,本方的景观看过不少，但是还是比较喜欢神潭大峡谷，因为在这里第一次找到了宁静,5
24,这里的人们都挺朴实，友善的，旅游服务也很好,5
25,第一次去神潭大峡谷，蛮激动的，事先看了很多宣传的广告，去过了基本符合预期,5
26,很好，很强大，非常的有诗情画意，相当的不错，当地的特色小吃令我大为震惊，非常的好吃给我感觉非常的好。,5
27,景点很好，那里的人也非常的热情，花样挺多，吃喝玩乐样样俱全，去了一次就是舒坦啊。,5
28,神潭大峡谷历史悠久，景色优美，还有小孩的游乐场所,5
29,很不错的旅游选择，尤其是美食和广场的茶楼服务相当不错。,5
30,景点很好，那里的人也非常的热情，花样挺多，吃喝玩乐样样俱全。给五星好评是当然的。,5
31,神潭大峡谷，去了才是真正的旅游，就陪同，再去一次。,5
32,古香古色的水峪口古村，去的时候是旅游的旺季，人山人海啊。\,5
33,神潭大峡谷历史悠久，景色优美，风景独特，古色古香，像画里的一样。,5
34,很好的啦，我的无法用人类的语言来形容了,5
35,整体感觉很不错，风景很漂亮。有山水，乱石头，还有人家。,5
36,相关部门花了2亿才复原的古村，很大气，走进去，很有历史感,5
37,神潭大峡谷最让人感到惊喜的就是，北方也有如此钟灵毓秀的山水！！！,5
38,风景超赞，是我玩过自然景区最好的了，巧夺天工的怪石嶙峋的山峰，潺潺的流水，走在石阶上很是惬意。建议大家快入夏或者入秋的时候玩，毕竟这两个时间段天气最好。,5
39,神潭大峡谷的自然景观好漂亮，到处是瀑布和湖，非常享受，赞,5
40,风景超赞，是我玩过自然景区最好的了，巧夺天工的怪石嶙峋的山峰，潺潺的流水，走在石阶上很是惬意。建议大家快入夏或者入秋的时候玩，毕竟这两个时间段天气最好。,5
41,地貌多是天然形成的，上山的路只有一条人工的索道，显得山势更加地险峻,5
42,这些年去过不少的地方，神潭大峡谷留给了我比较多的记忆,5
43,神潭大峡谷有很多座主峰，所以随便选了一座爬上去，快到山顶的时候，视野瞬间宽广了,5
44,自然景观清秀脱俗，人造景观无缝融合其间，起到了很好的点缀的作用。所以不管从哪方面看都值五星,5
45,玩尽兴了之后去赏了油菜花，和另一半一起，感觉很棒~,5
46,中条山神潭大峡谷，印象深刻啊。上次去还是好几年前，有时间一定要再去一次,5
47,景物很好，某些细节做得很好。而且整体的旅游环境以原生态为主，所以自然环境很好，值得一去,5
48,怎么说能，感觉各方面都还可以啊，不管是喜欢看风景的，享受美食的，陶冶性情的，运动的都能获得享受,5
49,美中不足是瀑布的水有点小，可能是季节的关系吧。据说最适合看瀑布的季节是九月，期待下次再去,5
50,当地的小吃很可口，纯手工制作的，有些店，可以边参观他们的制作工艺，边等待享用美食，很棒！,5
