id,comments,star_levels
1,金丝峡近年来旅游业发展的还不错，周边旅游相关配套设施都比较完善了。大家可以去玩儿一玩儿。,3
2,金丝峡隐藏于深山之中，进入金丝峡真的像是投入了大自然的怀抱，峡谷很美丽，清秀静谧,5
3,金丝峡真的是太静美了，幽静之处让人心旷神怡,5
4,金丝峡位于商洛市，景区风景级别很高，当然不负众望，青葱树木，鲜艳花朵，真的是美不胜收,5
5,名不虚传的金丝峡真的没有让大家失望，美丽的自然风景，如果文明开发旅游，保存金丝峡天然美景那就更好了,4
6,真是太凉快了，真的好舒服啊，可以在里面打牌啥的，很不错，就是要自己带吃的，因为里面吃的有点不好吃，所以要来的话要自备干粮呢,3
7,金丝峡有高高的瀑布还有竹筏，适合一家人来游玩儿，周边建设的也不错。,4
8,这个风景区在当地很有名气，而且里面的物产资源很丰富，里面有很多的野生动物可以看到，很稀奇，而且看了就不想回来的感觉,5
9,金丝大峡谷位于金丝镇东南方，自驾游很方便，交通建设的不错，景区口就在高速公路附近,5
10,这个景区很不错，走进里面会感到很凉快，像是天然的空调房一样，如果夏天来的话感觉很爽，而且还有漂流呢，很不错的哟，可以说是避暑山庄一样呢,5
11,金丝峡景区建设的不错，感觉挺高大上的呢，虽然景区不算大，景点不多，但是还是让人留恋,3
12,金丝峡峡谷一般长，周边有很多绿树，风景还不错,4
13,总而言之，金丝峡一游没有让大家失望，周边有农家乐，宾馆，吃住都还可以的，方便游玩,4
14,那里我去过很多次了，但是一次比一次失望，第一次感觉很漂亮，空气也很新鲜，环境不用说的，但是第二次就不感觉美了，哎，人多了也就管不到这么多了啊，有点小失望,4
15,里面的风景很漂亮，而且还挺凉快的，最主要的是可以在里面过夜，很不错哟，而且这里晚上的时候星空很漂亮呢,5
16,六月份的金丝峡凉风习习，给人一种惬意，这里还有很多旅游景点，喜欢爬山的游客也可以来玩儿,4
17,这个峡谷很漂亮，而且也特别的凉快，里面的风景很美，空气也很新鲜，很适合在这里慢慢的逛呢！,4
18,回归自然让我们心灵澄澈，与朋友一起去金丝峡，感受到了大自然的宁静之美，古言道“非宁静无以致远”真的是有道理,4
19,金丝峡景色真的是很漂亮，这里的游人也很多，瀑布飞流直下，环境很静谧，这里还有农家乐，总的来说很不错。,5
20,金丝峡的一趟，玩儿的还是蛮有趣的，夏天很凉快，农家乐也很好，景色优美,4
21,好漂亮的一个地方，而且里面人也很少，不那么的嘈杂，同时也可以自己带吃的进去，这样一来的话里面还比较干净，挺不错的呢，可以来这里游玩哦,4
22,夏天我们结伴去金丝峡游玩，但是这时候人很少，景区内很静谧，感觉很好，回归自然的乐趣,4
23,这个峡谷里面的瀑布什么的很漂亮，而且里面还有珍稀动物呢，不是一般的多呢，很棒的一个地方，一定要来哦,5
24,去这个峡谷的话是要收费的，但是里面真的好的没话说呢，如果夏天来的话还可以在里面乘凉呢，挺不错的哦，而且风景也很美，很值得来呢,5
25,很漂亮的一个峡谷，这个峡谷里有很多的景点，足足一百多个呢，而且里面还挺凉快的，也挺深的，很不错的一个峡谷呢，想来的可以来哦,5
